TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
111972868659591494198428235355985453970310332279082771070516766763382118115154,1778168314306,1778168317637,1778168317700,,,,,3394
92693421714477182062638888976767887431625372791557377500777450175869159960396,1778168371738,1778168375524,1778168375576,,,,,3838
94121157186058438804471553510279450002499377834063627271189724690075917129814,1778168778105,1778168784115,1778168784211,,,,,6105
52478965289413100021085021165044691759387312642755633227425686912268695618015,1778168903177,1778168911915,1778168911973,,,,,8796
108162538133030986630004832812522239029383229881979115977152547946921960219722,1778168845683,1778168847775,1778168847846,,,,,2163
71321530168405607307634610101405245276911232450115995544042004712539825535501,1778168274061,1778168279626,1778168279684,,,,,5623
68798279697390576384149802663125969048824990894500454711713119616929952383270,1778168497844,1778168503570,1778168503622,,,,,5777
52526380748224522819186010067219685212184958958879781309623719909360655755983,1778168604672,1778168607611,1778168607672,,,,,2999
2334586131626865711580110605962193921029489629594981416994134215582036663542,1778168845707,1778168851900,1778168851957,,,,,6249
3261865386077376401293086975821558472614981567764377041348478978029904064871,1778168050627,1778168055544,1778168055585,,,,,4957
2849672905687112402880664183055060033333443878223879688063255041766180782233,1778168158308,1778168159536,1778168163577,,,1778168159601,1778168163577,5269
114906247863098882133253418530867426527027333548202954585901701756113549393001,1778168215725,1778168219556,1778168219599,,,,,3873
59400288485784113503479491567071230454708258568785140807130797038330684050597,1778168398994,1778168407652,1778168407726,,,,,8731
103289895602095720265826553652619527913434483244030208888675334673030241365328,1778168564375,1778168565579,1778168565719,,,1778168565645,1778168565719,1344
63611988340823638533412683543308171469752961433650580084713642615942193585741,1778168622848,1778168623732,1778168625856,,,1778168623790,1778168625856,3008
112382273046013808350339958820163661225004411778185503646076159229621145604526,1778168787158,1778168792281,1778168792352,,,,,5193
72721482169233388797003637184591195572151916363060062044285759513461397141278,1778168836650,1778168843743,1778168843792,,,,,7142
76856873857256838324341510357005190802921488479216034834620073235464222816383,1778168081880,1778168091507,1778168091559,,,,,9678
30905376241806927624898833290006292612938759044325373983354161887950577104182,1778168242865,1778168247652,1778168247698,,,,,4833
23612847940836295787098653499763009964128637871908350735342206217715727656674,1778168457479,1778168461660,1778168461716,,,,,4237
15853143381769822123107242307510890879738879785911182827636928587548143293072,1778168564358,1778168567634,1778168567686,,,,,3328
78825845654224740939473710592516520759726656713602455750234510694434238478676,1778168573428,1778168581680,1778168581728,,,,,8299
6693943251716003312345373325760387803281496728944407813281564197360880293764,1778168778115,1778168787704,1778168787802,,,,,9686
89561083774233779195595749199378011295671205250686064128065395887684427512445,1778168796250,1778168801728,1778168801808,,,,,5557
111816621384285883695708115561946022529894003466483756377763085059127210881518,1778168854769,1778168861882,1778168861958,,,,,7188
112374069992297839935018431301897597747332402671198906354969118381321350681306,1778168023498,1778168031537,1778168031578,,,,,8079
84940840757296313468020636962298074131798017464523107468830369424989890005905,1778168050654,1778168051404,1778168055585,,,1778168051486,1778168055585,4930
27062834064253359973130944798670186325948079016948150017798606746430658914844,1778168796233,1778168797839,1778168797916,,,,,1682
21382752105313338488170264587276117183579988615825181858864750650759861785781,1778168185435,1778168189461,1778168189519,,,,,4083
23778154908164082061200117780156149254979041093297339824107325915888225811435,1778168197628,1778168203506,1778168203558,,,,,5929
7007028059574865480141926810574042150361013495455445202255080775110407503061,1778168215728,1778168221513,1778168221550,,,,,5821
99615834586793712916819366460915266652650385459778663667028961115216361763647,1778168242864,1778168247614,1778168247687,,,,,4823
27116079953618206111579670186595035815435696068301344631814228156010193919406,1778168555337,1778168557689,1778168563719,,,1778168557743,1778168563719,8381
7885137781855179571377480273986635540699369758687931014564490877936253956933,1778168650022,1778168657756,1778168657828,,,,,7806
85058789060546361499564182028565661346920023003961969754226510207157760800728,1778168041593,1778168049408,1778168049453,,,,,7860
107554859298626619736274897693552553438188026945235044818783960305657371721121,1778168689353,1778168697747,1778168697803,,,,,8449
9399322007471600734185007066498032644733014037372164049313442174736766566312,1778168836652,1778168843936,1778168843990,,,,,7338
99275764228486940944501969918227679328754896138286878563554545830209576371670,1778168894117,1778168901831,1778168901886,,,,,7769
31706655563877726288869788563249991798914678980426719297609145908568232836327,1778168032544,1778168037537,1778168037572,,,,,5027
77088532788120745330180994095829387985288873650142121219357472371110222610441,1778168032550,1778168039538,1778168039583,,,,,7033
75834731070900727133705304820907788366979919768133520016459491666110928873270,1778168041592,1778168049498,1778168049545,,,,,7953
32736490988733187888100367776679177162043347575718821338816558598229210327799,1778168099975,1778168107513,1778168107552,,,,,7577
22145171750421658854881981639970586751155319069783678247794659265973963161224,1778168515989,1778168517661,1778168519872,,,1778168517719,1778168519872,3883
4882020513321481959160108295857348454748768702598814712202905199509540825290,1778168534104,1778168535706,1778168539658,,,1778168535773,1778168539658,5553
111734317987514295281167309227952154800047642636405554478111020319486387262371,1778168707473,1778168707704,1778168709891,,,1778168707760,1778168709891,2418
13158545663325629186967007294568848873594043917633965221031265972397590309472,1778168099965,1778168103514,1778168103561,,,,,3596
34649791381717544887546936784295904629392079211164008955827073182074391446500,1778168099971,1778168105559,1778168105603,,,,,5632
80391780615907343918652299774473914292348286193128617294244132897184048798603,1778168167353,1778168169604,1778168177545,,,1778168169667,1778168177545,10192
113129650196282222402456766540509811348046183623955608526464605343842976635033,1778168274074,1778168281493,1778168281534,,,,,7459
32527451290901793767957275000265483748655486578969367718049015978636606805070,1778168475659,1778168477646,1778168481683,,,1778168477716,1778168481683,6024
27877035549588899346751384895891939327254596255896636600699041568886695536444,1778168546232,1778168549708,1778168549761,,,,,3529
111761197073793481322111606491617759467340396081856114000089646830770343658265,1778168622846,1778168631672,1778168631739,,,,,8893
49651913371017349856405193147665429159118140441853320892376315915985384288487,1778168823520,1778168823732,1778168825832,,,1778168823784,1778168825832,2312
28552012880079157658990387594630074576959165473995130997278508264728598359782,1778168090935,1778168093556,1778168099523,,,1778168093601,1778168099523,8587
114712564548275129987398403404213168762804811678521618518011182226208622087568,1778168233837,1778168235557,1778168239621,,,1778168235631,1778168239621,5783
63750029380095714033133934309768125454900001824389003525501397596818799435884,1778168430276,1778168433631,1778168433693,,,,,3416
49338885764776682752601165839719800591288508904651117742229407295099271857072,1778168564352,1778168567634,1778168567686,,,,,3334
2099886714877053333202853514528146281504080010590524603448863784814844329528,1778168573425,1778168579595,1778168579665,,,,,6240
70590391677926359744283082582186152937453678669343131928867061096731593173634,1778168613699,1778168615781,1778168615844,,,,,2144
104606084465927061078825488945146648582332006290974130068711058664646217877025,1778168099983,1778168101561,1778168107528,,,1778168101604,1778168107528,7545
