Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
95,2,0,35,0,35,1778657012616,1778657012747,24579,0,24579
96,2,0,32,0,32,1778657014614,1778657014778,14015,0,14015
97,2,0,18,0,18,1778657016612,1778657016732,20763,0,20763
98,2,0,33,0,33,1778657018646,1778657018772,29363,0,29363
99,2,22,64,64,0,1778657020632,1778657020741,50312,50312,0
100,2,17,304,13,46,1778657022724,1778657022843,799535,10595,75006
101,2,0,478,84,17,1778657024767,1778657024855,1176673,65053,36671
102,2,5,307,58,4,1778657026700,1778657026848,727647,41031,4536
103,2,0,357,65,31,1778657028698,1778657028813,779656,39704,38730
104,2,25,369,21,26,1778657030736,1778657030859,901877,12327,29094
105,2,0,488,66,60,1778657032710,1778657032810,1045219,31222,88515
106,2,16,338,67,20,1778657034686,1778657034801,670981,26253,20661
107,2,0,344,70,52,1778657036685,1778657036775,619117,22488,67479
108,2,12,292,11,24,1778657038709,1778657038830,643269,2898,24750
109,2,1,387,0,22,1778657040676,1778657040775,853748,0,33148
110,2,13,360,1,12,1778657043294,1778657043397,990379,2765,18804
111,2,0,413,3,31,1778657045068,1778657045173,1006252,7431,51378
112,2,44,458,0,60,1778657047252,1778657047313,1078276,0,87266
113,2,0,394,26,54,1778657048932,1778657049024,795937,54092,80460
114,2,21,372,51,35,1778657050834,1778657050938,684450,96249,36363
115,2,0,381,45,42,1778657052896,1778657053012,690947,78557,67200
