Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,86,449,285,0,1778656824574,1778656824669,845181,454667,0
2,0,0,539,133,146,1778656826576,1778656826694,900043,42463,241094
3,0,38,679,263,151,1778656828588,1778656828732,867418,76617,162343
4,0,88,427,0,55,1778656830577,1778656830744,968762,0,97315
5,0,191,398,65,23,1778656832586,1778656832733,873449,140957,47357
6,0,0,464,141,60,1778656834582,1778656834751,963147,291718,113585
7,0,18,370,129,17,1778656836584,1778656836767,728214,255730,17986
8,0,0,465,174,58,1778656838583,1778656838726,856411,332383,76064
9,0,35,395,36,15,1778656840588,1778656840778,766993,69391,30600
10,0,21,519,70,143,1778656842596,1778656842863,932927,135647,193584
11,0,46,397,7,21,1778656844586,1778656844847,754389,13111,43750
12,0,62,505,12,104,1778656846587,1778656846897,909761,21988,161926
13,0,0,413,100,62,1778656848585,1778656848788,695939,155531,123613
14,0,35,513,232,121,1778656850595,1778656850920,868117,368420,236098
15,0,0,402,76,35,1778656852594,1778656852777,551478,93927,68425
16,0,213,272,171,101,1778656854576,1778656854877,362354,188377,173977
17,0,0,343,130,18,1778656856592,1778656856775,759495,119502,34434
18,0,0,353,121,35,1778656858599,1778656858833,771378,113032,64607
19,0,34,353,19,15,1778656860733,1778656861053,1061141,19076,32490
20,0,6,406,17,40,1778656862630,1778656862964,1130064,14892,76670
21,0,0,406,11,6,1778656864616,1778656864905,1122352,8316,11976
22,0,0,518,98,37,1778656866644,1778656866892,1171731,67123,43815
23,0,3,426,133,3,1778656868911,1778656869058,936450,95119,6375
24,0,0,337,99,34,1778656870678,1778656870782,571832,35102,31263
25,0,0,344,0,16,1778656872704,1778656872946,868394,0,31803
27,1,0,115,0,115,1778656876577,1778656876729,246386,0,246386
28,1,0,94,0,94,1778656878581,1778656878758,114807,0,114807
29,1,0,42,0,42,1778656880569,1778656880758,53010,0,53010
30,1,0,119,0,119,1778656882585,1778656882742,120748,0,120748
31,1,0,63,0,63,1778656884573,1778656884733,72410,0,72410
32,1,0,107,0,107,1778656886584,1778656886728,160907,0,160907
33,1,0,62,0,62,1778656888572,1778656888699,64724,0,64724
34,1,0,92,0,92,1778656890576,1778656890713,145880,0,145880
35,1,0,53,0,53,1778656892577,1778656892719,47509,0,47509
36,1,0,46,0,46,1778656894577,1778656894708,69532,0,69532
37,1,0,5,0,5,1778656896572,1778656896688,6740,0,6740
38,1,0,11,0,11,1778656898573,1778656898712,14159,0,14159
39,1,0,5,0,5,1778656900574,1778656900710,6745,0,6745
40,1,0,24,0,24,1778656902578,1778656902691,17395,0,17395
41,1,0,1,0,1,1778656904574,1778656904669,1489,0,1489
42,1,0,46,0,46,1778656906577,1778656906709,26785,0,26785
43,1,0,32,0,32,1778656908579,1778656908695,30417,0,30417
44,1,0,39,0,39,1778656910582,1778656910779,40090,0,40090
45,1,0,59,0,59,1778656912581,1778656912708,57927,0,57927
46,1,0,81,0,81,1778656914591,1778656914720,101563,0,101563
47,1,0,43,0,43,1778656916582,1778656916721,30506,0,30506
48,1,32,47,47,0,1778656918586,1778656918712,32646,32646,0
49,1,27,454,47,59,1778656920682,1778656920920,1164255,39621,103641
50,1,9,546,42,27,1778656922658,1778656922801,1391731,28195,56326
51,1,3,581,41,33,1778656924700,1778656924868,1471521,28009,46434
52,1,0,579,95,10,1778656926689,1778656926866,1354358,60524,14182
53,1,14,441,68,20,1778656928656,1778656928814,974133,36257,21020
54,1,0,401,52,25,1778656930640,1778656930796,883453,23660,39717
55,1,8,521,76,28,1778656933134,1778656933247,1323766,65141,41048
56,1,0,441,114,20,1778656934697,1778656934765,798909,35781,27504
