Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,179,791,476,0,1778656824557,1778656824674,1406271,655113,0
2,0,173,854,181,310,1778656826555,1778656826701,1432440,59018,510332
3,0,78,531,42,173,1778656828541,1778656828713,1112704,11391,358116
4,0,180,367,0,85,1778656830536,1778656830721,820519,0,167766
5,0,165,610,122,124,1778656832549,1778656832715,1247159,262397,186584
6,0,75,466,165,5,1778656834543,1778656834726,963730,337327,5155
7,0,0,524,192,75,1778656836547,1778656836679,1010140,363825,148184
8,0,24,566,250,95,1778656838548,1778656838777,1045718,490439,118847
9,0,0,480,83,43,1778656840546,1778656840724,888805,155427,66269
10,0,53,606,147,121,1778656842555,1778656842854,1081441,283484,132899
11,0,0,531,28,122,1778656844563,1778656844872,971164,53132,187767
12,0,79,478,16,73,1778656846569,1778656846923,848219,29744,83102
13,0,0,599,94,161,1778656848554,1778656848839,979793,150993,246681
14,0,39,511,200,13,1778656850567,1778656850917,823180,316927,14300
15,0,337,228,132,96,1778656852539,1778656852767,291374,161856,129518
16,0,284,653,281,35,1778656854563,1778656854976,1570611,337350,39655
17,0,0,533,235,23,1778656856555,1778656856805,1116932,223182,30642
18,0,0,417,166,2,1778656858560,1778656858691,847867,131365,1622
19,0,0,368,19,38,1778656860577,1778656861014,1048464,18335,57734
20,0,0,413,25,2,1778656862561,1778656862724,1072482,15900,1644
21,0,0,362,9,2,1778656864559,1778656864692,927368,4879,2563
22,0,327,588,100,91,1778656867238,1778656867515,1622271,130791,144686
23,0,0,574,247,0,1778656868702,1778656868817,978851,117027,0
24,0,0,619,131,163,1778656870617,1778656870738,960830,40639,128122
25,0,0,449,0,148,1778656872645,1778656872806,926677,0,201216
27,1,34,90,0,90,1778656876939,1778656877031,201655,0,201655
28,1,0,89,0,89,1778656878546,1778656878648,91240,0,91240
29,1,0,33,0,33,1778656880540,1778656880758,44378,0,44378
30,1,0,90,0,90,1778656882538,1778656882679,72522,0,72522
31,1,0,79,0,79,1778656884549,1778656884730,86856,0,86856
32,1,0,61,0,61,1778656886551,1778656886733,68032,0,68032
33,1,0,56,0,56,1778656888545,1778656888698,57020,0,57020
34,1,0,17,0,17,1778656890537,1778656890674,21617,0,21617
35,1,0,53,0,53,1778656892540,1778656892725,55877,0,55877
36,1,0,20,0,20,1778656894539,1778656894670,23747,0,23747
37,1,0,15,0,15,1778656896540,1778656896698,14334,0,14334
38,1,0,5,0,5,1778656898538,1778656898708,2765,0,2765
39,1,0,17,0,17,1778656900539,1778656900667,20611,0,20611
40,1,0,32,0,32,1778656902542,1778656902653,16271,0,16271
41,1,0,8,0,8,1778656904540,1778656904654,4764,0,4764
42,1,0,49,0,49,1778656906544,1778656906702,28999,0,28999
43,1,0,66,0,66,1778656908543,1778656908668,61027,0,61027
44,1,0,21,0,21,1778656910545,1778656910777,18287,0,18287
45,1,0,72,0,72,1778656912549,1778656912706,68758,0,68758
46,1,0,43,0,43,1778656914552,1778656914708,49903,0,49903
47,1,0,38,0,38,1778656916545,1778656916675,36769,0,36769
48,1,0,81,81,0,1778656918552,1778656918701,55359,55359,0
49,1,23,397,34,20,1778656920590,1778656920812,1016364,24990,22073
50,1,0,439,58,41,1778656922584,1778656922695,991684,32798,63039
51,1,0,374,54,0,1778656924571,1778656924722,864606,29052,0
52,1,0,422,84,19,1778656926582,1778656926717,880952,41045,26436
53,1,13,434,100,20,1778656928590,1778656928776,893796,49519,40420
54,1,0,383,34,20,1778656930584,1778656930734,858362,13368,32353
55,1,0,504,134,21,1778656932590,1778656932757,938886,49263,41664
56,1,21,542,172,18,1778656934914,1778656934988,1039916,92315,25542
57,1,0,329,17,21,1778656936632,1778656936712,707364,3519,40193
58,1,8,420,0,49,1778656938675,1778656938759,914539,0,73252
59,1,12,419,8,41,1778656940662,1778656940713,896686,17202,76146
60,1,97,450,12,63,1778656942673,1778656942763,911173,25701,76023
61,1,0,534,97,29,1778656944636,1778656944788,1130444,205087,55194
62,1,0,405,67,8,1778656946617,1778656946702,785266,127588,12380
63,1,0,534,129,35,1778656948617,1778656948724,993790,236776,63315
64,1,0,587,169,50,1778656950641,1778656950772,1062516,311899,65513
65,1,0,432,111,22,1778656952621,1778656952818,805307,205337,41030
66,1,0,475,85,64,1778656954623,1778656954714,777782,143538,75462
67,1,0,470,128,41,1778656956616,1778656956769,786421,211970,66102
68,1,0,466,116,16,1778656958611,1778656958805,749349,186493,13822
69,1,0,420,111,0,1778656960618,1778656960742,628009,164227,0
70,1,0,377,63,7,1778656962623,1778656962727,539543,88618,11900
71,1,0,340,15,1,1778656964610,1778656964693,451236,19485,1648
72,1,0,451,103,5,1778656966885,1778656966953,681924,152111,9480
73,1,0,443,81,13,1778656968705,1778656968865,604192,108356,23374
75,2,0,77,0,77,1778656972583,1778656972718,142822,0,142822
76,2,0,26,0,26,1778656974567,1778656974747,30414,0,30414
77,2,0,62,0,62,1778656976575,1778656976734,66230,0,66230
78,2,0,45,0,45,1778656978592,1778656978758,48467,0,48467
79,2,0,43,0,43,1778656980572,1778656980726,54273,0,54273
80,2,0,58,0,58,1778656982577,1778656982732,58391,0,58391
81,2,0,39,0,39,1778656984581,1778656984711,56446,0,56446
82,2,0,51,0,51,1778656986577,1778656986748,44617,0,44617
83,2,0,33,0,33,1778656988571,1778656988694,33468,0,33468
84,2,0,34,0,34,1778656990583,1778656990737,30850,0,30850
85,2,0,35,0,35,1778656992579,1778656992719,46324,0,46324
86,2,0,48,0,48,1778656994587,1778656994756,43851,0,43851
87,2,0,47,0,47,1778656996572,1778656996719,59140,0,59140
88,2,0,61,0,61,1778656998583,1778656998792,50343,0,50343
89,2,0,33,0,33,1778657000575,1778657000767,40691,0,40691
90,2,0,38,0,38,1778657002582,1778657002721,27721,0,27721
91,2,0,23,0,23,1778657004589,1778657004751,32447,0,32447
92,2,0,20,0,20,1778657006586,1778657006754,15979,0,15979
93,2,0,30,0,30,1778657008575,1778657008682,24505,0,24505
94,2,0,8,0,8,1778657010574,1778657010696,5552,0,5552
95,2,0,33,0,33,1778657012580,1778657012729,33339,0,33339
96,2,0,34,0,34,1778657014584,1778657014766,17357,0,17357
97,2,0,32,0,32,1778657016579,1778657016681,27549,0,27549
98,2,0,55,0,55,1778657018601,1778657018758,49208,0,49208
99,2,0,70,70,0,1778657020584,1778657020683,50977,50977,0
100,2,25,333,9,18,1778657022668,1778657022763,892742,6615,19224
101,2,24,555,111,34,1778657024707,1778657024857,1320069,86187,64344
102,2,8,441,75,24,1778657026700,1778657026821,1045252,51051,50712
103,2,6,524,75,34,1778657028671,1778657028790,1193371,44055,44213
104,2,31,408,41,6,1778657030650,1778657030818,984189,22379,12492
105,2,28,560,142,51,1778657032652,1778657032802,1085039,66043,84623
106,2,0,478,103,28,1778657034641,1778657034723,923296,32236,54988
107,2,13,403,74,53,1778657037235,1778657037360,990311,67081,103514
108,2,7,405,27,13,1778657039078,1778657039191,1054558,16875,31187
109,2,22,430,0,20,1778657041243,1778657041419,1222940,0,39066
110,2,18,447,3,19,1778657043205,1778657043337,1216639,8118,47766
111,2,11,417,5,37,1778657044997,1778657045108,985644,12065,59994
112,2,73,404,1,10,1778657047037,1778657047187,954665,2322,23430
113,2,0,514,49,63,1778657048719,1778657048834,946995,92644,84915
114,2,0,484,86,22,1778657050705,1778657050800,865781,150411,42217
115,2,0,470,62,48,1778657052804,1778657052920,810483,102533,72380
