Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,76,146,113,0,1778158863810,1778158863858,310218,240084,0
2,0,65,114,31,76,1778158865803,1778158865873,471648,128050,314684
3,0,52,123,49,65,1778158867812,1778158867887,755609,300824,399530
4,0,33,114,55,52,1778158869807,1778158869895,928735,447893,423834
5,0,49,82,36,39,1778158871807,1778158871892,486592,76214,395552
6,0,49,113,39,66,1778158873809,1778158873863,460953,158733,269658
7,0,70,124,37,74,1778158875809,1778158875889,755282,225052,451212
8,0,75,109,24,76,1778158877811,1778158877906,882466,194089,615587
9,0,77,140,37,93,1778158879811,1778158879880,1030766,75082,935378
10,0,21,105,20,77,1778158881811,1778158881881,422660,80305,310223
11,0,71,157,60,81,1778158883816,1778158883886,944002,360261,487709
12,0,11,118,42,71,1778158885815,1778158885889,944716,335897,568823
13,0,0,78,4,73,1778158887813,1778158887875,738269,7838,728473
14,0,10,112,9,100,1778158889816,1778158889884,444398,35631,396885
15,0,2,94,0,94,1778158891814,1778158891893,560947,0,560947
16,0,82,153,40,107,1778158893819,1778158893915,1220443,318868,853744
17,0,59,156,40,82,1778158895820,1778158895903,960255,77608,816669
18,0,28,89,7,73,1778158897817,1778158897899,350138,27500,287267
19,0,4,87,1,84,1778158899813,1778158899881,514091,5901,496387
20,0,8,116,17,96,1778158901819,1778158901911,919984,134691,761526
21,0,32,151,41,81,1778158903817,1778158903917,937755,78077,804437
22,0,20,132,59,62,1778158905826,1778158905894,511402,228196,240659
23,0,38,123,47,58,1778158907818,1778158907893,720690,275108,340253
24,0,81,106,20,84,1778158909820,1778158909921,835061,157381,661940
25,0,34,163,65,85,1778158911823,1778158911893,978190,118145,836410
26,0,41,121,73,38,1778158913824,1778158913906,463264,279354,145657
27,0,27,101,36,41,1778158915820,1778158915880,585581,208663,237825
28,0,60,225,135,56,1778158917827,1778158917911,1760401,1056091,438326
29,0,28,209,110,60,1778158919828,1778158919904,857107,197934,589012
30,0,62,124,49,62,1778158921828,1778158921902,470244,185685,235269
31,0,50,136,62,62,1778158923827,1778158923916,788909,359522,359817
32,0,68,156,52,83,1778158925829,1778158925909,1215166,404893,646726
33,0,75,120,23,89,1778158927828,1778158927916,926717,40845,871669
34,0,0,76,1,75,1778158929826,1778158929912,286425,3760,282665
35,0,105,110,5,98,1778158931832,1778158931920,634511,28810,565381
36,0,75,150,34,105,1778158933833,1778158933913,1163021,263470,814315
37,0,63,149,47,75,1778158935835,1778158935921,860115,81520,731803
38,0,62,137,56,63,1778158937833,1778158937891,506892,206953,233418
39,0,11,80,3,75,1778158939832,1778158939891,455738,17069,427292
40,0,9,120,5,107,1778158941832,1778158941909,924856,38524,824694
41,0,2,113,1,111,1778158943830,1778158943907,1080238,1668,1076907
42,0,118,113,6,105,1778158945834,1778158945904,414056,21915,384842
43,0,12,121,0,118,1778158947842,1778158947924,686384,0,669392
44,0,2,109,2,105,1778158949833,1778158949929,835750,15324,805100
45,0,0,114,2,112,1778158951835,1778158951902,1082577,3202,1079375
46,0,3,108,2,103,1778158953833,1778158953930,392136,7248,374020
47,0,4,105,3,102,1778158955834,1778158955906,587910,16779,571131
48,0,10,101,5,91,1778158957842,1778158957922,768541,38011,692520
49,0,9,108,1,105,1778158959839,1778158959922,1013056,1572,1008334
50,0,5,125,4,116,1778158961835,1778158961906,444796,14208,412819
51,0,59,182,56,112,1778158963847,1778158963925,1014058,311863,624220
52,0,36,155,81,59,1778158965844,1778158965930,1173601,613168,446876
53,0,35,108,67,36,1778158967841,1778158967927,455077,102952,344388
54,0,61,118,57,35,1778158969839,1778158969901,413275,199448,122827
55,0,54,152,69,61,1778158971845,1778158971923,838461,380451,336723
56,0,53,137,55,73,1778158973846,1778158973936,1030640,413507,549453
57,0,9,110,38,64,1778158975842,1778158975941,678441,56883,609553
58,0,0,104,3,101,1778158977844,1778158977952,363749,10452,353297
59,0,8,97,4,87,1778158979866,1778158980000,536331,22087,481104
60,0,49,188,66,108,1778158982175,1778158982239,1459095,512044,838444
61,0,62,124,57,49,1778158983927,1778158984008,579934,85986,466805
