Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,57,94,81,0,1778158863797,1778158863852,199044,171507,0
2,0,40,271,145,79,1778158865801,1778158865873,1120343,599071,327098
3,0,36,140,84,40,1778158867799,1778158867886,859882,515766,245857
4,0,50,56,17,36,1778158869798,1778158869894,456163,138414,293324
5,0,122,216,131,48,1778158871807,1778158871899,843312,277715,487140
6,0,121,209,134,38,1778158873801,1778158873866,851984,545869,155378
7,0,121,163,85,54,1778158875802,1778158875889,992525,517261,329214
8,0,98,245,140,67,1778158877805,1778158877910,1982601,1132191,543075
9,0,52,192,114,46,1778158879805,1778158879881,758875,231264,462701
10,0,25,313,198,52,1778158881807,1778158881892,1261071,797259,210178
11,0,30,129,84,25,1778158883810,1778158883882,774925,504365,150437
12,0,63,136,62,56,1778158885815,1778158885907,1090751,496911,449592
13,0,1,72,8,63,1778158887804,1778158887876,646398,15702,628732
14,0,2,124,25,94,1778158889805,1778158889876,490876,98817,372302
15,0,0,105,2,103,1778158891802,1778158891883,625403,11890,613513
16,0,20,267,124,104,1778158893810,1778158893907,2126835,987324,828977
17,0,0,90,37,39,1778158895803,1778158895896,486716,71528,388122
18,0,14,168,63,78,1778158897808,1778158897893,659302,246993,306461
19,0,7,178,78,79,1778158899808,1778158899882,1051568,460597,466980
20,0,69,186,83,78,1778158901808,1778158901913,1474807,657791,618894
21,0,48,185,89,69,1778158903808,1778158903920,906852,169849,685447
22,0,18,237,139,58,1778158905813,1778158905895,917206,537456,225158
23,0,49,154,94,29,1778158907810,1778158907894,902016,550358,170168
24,0,33,289,176,58,1778158909816,1778158909920,2274037,1384459,456958
25,0,17,180,113,42,1778158911813,1778158911886,663067,204723,413023
26,0,21,99,69,27,1778158913811,1778158913889,377292,262867,102998
27,0,48,182,115,40,1778158915812,1778158915887,1056311,667333,232305
28,0,23,141,73,48,1778158917811,1778158917907,1102861,570924,375521
29,0,72,143,59,69,1778158919813,1778158919916,811844,106636,678101
30,0,48,199,92,72,1778158921814,1778158921896,753423,348075,272925
31,0,82,108,33,72,1778158923812,1778158923929,627999,191784,418780
32,0,54,134,22,107,1778158925813,1778158925889,1041300,170884,831587
33,0,77,98,14,76,1778158927821,1778158927912,783029,24815,744041
34,0,1,82,1,80,1778158929815,1778158929900,308085,3748,300589
35,0,0,129,12,117,1778158931819,1778158931909,742681,68993,673688
36,0,22,142,35,99,1778158933819,1778158933900,1099124,270747,766491
37,0,32,213,99,65,1778158935819,1778158935904,887914,170416,633169
38,0,64,80,27,48,1778158937819,1778158937883,295493,99604,177436
39,0,4,107,1,104,1778158939816,1778158939887,609115,5688,592051
40,0,0,86,7,79,1778158941818,1778158941903,662312,53893,608419
41,0,0,89,1,88,1778158943817,1778158943902,855001,1664,853337
42,0,3,104,5,99,1778158945820,1778158945893,379811,18214,361597
43,0,1,90,5,85,1778158947819,1778158947917,509884,28285,481599
44,0,2,100,4,96,1778158949819,1778158949919,765764,30614,735150
45,0,0,99,3,96,1778158951821,1778158951895,929220,4782,924438
46,0,2,92,8,84,1778158953819,1778158953944,335245,29094,306151
47,0,0,108,2,106,1778158955820,1778158955887,602616,11144,591472
48,0,2,115,4,110,1778158957825,1778158957912,873883,30368,835922
49,0,1,102,10,92,1778158959826,1778158959920,899100,15735,883365
50,0,1,101,4,97,1778158961821,1778158961886,357374,14135,343239
51,0,34,228,104,101,1778158963834,1778158963917,1268212,578256,562077
52,0,32,110,65,39,1778158965833,1778158965921,831798,491417,295016
53,0,34,116,64,47,1778158967828,1778158967919,554605,97703,449270
54,0,48,114,50,52,1778158969824,1778158969882,397402,174025,181612
55,0,42,127,49,73,1778158971831,1778158971929,701413,270448,403368
56,0,28,171,96,42,1778158973832,1778158973929,1284958,721185,315847
57,0,0,75,26,47,1778158975824,1778158975937,489251,38844,447435
58,0,0,81,3,78,1778158977828,1778158977931,281625,10389,271236
59,0,0,135,8,127,1778158979829,1778158979928,736795,43610,693185
60,0,0,154,62,89,1778158981847,1778158981951,1150867,463155,665300
61,0,74,107,43,58,1778158983951,1778158984044,630316,66422,554629
62,0,59,212,104,74,1778158985950,1778158986023,745816,365580,260735
63,0,34,105,37,59,1778158987876,1778158987959,572191,201476,321705
64,0,81,111,25,77,1778158989899,1778158989975,827988,186368,574521
65,0,69,195,80,81,1778158991883,1778158991956,923624,111764,764339
66,0,42,143,53,69,1778158993866,1778158993956,485839,179900,234659
67,0,46,86,19,66,1778158995864,1778158995944,462663,102166,355120
68,0,22,107,19,82,1778158997864,1778158997963,791299,140434,606524
69,0,63,208,93,77,1778158999893,1778158999987,906065,128495,725063
70,0,40,109,36,63,1778159001849,1778159001918,361168,119084,209008
71,0,6,75,2,73,1778159003845,1778159003946,400130,10650,389480
72,0,10,89,2,87,1778159005860,1778159005957,653289,14664,638625
73,0,0,96,3,93,1778159007843,1778159007941,870382,3843,866539
74,0,1,108,6,101,1778159009854,1778159009949,355380,19706,332390
75,0,102,114,11,103,1778159011871,1778159011994,607351,58572,548779
76,0,2,109,6,102,1778159013843,1778159013918,789927,43460,739225
77,0,0,105,5,100,1778159015849,1778159015946,933391,6244,927147
78,0,0,102,7,95,1778159017849,1778159017922,329134,22550,306584
79,0,1,107,4,103,1778159019848,1778159019924,558730,20866,537864
80,0,4,127,29,95,1778159021855,1778159021910,914662,208755,684313
