Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,83,184,136,0,1778158863771,1778158863836,387225,286205,0
2,0,67,269,86,125,1778158865765,1778158865844,1104801,353042,513642
3,0,107,247,79,111,1778158867770,1778158867862,1511269,483268,679309
4,0,162,296,118,107,1778158869775,1778158869896,2411664,961294,872003
5,0,84,208,92,73,1778158871770,1778158871872,1021709,192758,738760
6,0,89,242,113,92,1778158873767,1778158873843,981852,457796,374170
7,0,71,284,145,77,1778158875773,1778158875882,1726735,881105,468907
8,0,0,193,103,51,1778158877770,1778158877882,1556378,830054,411973
9,0,0,226,115,68,1778158879772,1778158879819,990628,226311,679693
10,0,0,146,60,69,1778158881766,1778158881812,577095,236762,273225
11,0,0,236,113,81,1778158883778,1778158883879,1417175,678049,487162
12,0,25,168,41,98,1778158885790,1778158885887,1344344,327823,784642
13,0,0,128,4,122,1778158887768,1778158887841,1225052,7690,1213509
14,0,0,90,9,80,1778158889774,1778158889837,352936,35200,313826
15,0,0,88,2,86,1778158891768,1778158891854,521690,11840,509850
16,0,0,205,86,95,1778158893774,1778158893900,1631724,684244,756561
17,0,44,269,156,61,1778158895776,1778158895903,1010911,302546,607515
18,0,0,102,41,44,1778158897775,1778158897875,398604,160115,172093
19,0,0,109,20,87,1778158899771,1778158899856,641198,117530,511916
20,0,0,140,37,92,1778158901775,1778158901818,1097112,289702,721279
21,0,0,266,120,99,1778158903778,1778158903873,1289645,223296,978866
22,0,0,161,55,71,1778158905778,1778158905868,619455,211298,273676
23,0,0,284,125,123,1778158907783,1778158907884,1661080,730257,720512
24,0,0,176,91,61,1778158909783,1778158909915,1384643,715571,480381
25,0,0,202,102,78,1778158911780,1778158911864,987192,182555,765257
26,0,0,204,84,48,1778158913785,1778158913884,776293,319539,182872
27,0,0,307,107,159,1778158915780,1778158915832,1765209,615009,914538
28,0,0,194,80,81,1778158917779,1778158917840,1504212,620168,628220
29,0,0,204,93,69,1778158919784,1778158919868,912697,163858,674843
30,0,0,199,95,68,1778158921783,1778158921855,745200,355540,254918
31,0,0,240,148,54,1778158923784,1778158923884,1384352,853519,311693
32,0,0,283,181,43,1778158925787,1778158925862,2190552,1400875,333031
33,0,0,168,92,31,1778158927790,1778158927903,544849,162262,303219
34,0,0,72,1,66,1778158929782,1778158929862,267681,3711,245415
35,0,77,112,21,89,1778158931806,1778158931916,645524,120892,513120
36,0,0,165,66,77,1778158933790,1778158933865,1271112,508241,593469
37,0,0,201,96,67,1778158935789,1778158935885,878980,163051,651397
38,0,0,310,178,69,1778158937792,1778158937858,1136552,652184,253508
39,0,0,68,21,37,1778158939783,1778158939855,384767,118754,209457
40,0,0,101,6,94,1778158941790,1778158941874,774841,46014,721159
41,0,0,91,4,86,1778158943783,1778158943826,835394,6355,827446
42,0,0,122,13,108,1778158945791,1778158945861,441649,46916,391119
43,0,0,107,10,94,1778158947791,1778158947889,603185,56279,530027
44,0,0,104,8,96,1778158949787,1778158949900,794382,61070,733312
45,0,0,83,2,81,1778158951784,1778158951827,777567,3052,774515
46,0,0,106,5,100,1778158953788,1778158953893,380865,17928,359352
47,0,0,87,2,85,1778158955785,1778158955871,483997,11112,472885
48,0,0,120,15,102,1778158957794,1778158957914,912022,113915,775323
49,0,0,105,6,97,1778158959792,1778158959897,941519,9300,929121
50,0,0,98,7,91,1778158961789,1778158961877,345842,24664,321178
51,0,0,210,79,85,1778158963803,1778158963891,1162663,437247,470822
52,0,0,294,98,116,1778158965799,1778158965900,2217016,738860,875020
53,0,0,319,79,153,1778158967797,1778158967868,1699572,116610,1454611
54,0,0,338,121,164,1778158969797,1778158969877,1176019,420327,571527
55,0,0,298,121,108,1778158971806,1778158971918,1642450,666562,595781
56,0,0,255,88,114,1778158973806,1778158973901,1909103,658509,853986
57,0,30,225,83,100,1778158975858,1778158975946,1140404,124448,952912
58,0,1,97,5,89,1778158977846,1778158977958,339881,17447,311967
59,0,1,103,16,84,1778158979829,1778158979952,564469,87576,460473
60,0,27,265,128,85,1778158981872,1778158981984,1988785,960406,638219
61,0,0,265,124,68,1778158983833,1778158983909,918771,174787,641081
62,0,0,254,142,73,1778158985813,1778158985887,859208,480006,247351
63,0,0,254,139,54,1778158987810,1778158987880,1363517,746001,290125
64,0,0,296,176,61,1778158989817,1778158989900,2184891,1298903,450555
65,0,0,216,127,43,1778158991815,1778158991883,632244,168585,402644
66,0,0,267,148,64,1778158993812,1778158993910,894021,495381,214547
67,0,0,247,140,51,1778158995823,1778158995922,1322947,749753,273296
68,0,0,186,83,62,1778158997812,1778158997904,1363984,608542,454854
69,0,0,223,111,68,1778158999817,1778158999916,839287,145950,635499
70,0,0,262,149,69,1778159001814,1778159001896,861334,489562,227204
71,0,0,73,11,57,1778159003809,1778159003885,384960,57960,300657
72,0,0,113,18,95,1778159005822,1778159005932,826475,131546,694929
73,0,0,100,0,100,1778159007811,1778159007866,924320,0,924320
74,0,0,103,7,93,1778159009813,1778159009909,334808,22708,302366
75,0,0,116,11,102,1778159011829,1778159011947,612457,58047,538579
76,0,0,105,9,96,1778159013808,1778159013888,757780,64919,692861
77,0,0,109,0,109,1778159015820,1778159015928,1008627,0,1008627
78,0,0,115,7,105,1778159017814,1778159017873,365426,22195,333719
79,0,0,113,4,106,1778159019818,1778159019910,588484,20810,552067
80,0,0,107,27,78,1778159021814,1778159021892,768647,193869,560418
81,0,0,69,2,67,1778159023814,1778159023912,618803,2366,616437
82,0,0,105,2,102,1778159025818,1778159025915,334591,6363,325045
83,0,0,96,5,90,1778159027819,1778159027911,497084,25867,466044
