Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,0,558,243,0,1778651918324,1778651918396,1137030,492185,0
2,0,30,806,233,233,1778651920338,1778651920419,1520333,464965,369796
3,0,121,234,181,30,1778651922309,1778651922445,331640,177946,61110
4,0,58,484,0,168,1778651924322,1778651924452,1243877,0,293757
5,0,0,312,42,58,1778651926314,1778651926413,604877,80544,114839
6,0,0,322,122,130,1778651928316,1778651928406,551152,100999,176150
7,0,0,430,0,66,1778651930327,1778651930455,1125573,0,65431
8,0,0,450,165,12,1778651932338,1778651932475,833202,305038,16987
9,0,0,239,192,24,1778651934313,1778651934408,270694,137391,46200
10,0,0,601,250,94,1778651936343,1778651936456,1060656,178299,164932
11,0,0,323,83,19,1778651938329,1778651938452,677061,55296,17874
12,0,0,483,0,129,1778651940344,1778651940506,1150001,0,179909
13,0,0,516,147,79,1778651942336,1778651942453,867820,238951,151796
14,0,0,266,28,190,1778651944321,1778651944447,430527,16296,240216
15,0,0,420,0,39,1778651946325,1778651946444,1061444,0,73632
16,0,0,417,16,155,1778651948339,1778651948480,641053,25131,223397
17,0,0,246,94,9,1778651950323,1778651950430,565402,44453,16708
18,0,0,414,0,70,1778651952335,1778651952442,978316,0,116708
19,0,0,512,200,14,1778651954341,1778651954477,742794,289392,12264
20,0,0,442,132,50,1778651956338,1778651956477,608034,182659,57650
21,0,0,359,281,1,1778651958332,1778651958414,332994,74999,1781
22,0,0,535,235,25,1778651960371,1778651960495,768907,71746,44267
23,0,0,416,166,1,1778651962349,1778651962457,601642,31268,794
24,0,0,313,0,2,1778651964343,1778651964462,694840,0,1566
25,0,239,95,19,76,1778651966314,1778651966441,154869,21261,133608
26,0,0,477,0,91,1778651968361,1778651968535,1324314,0,76531
28,1,0,390,0,390,1778651972881,1778651973151,818077,0,818077
29,1,0,31,0,31,1778651974314,1778651974416,21239,0,21239
30,1,0,176,0,176,1778651976322,1778651976433,267955,0,267955
31,1,0,50,0,50,1778651978316,1778651978407,68666,0,68666
32,1,0,78,0,78,1778651980322,1778651980430,68526,0,68526
33,1,0,47,0,47,1778651982319,1778651982414,50766,0,50766
34,1,0,117,0,117,1778651984324,1778651984416,116771,0,116771
35,1,0,34,0,34,1778651986319,1778651986427,46192,0,46192
36,1,0,66,0,66,1778651988330,1778651988427,73257,0,73257
37,1,0,40,0,40,1778651990320,1778651990412,35215,0,35215
38,1,0,10,0,10,1778651992317,1778651992420,10795,0,10795
39,1,0,8,0,8,1778651994319,1778651994462,4880,0,4880
40,1,3,7,7,0,1778651996321,1778651996423,5110,5110,0
41,1,24,355,0,3,1778651998358,1778651998441,980677,0,6108
42,1,0,260,3,24,1778652000346,1778652000444,457635,5148,48837
43,1,0,237,70,0,1778652002340,1778652002417,661829,44847,0
44,1,4,380,0,32,1778652004356,1778652004484,1008747,0,59945
45,1,0,486,179,4,1778652006358,1778652006449,760709,269635,7948
46,1,0,177,97,56,1778652008338,1778652008414,196202,37281,75436
47,1,0,344,0,38,1778652010371,1778652010472,833456,0,75392
48,1,0,383,75,56,1778652012357,1778652012457,508078,95054,65615
49,1,0,142,30,36,1778652014335,1778652014460,326378,6744,69094
50,1,0,372,0,34,1778652016355,1778652016437,796613,0,46024
51,1,0,275,49,23,1778652018351,1778652018440,342198,57450,43217
52,1,48,135,0,34,1778652020339,1778652020431,359078,0,39031
53,1,108,263,48,15,1778652022351,1778652022441,554778,99914,27795
54,1,239,213,79,26,1778652024356,1778652024463,564355,84974,34486
55,1,88,300,0,6,1778652026358,1778652026507,931421,0,11412
56,1,77,372,88,32,1778652028762,1778652028873,892146,210771,65061
57,1,0,128,33,30,1778652030459,1778652030532,335279,31902,38897
58,1,0,360,0,17,1778652032466,1778652032513,1041098,0,14484
59,1,0,136,39,9,1778652034351,1778652034450,253487,72735,16060
60,1,0,75,0,75,1778652036361,1778652036458,97925,0,97925
61,1,0,37,0,37,1778652038341,1778652038447,63674,0,63674
62,1,0,36,0,36,1778652040345,1778652040396,26445,0,26445
63,1,0,23,0,23,1778652042352,1778652042478,39767,0,39767
64,1,0,39,0,39,1778652044342,1778652044517,53010,0,53010
65,1,0,5,0,5,1778652046399,1778652046497,8555,0,8555
67,2,0,10,0,10,1778652050918,1778652051021,37528,0,37528
68,2,0,0,0,0,1778652052336,1778652052442,0,0,0
69,2,0,0,0,0,1778652054338,1778652054473,0,0,0
70,2,0,0,0,0,1778652056335,1778652056389,0,0,0
