Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,99,881,300,477,1778772123763,1778772123843,2043841,730358,1087522
2,0,52,729,256,378,1778772125748,1778772125845,1426865,294298,1023221
3,0,437,1000,685,74,1778772127753,1778772127833,1316599,767629,278769
4,0,497,1000,515,286,1778772129753,1778772129842,2385584,958108,1042489
5,0,112,896,384,391,1778772131753,1778772131822,2144384,957289,875290
6,0,123,646,150,412,1778772133749,1778772133896,1209790,239164,851180
7,0,120,561,132,352,1778772135750,1778772135817,1051182,181916,761459
8,0,226,1000,643,120,1778772137761,1778772137848,1584555,787589,476239
9,0,152,1000,488,315,1778772139759,1778772139845,2601316,1059668,1105104
10,0,157,346,258,0,1778773206626,1778773206779,880992,675627,0
11,0,289,794,114,622,1778773208604,1778773209043,3149333,242816,2793872
12,0,873,1000,525,284,1778773210604,1778773210907,2472625,1011758,1120883
13,0,871,1000,607,181,1778773212595,1778773212838,3255497,1772256,869576
14,0,330,1000,551,257,1778773214586,1778773214888,3332016,1696044,1048958
15,0,0,660,235,322,1778773216568,1778773216674,1708259,458445,1091245
16,0,146,642,132,433,1778773218568,1778773218715,1834326,170733,1562317
17,0,371,346,258,0,1779156166934,1779156167070,912783,699540,0
18,0,575,748,114,576,1779156168859,1779156169146,2917186,230147,2580920
19,0,953,1000,492,338,1779156170864,1779156171120,2658112,959351,1388807
20,0,533,1000,602,173,1779156172863,1779156173024,3272302,1794980,821024
21,0,358,1000,566,244,1779156174847,1779156175019,3244604,1698355,976252
22,0,241,706,258,335,1779156176835,1779156177009,1888297,532585,1164825
23,0,245,642,132,433,1779156178829,1779156179011,1824760,167615,1557676
24,0,369,1000,436,391,1779156180948,1779156181058,2253888,536477,1478479
25,0,280,1000,586,193,1779156182880,1779156182995,2839317,1473292,814428
