Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,0,815,647,0,1778772123273,1778772123368,1396659,1118257,0
2,0,21,1000,516,331,1778772125276,1778772125415,2244740,716929,1322103
3,0,0,364,145,186,1778772127261,1778772127413,1066263,327445,661271
4,0,0,715,281,342,1778772129272,1778772129417,1683239,442190,1100858
5,0,0,788,391,279,1778772131270,1778772131423,1525993,464434,917342
6,0,0,753,426,224,1778772133278,1778772133413,1699052,686126,811687
7,0,0,588,326,169,1778772135271,1778772135389,1214096,496997,582932
8,0,0,355,53,287,1778772137265,1778772137400,1036852,103370,913227
9,0,0,607,173,370,1778772139280,1778772139373,1412853,177471,1187812
10,0,354,1000,792,0,1778773206912,1778773207173,2370504,1888482,0
11,0,259,827,388,322,1778773208719,1778773209061,2291126,594316,1518723
12,0,429,298,128,141,1778773210666,1778773210912,1063057,348355,632811
13,0,463,637,281,264,1778773212677,1778773212920,1919062,591465,1138486
14,0,575,832,391,323,1778773214684,1778773214919,2351143,671435,1473023
15,0,386,822,426,293,1778773216687,1778773216826,2422770,873946,1302132
16,0,287,607,326,188,1778773218675,1778773218821,1576836,643970,756840
17,0,287,815,647,0,1779156166937,1779156167063,1831115,1463273,0
18,0,161,1000,522,322,1779156168836,1779156168982,2618194,921542,1429056
19,0,0,319,139,150,1779156170794,1779156170901,1057148,350671,628519
20,0,18,618,281,245,1779156172821,1779156172971,1714880,531261,1014209
21,0,22,824,391,315,1779156174821,1779156174987,2164457,577261,1408912
22,0,0,833,426,304,1779156176826,1779156176919,2318457,783360,1310178
23,0,137,612,326,193,1779156178803,1779156178923,1477670,574631,746844
24,0,32,357,53,289,1779156180858,1779156181020,1159056,119384,1014919
25,0,0,526,173,289,1779156182837,1779156182938,1338771,219633,1055998
