Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,84,255,170,34,1779097956844,1779097957120,644350,434589,21888
2,0,93,189,97,8,1779097958820,1779097959090,416374,118403,9292
3,0,112,148,22,33,1779097960827,1779097961092,348282,24302,20925
4,0,0,175,48,15,1779097962835,1779097963068,413402,47228,17623
5,0,0,190,79,0,1779097964876,1779097965096,410085,72479,0
6,0,17,209,96,1,1779097966832,1779097967022,395431,71393,1178
7,0,6,175,82,20,1779097968829,1779097969048,299927,55002,40296
8,0,1,111,36,12,1779097970840,1779097971173,224526,24970,21106
9,0,66,135,0,8,1779097972861,1779097973127,352892,0,10447
10,0,8,182,63,5,1779097974866,1779097975088,426220,144209,8612
11,0,0,163,8,2,1779097976828,1779097976983,330917,15535,1959
12,0,0,194,7,25,1779097978844,1779097979023,341371,12868,26025
13,0,0,171,69,3,1779097980829,1779097980976,296421,118076,4771
14,0,0,193,141,2,1779097982846,1779097983055,329073,238376,3981
15,0,0,186,68,0,1779097984879,1779097985166,320570,114136,0
16,0,0,232,130,36,1779097986874,1779097987048,316522,184671,33788
17,0,57,119,113,6,1779097988836,1779097989029,142230,134822,7408
18,0,121,119,60,2,1779097990865,1779097991288,286311,81659,2290
19,0,0,136,8,9,1779097992849,1779097992989,385203,7848,9382
20,0,0,161,12,4,1779097994881,1779097995070,465545,11840,5552
21,0,167,175,7,4,1779097996937,1779097997189,525286,7168,3969
22,0,0,215,37,11,1779097998889,1779097999058,527150,29419,10280
23,0,0,203,90,1,1779098000862,1779098000987,370018,57344,1757
24,0,0,128,41,18,1779098002843,1779098003148,257669,29108,33151
25,0,0,153,0,4,1779098004862,1779098005028,396947,0,6016
27,1,0,21,0,21,1779098008831,1779098009309,43137,0,43137
28,1,0,11,0,11,1779098010819,1779098010954,11882,0,11882
29,1,0,35,0,35,1779098012827,1779098012929,52408,0,52408
30,1,0,4,0,4,1779098014821,1779098014919,5196,0,5196
31,1,0,6,0,6,1779098016822,1779098017026,4814,0,4814
32,1,0,10,0,10,1779098018831,1779098018932,10297,0,10297
33,1,0,16,0,16,1779098020837,1779098021081,14446,0,14446
34,1,0,10,0,10,1779098022826,1779098022937,7928,0,7928
35,1,0,18,0,18,1779098024836,1779098024958,17033,0,17033
36,1,0,17,0,17,1779098026829,1779098026935,15871,0,15871
37,1,0,27,0,27,1779098028837,1779098028963,15618,0,15618
38,1,0,22,0,22,1779098030845,1779098031083,30546,0,30546
39,1,0,9,0,9,1779098032841,1779098032970,7740,0,7740
40,1,0,5,0,5,1779098034845,1779098035092,3591,0,3591
41,1,0,9,0,9,1779098036855,1779098036999,8682,0,8682
42,1,0,8,0,8,1779098038848,1779098039078,7649,0,7649
43,1,0,7,0,7,1779098040844,1779098040945,9096,0,9096
44,1,0,12,0,12,1779098042843,1779098042937,2806,0,2806
45,1,0,7,0,7,1779098044842,1779098044963,6061,0,6061
46,1,6,0,0,0,1779098046839,1779098046968,0,0,0
47,1,0,9,0,9,1779098048846,1779098048931,15755,0,15755
48,1,1,1,0,1,1779098050847,1779098050930,1061,0,1061
49,1,0,1,0,1,1779098052843,1779098052972,2089,0,2089
50,1,1,1,0,1,1779098054845,1779098055032,1133,0,1133
51,1,1,1,0,1,1779098056844,1779098056972,2047,0,2047
52,1,3,1,0,1,1779098058850,1779098059111,2177,0,2177
53,1,0,3,0,3,1779098060845,1779098060934,5910,0,5910
54,1,0,1,0,1,1779098062851,1779098063079,2107,0,2107
55,1,0,0,0,0,1779098064846,1779098064927,0,0,0
56,1,0,6,0,6,1779098066853,1779098067041,12260,0,12260
57,1,0,0,0,0,1779098068847,1779098068932,0,0,0
58,1,0,0,0,0,1779098070848,1779098070924,0,0,0
59,1,0,6,0,6,1779098072853,1779098072981,8653,0,8653
60,1,0,9,0,9,1779098074855,1779098074948,14059,0,14059
61,1,0,10,0,10,1779098076858,1779098077028,15618,0,15618
62,1,0,3,0,3,1779098078852,1779098078937,4568,0,4568
63,1,0,6,0,6,1779098080872,1779098081096,7988,0,7988
64,1,0,18,0,18,1779098082858,1779098082950,17851,0,17851
65,1,0,17,0,17,1779098084869,1779098085073,22763,0,22763
66,1,0,11,0,11,1779098086859,1779098086956,12696,0,12696
67,1,0,13,0,13,1779098088860,1779098088941,18890,0,18890
68,1,0,10,0,10,1779098090862,1779098091043,15463,0,15463
69,1,0,12,0,12,1779098092862,1779098092950,15816,0,15816
70,1,0,18,0,18,1779098094884,1779098094987,25696,0,25696
71,1,0,5,0,5,1779098096863,1779098096945,6521,0,6521
72,1,0,3,0,3,1779098098869,1779098099028,4315,0,4315
73,1,0,14,0,14,1779098100863,1779098100956,11524,0,11524
74,1,0,28,0,28,1779098102876,1779098102963,26752,0,26752
75,1,0,108,0,108,1779098104887,1779098104968,167148,0,167148
76,1,0,13,0,13,1779098106866,1779098106944,15835,0,15835
77,1,0,9,0,9,1779098108874,1779098109059,12299,0,12299
78,1,0,22,0,22,1779098110872,1779098110956,17473,0,17473
79,1,0,19,0,19,1779098112872,1779098113134,18683,0,18683
