Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,0,259,203,47,1779159101731,1779159101848,851998,566935,259393
2,0,0,238,117,119,1779159103731,1779159103841,992659,188549,800198
3,0,0,209,63,138,1779159105738,1779159105851,936792,109493,812332
4,0,0,341,69,262,1779159107743,1779159107847,1683334,53170,1623948
5,0,0,436,195,228,1779159109741,1779159109892,1385974,225763,1145147
6,0,0,451,191,248,1779159111740,1779159111911,1280598,163249,1109062
7,0,13,307,51,250,1779159113734,1779159113837,1319712,60875,1251690
8,0,0,207,26,180,1779159115733,1779159116077,1304553,46407,1255793
9,0,0,144,40,95,1779159117733,1779159117908,960567,33891,920644
10,0,189,16,0,16,1779159119730,1779159120655,54751,0,54751
11,0,159,189,65,113,1779159121740,1779159123093,1682810,256966,1383800
12,0,4,358,43,314,1779159123749,1779159124310,3060008,75812,2982566
13,0,0,315,61,250,1779159125745,1779159125842,1603277,61162,1538552
14,0,0,367,81,278,1779159127742,1779159127834,1886718,62967,1819085
15,0,0,359,61,294,1779159129749,1779159129837,2135034,68561,2061966
16,0,0,332,92,235,1779159131744,1779159131881,1816487,144644,1663759
17,0,0,424,142,269,1779159133752,1779159133857,2358058,162897,2180218
18,0,0,225,20,202,1779159135750,1779159135861,1883119,18914,1860665
19,0,0,148,53,82,1779159137746,1779159137887,1011739,24961,981731
20,0,0,249,49,197,1779159139748,1779159139836,1323795,55285,1265180
21,0,0,466,147,308,1779159141756,1779159141854,1552570,217846,1319761
22,0,0,404,106,294,1779159143754,1779159143892,1813109,159269,1648262
23,0,0,308,124,179,1779159145752,1779159145889,1165383,131161,1029306
24,0,0,398,67,319,1779159147755,1779159147915,1973336,74749,1886743
25,0,0,257,18,237,1779159149750,1779159149886,1726788,20427,1704052
26,0,0,371,109,253,1779159151755,1779159151897,1841349,153905,1671120
27,0,0,312,69,238,1779159153755,1779159153928,2122542,97916,2016541
