Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,50,84,84,0,1778171202431,1778171202496,171069,171069,0
2,0,15,103,80,23,1778171204441,1778171204540,349983,326316,23667
3,0,44,58,1,31,1778171206433,1778171206503,208443,6041,44527
4,0,17,137,0,45,1778171208441,1778171208532,834158,0,90301
5,0,62,60,25,18,1778171210435,1778171210573,234988,26184,36738
6,0,40,81,46,35,1778171212438,1778171212547,209173,138893,70280
7,0,0,86,0,5,1778171214438,1778171214512,416453,0,9838
8,0,37,95,0,9,1778171216442,1778171216542,622559,0,17847
9,0,0,72,0,21,1778171218442,1778171218536,487082,0,27322
10,0,0,99,68,31,1778171220440,1778171220542,195109,134039,61070
11,0,0,150,32,78,1778171222446,1778171222543,391796,127056,104879
12,0,0,128,0,27,1778171224444,1778171224543,657217,0,52407
13,0,0,110,0,31,1778171226449,1778171226550,681267,0,50379
14,0,0,58,3,48,1778171228445,1778171228541,163470,2670,90982
15,0,0,81,19,18,1778171230445,1778171230563,209396,55302,23329
16,0,0,160,0,63,1778171232448,1778171232537,594684,0,117475
17,0,0,126,0,28,1778171234451,1778171234557,704367,0,25227
18,0,0,55,0,1,1778171236444,1778171236535,481879,0,1841
19,0,0,64,49,15,1778171238460,1778171238559,110773,91909,18864
20,0,0,114,0,24,1778171240454,1778171240562,394502,0,43872
21,0,0,165,0,64,1778171242464,1778171242579,664875,0,68238
22,0,0,96,0,0,1778171244454,1778171244555,756334,0,0
23,0,15,61,35,0,1778171246456,1778171246560,286369,29508,0
24,0,0,63,48,15,1778171248451,1778171248540,165199,135490,29709
25,0,0,100,0,24,1778171250450,1778171250537,390861,0,23327
26,0,39,128,0,33,1778171252451,1778171252593,697696,0,43775
27,0,0,120,0,54,1778171254456,1778171254558,675605,0,91899
29,1,0,0,0,0,1778171258564,1778171258599,0,0,0
30,1,36,82,82,0,1778171260462,1778171260577,141209,141209,0
31,1,42,92,56,36,1778171262453,1778171262585,281116,208792,72324
32,1,0,258,0,139,1778171264468,1778171264544,854788,0,175091
33,1,0,103,0,9,1778171266461,1778171266552,736276,0,11625
34,1,0,149,71,42,1778171268472,1778171268567,437721,47357,40475
35,1,0,126,120,6,1778171270457,1778171270546,326945,317365,9580
36,1,0,99,6,28,1778171272462,1778171272580,360486,28074,26740
37,1,0,200,0,71,1778171274469,1778171274594,969607,0,104357
38,1,0,110,0,30,1778171276462,1778171276533,717579,0,26670
39,1,0,107,53,3,1778171278466,1778171278557,172623,85330,3728
40,1,0,112,0,5,1778171280478,1778171280584,395704,0,4635
41,1,0,132,0,21,1778171282478,1778171282603,656585,0,27504
42,1,0,108,0,11,1778171284481,1778171284629,755905,0,10395
43,1,0,79,67,0,1778171286463,1778171286595,155539,39751,0
44,1,0,114,33,24,1778171288461,1778171288563,255920,84513,23088
45,1,0,132,0,21,1778171290483,1778171290576,544414,0,34402
46,1,0,86,0,11,1778171292462,1778171292535,511686,0,21186
47,1,0,82,0,10,1778171294463,1778171294549,627947,0,12297
48,1,0,62,14,0,1778171296469,1778171296574,95698,21294,0
49,1,1,94,0,0,1778171298470,1778171298594,335145,0,0
50,1,0,97,0,4,1778171300470,1778171300585,520982,0,5011
51,1,0,97,0,0,1778171302465,1778171302525,725505,0,0
52,1,0,53,15,0,1778171304468,1778171304586,369668,7365,0
53,1,0,88,0,1,1778171306471,1778171306578,218798,0,984
54,1,0,116,0,6,1778171308470,1778171308569,502201,0,8829
55,1,0,109,0,0,1778171310469,1778171310550,704272,0,0
56,1,0,82,0,0,1778171312467,1778171312567,694889,0,0
58,2,0,0,0,0,1778171316627,1778171316680,0,0,0
59,2,0,60,9,0,1778171318473,1778171318539,81508,12114,0
60,2,2,102,0,0,1778171320474,1778171320551,343360,0,0
61,2,0,45,0,2,1778171322474,1778171322540,233988,0,3990
62,2,0,0,0,0,1778171324466,1778171324611,0,0,0
63,2,0,0,0,0,1778171326467,1778171326575,0,0,0
64,2,0,0,0,0,1778171328468,1778171328551,0,0,0
