Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,125,267,184,0,1778168997871,1778168997918,571354,393793,0
2,0,111,253,79,125,1778168999862,1778168999922,1047123,326613,517917
3,0,107,287,110,111,1778169001877,1778169001970,1773450,679501,686229
4,0,162,189,46,107,1778169003863,1778169003941,1539689,374650,871845
5,0,176,208,92,73,1778169005872,1778169005941,1027772,195693,740561
6,0,166,242,113,92,1778169007859,1778169007934,995414,464281,379113
7,0,122,284,145,77,1778169009863,1778169009953,1734353,884503,471720
8,0,157,193,103,51,1778169011861,1778169011967,1563140,833570,413885
9,0,69,226,115,68,1778169013872,1778169013947,1008022,235173,684920
10,0,81,146,60,69,1778169015863,1778169015944,588403,241262,278745
11,0,98,236,113,81,1778169017870,1778169017962,1422688,680486,489350
12,0,122,168,41,98,1778169019868,1778169019959,1345891,328197,785557
13,0,80,128,4,122,1778169021874,1778169022000,1237459,8077,1225339
14,0,86,90,9,80,1778169023868,1778169023952,357476,35697,317813
15,0,95,88,2,86,1778169025873,1778169025963,526077,11948,514129
16,0,61,205,86,95,1778169027873,1778169027936,1628122,682806,754783
17,0,44,269,156,61,1778169029882,1778169029968,1010390,301601,608267
18,0,87,102,41,44,1778169031873,1778169031951,398831,160064,172388
19,0,92,109,20,87,1778169033871,1778169033985,646616,118476,516294
20,0,99,140,37,92,1778169035870,1778169035949,1104248,291576,725984
21,0,71,266,120,99,1778169037876,1778169037963,1292209,224470,979771
22,0,123,161,55,71,1778169039874,1778169039959,621199,211909,274424
23,0,61,284,125,123,1778169041881,1778169041998,1672270,735629,724780
24,0,13,176,91,61,1778169043884,1778169043962,1380897,713816,478839
25,0,48,202,102,78,1778169045885,1778169045970,995172,186565,768355
26,0,159,204,84,48,1778169047881,1778169047973,780090,320948,184062
27,0,81,307,107,159,1778169049901,1778169049991,1789301,622380,928373
28,0,69,194,80,81,1778169051880,1778169051984,1514102,624106,632546
29,0,68,204,93,69,1778169053880,1778169053961,910086,162200,674673
30,0,54,199,95,68,1778169055881,1778169055974,742635,353207,255460
31,0,43,240,148,54,1778169057891,1778169057971,1365816,840918,308997
