Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,0,28,24,0,1778157543623,1778157543695,22413,19204,0
2,0,8,60,21,33,1778157544123,1778157544171,76476,26691,42163
3,0,0,36,0,36,1778157544623,1778157544712,65256,0,65256
4,0,6,39,36,0,1778157545146,1778157545218,90194,83258,0
5,0,0,26,0,26,1778157545625,1778157545685,72207,0,72207
6,0,1,109,85,0,1778157546129,1778157546224,361069,281570,0
7,0,0,18,0,18,1778157546626,1778157546716,68488,0,68488
8,0,4,83,60,0,1778157547127,1778157547201,355678,257115,0
9,0,0,13,0,13,1778157547624,1778157547691,62076,0,62076
10,0,0,73,58,0,1778157548128,1778157548210,386269,306896,0
11,0,0,21,0,21,1778157548627,1778157548703,121452,0,121452
12,0,0,27,26,0,1778157549127,1778157549207,169658,163373,0
13,0,0,30,0,30,1778157549629,1778157549694,203116,0,203116
14,0,0,20,17,0,1778157550129,1778157550192,145267,123479,0
15,0,0,26,0,26,1778157550629,1778157550686,201696,0,201696
16,0,0,46,32,0,1778157551131,1778157551226,12944,9008,0
17,0,0,25,0,25,1778157551632,1778157551713,19244,0,19244
18,0,0,122,99,0,1778157552133,1778157552248,158618,128719,0
19,0,0,13,0,13,1778157552631,1778157552693,22671,0,22671
20,0,4,84,64,0,1778157553135,1778157553253,193200,147201,0
21,0,0,26,0,26,1778157553633,1778157553729,72189,0,72189
22,0,0,87,70,0,1778157554137,1778157554202,282247,227092,0
23,0,0,28,0,28,1778157554634,1778157554691,104534,0,104534
24,0,0,70,55,0,1778157555137,1778157555235,299190,235078,0
25,0,0,36,0,36,1778157555636,1778157555712,171030,0,171030
26,0,0,39,30,0,1778157556136,1778157556192,203953,156886,0
27,0,0,31,0,31,1778157556638,1778157556699,177831,0,177831
28,0,10,72,52,0,1778157557139,1778157557238,451508,326095,0
29,0,0,25,0,25,1778157557640,1778157557704,168436,0,168436
30,0,3,106,88,0,1778157558141,1778157558211,767512,637183,0
31,0,0,21,0,21,1778157558637,1778157558688,162058,0,162058
32,0,0,52,42,0,1778157559140,1778157559218,11807,9533,0
33,0,0,33,0,33,1778157559640,1778157559708,23627,0,23627
34,0,0,94,72,0,1778157560146,1778157560221,115102,88163,0
35,0,0,19,0,19,1778157560644,1778157560729,32946,0,32946
36,0,1,123,97,0,1778157561143,1778157561215,272554,214947,0
37,0,0,15,0,15,1778157561642,1778157561700,40526,0,40526
38,0,0,138,101,0,1778157562143,1778157562217,443736,324764,0
39,0,0,10,0,10,1778157562641,1778157562691,36888,0,36888
40,0,15,66,51,0,1778157563144,1778157563235,279187,215731,0
41,0,0,33,0,33,1778157563645,1778157563710,155226,0,155226
42,0,0,38,33,0,1778157564144,1778157564210,197647,171639,0
43,0,0,23,0,23,1778157564645,1778157564728,131522,0,131522
44,0,0,58,44,0,1778157565147,1778157565225,360315,273348,0
45,0,0,23,0,23,1778157565647,1778157565712,154093,0,154093
46,0,0,22,18,0,1778157566146,1778157566194,157956,129237,0
47,0,0,40,0,40,1778157566648,1778157566696,307213,0,307213
48,0,0,7,6,0,1778157567147,1778157567217,1321,1132,0
49,0,0,50,0,50,1778157567648,1778157567702,33610,0,33610
50,0,0,2,2,0,1778157568147,1778157568218,2366,2366,0
51,0,0,44,0,44,1778157568652,1778157568747,75317,0,75317
52,0,0,18,16,0,1778157569150,1778157569225,39360,34986,0
53,0,0,46,0,46,1778157569656,1778157569721,123377,0,123377
54,0,0,12,9,0,1778157570152,1778157570241,38400,28800,0
55,0,0,57,0,57,1778157570654,1778157570727,210120,0,210120
56,0,0,0,0,0,1778157571152,1778157571201,0,0,0
57,0,0,58,0,58,1778157571655,1778157571731,271955,0,271955
58,0,0,2,2,0,1778157572156,1778157572247,10404,10404,0
59,0,0,46,0,46,1778157572658,1778157572726,261329,0,261329
60,0,2,70,52,0,1778157573159,1778157573299,437442,324963,0
61,0,0,16,0,16,1778157573659,1778157573743,107123,0,107123
62,0,0,93,72,0,1778157574159,1778157574241,667700,516931,0
63,0,0,23,0,23,1778157574659,1778157574739,176656,0,176656
64,0,0,36,25,0,1778157575160,1778157575230,5400,3754,0
65,0,0,31,0,31,1778157575662,1778157575756,20957,0,20957
66,0,0,15,12,0,1778157576161,1778157576251,17519,14017,0
67,0,0,47,0,47,1778157576662,1778157576739,77812,0,77812
68,0,0,26,19,0,1778157577163,1778157577231,55764,40753,0
69,0,0,47,0,47,1778157577663,1778157577759,125638,0,125638
70,0,0,64,44,0,1778157578163,1778157578249,202350,139117,0
71,0,0,32,0,32,1778157578664,1778157578742,116939,0,116939
72,0,0,67,55,0,1778157579165,1778157579228,277302,227637,0
73,0,0,37,0,37,1778157579665,1778157579728,171608,0,171608
74,0,0,32,23,0,1778157580165,1778157580247,164929,118543,0
75,0,0,41,0,41,1778157580666,1778157580738,231454,0,231454
76,0,0,12,10,0,1778157581164,1778157581223,73557,61298,0
77,0,0,48,0,48,1778157581667,1778157581720,318030,0,318030
78,0,0,96,73,0,1778157582169,1778157582234,685206,521042,0
79,0,0,21,0,21,1778157582666,1778157582721,160121,0,160121
80,0,0,63,46,0,1778157583169,1778157583254,9000,6571,0
81,0,0,26,0,26,1778157583670,1778157583748,16531,0,16531
82,0,0,53,43,0,1778157584169,1778157584234,59178,48013,0
83,0,0,32,0,32,1778157584670,1778157584744,52038,0,52038
84,0,0,66,58,0,1778157585171,1778157585234,139390,122495,0
85,0,0,16,0,16,1778157585671,1778157585752,42081,0,42081
86,0,0,113,81,0,1778157586177,1778157586253,353443,253354,0
87,0,0,13,0,13,1778157586673,1778157586747,47093,0,47093
88,0,0,74,57,0,1778157587173,1778157587249,304956,234895,0
89,0,0,27,0,27,1778157587673,1778157587720,123972,0,123972
90,0,0,51,37,0,1778157588176,1778157588241,260611,189072,0
91,0,0,31,0,31,1778157588675,1778157588779,175094,0,175094
