Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,36,94,68,0,1778157543673,1778157543719,77614,56150,0
2,0,11,141,68,51,1778157544177,1778157544217,185886,89534,67381
3,0,0,11,0,11,1778157544669,1778157544713,19949,0,19949
4,0,63,83,48,0,1778157545176,1778157545233,193101,111673,0
5,0,0,63,0,63,1778157545674,1778157545723,177440,0,177440
6,0,55,61,38,0,1778157546173,1778157546228,202354,126055,0
7,0,0,55,0,55,1778157546674,1778157546725,209771,0,209771
8,0,56,67,41,0,1778157547175,1778157547220,288397,176473,0
9,0,0,56,0,56,1778157547676,1778157547718,268962,0,268962
10,0,59,69,38,0,1778157548181,1778157548239,367032,202126,0
11,0,0,59,0,59,1778157548678,1778157548748,343909,0,343909
12,0,48,107,72,0,1778157549180,1778157549233,675115,454286,0
13,0,0,48,0,48,1778157549679,1778157549720,326249,0,326249
14,0,73,82,46,0,1778157550181,1778157550235,599126,336107,0
15,0,0,73,0,73,1778157550680,1778157550731,569518,0,569518
16,0,48,89,56,0,1778157551181,1778157551244,26740,16817,0
17,0,0,48,0,48,1778157551681,1778157551725,37522,0,37522
18,0,44,46,36,0,1778157552181,1778157552262,60399,47268,0
19,0,0,44,0,44,1778157552686,1778157552742,78959,0,78959
20,0,39,84,65,0,1778157553183,1778157553258,193687,149879,0
21,0,0,39,0,39,1778157553683,1778157553735,108505,0,108505
22,0,38,66,48,0,1778157554184,1778157554230,216011,157095,0
23,0,0,38,0,38,1778157554685,1778157554727,143226,0,143226
24,0,34,89,67,0,1778157555190,1778157555250,381772,287404,0
25,0,0,34,0,34,1778157555685,1778157555727,162061,0,162061
26,0,17,118,78,0,1778157556190,1778157556232,621766,410984,0
27,0,0,17,0,17,1778157556687,1778157556752,98421,0,98421
28,0,25,71,48,0,1778157557188,1778157557243,445625,301260,0
29,0,0,25,0,25,1778157557688,1778157557726,168985,0,168985
30,0,43,71,55,0,1778157558189,1778157558226,515106,399025,0
31,0,0,43,0,43,1778157558691,1778157558742,334170,0,334170
32,0,29,89,64,0,1778157559197,1778157559240,22052,15862,0
33,0,0,29,0,29,1778157559689,1778157559732,21469,0,21469
34,0,40,69,51,0,1778157560192,1778157560239,85774,63395,0
35,0,0,40,0,40,1778157560690,1778157560735,69531,0,69531
36,0,46,40,29,0,1778157561191,1778157561237,89534,64911,0
37,0,0,46,0,46,1778157561690,1778157561754,126747,0,126747
38,0,35,37,31,0,1778157562191,1778157562242,119863,100423,0
39,0,0,35,0,35,1778157562693,1778157562733,130583,0,130583
40,0,25,84,66,0,1778157563192,1778157563246,356155,279836,0
41,0,0,25,0,25,1778157563693,1778157563741,118391,0,118391
42,0,73,71,47,0,1778157564197,1778157564255,372486,246580,0
43,0,0,73,0,73,1778157564699,1778157564761,419902,0,419902
44,0,67,63,39,0,1778157565199,1778157565258,393445,243558,0
45,0,0,67,0,67,1778157565696,1778157565737,450531,0,450531
46,0,48,14,2,7,1778157566197,1778157566259,101431,14490,50715
47,0,0,48,0,48,1778157566698,1778157566735,370513,0,370513
48,0,42,1,0,0,1778157567197,1778157567241,213,0,0
49,0,0,42,0,42,1778157567700,1778157567740,29878,0,29878
50,0,38,5,4,0,1778157568198,1778157568279,6217,4973,0
51,0,0,38,0,38,1778157568702,1778157568779,66272,0,66272
52,0,47,1,1,0,1778157569199,1778157569254,2216,2216,0
53,0,0,47,0,47,1778157569702,1778157569746,127255,0,127255
54,0,4,9,8,0,1778157570201,1778157570254,28917,25704,0
55,0,0,39,0,39,1778157570703,1778157570748,144587,0,144587
56,0,41,2,2,0,1778157571203,1778157571245,8406,8406,0
57,0,0,41,0,41,1778157571706,1778157571755,193217,0,193217
58,0,54,0,0,0,1778157572201,1778157572256,0,0,0
59,0,0,54,0,54,1778157572706,1778157572754,308258,0,308258
60,0,31,38,35,0,1778157573206,1778157573314,238080,219283,0
61,0,0,31,0,31,1778157573706,1778157573774,208468,0,208468
62,0,30,72,51,0,1778157574210,1778157574266,518920,367582,0
63,0,0,30,0,30,1778157574710,1778157574773,231356,0,231356
64,0,22,99,73,0,1778157575212,1778157575271,18916,13954,0
65,0,0,22,0,22,1778157575713,1778157575779,15384,0,15384
66,0,22,109,83,0,1778157576215,1778157576259,128183,97604,0
67,0,0,22,0,22,1778157576709,1778157576758,36861,0,36861
68,0,33,51,35,0,1778157577213,1778157577254,110610,75909,0
69,0,0,33,0,33,1778157577710,1778157577766,88452,0,88452
70,0,54,7,6,0,1778157578211,1778157578265,22240,19063,0
71,0,0,54,0,54,1778157578712,1778157578755,198007,0,198007
72,0,51,1,1,0,1778157579214,1778157579255,4166,4166,0
73,0,0,51,0,51,1778157579715,1778157579771,238740,0,238740
74,0,41,21,19,0,1778157580213,1778157580260,108507,98173,0
75,0,0,41,0,41,1778157580716,1778157580760,232385,0,232385
76,0,57,0,0,0,1778157581213,1778157581260,0,0,0
77,0,0,57,0,57,1778157581719,1778157581776,380855,0,380855
78,0,42,48,37,0,1778157582221,1778157582282,344910,265867,0
79,0,0,42,0,42,1778157582717,1778157582765,322063,0,322063
80,0,30,91,62,0,1778157583221,1778157583287,15899,10827,0
81,0,0,30,0,30,1778157583718,1778157583786,20271,0,20271
82,0,41,76,58,0,1778157584219,1778157584260,86765,66227,0
83,0,0,41,0,41,1778157584719,1778157584772,67798,0,67798
84,0,75,58,33,0,1778157585219,1778157585263,124194,70666,0
85,0,0,75,0,75,1778157585724,1778157585771,198715,0,198715
86,0,48,32,22,0,1778157586225,1778157586286,101159,69542,0
87,0,0,48,0,48,1778157586724,1778157586796,176259,0,176259
88,0,33,59,47,0,1778157587228,1778157587288,245380,195470,0
89,0,0,33,0,33,1778157587724,1778157587785,153678,0,153678
90,0,28,102,78,0,1778157588228,1778157588313,528506,404150,0
91,0,0,28,0,28,1778157588728,1778157588815,159145,0,159145
92,0,34,65,55,0,1778157589225,1778157589283,399654,338172,0
93,0,0,34,0,34,1778157589730,1778157589831,227699,0,227699
94,0,44,50,36,0,1778157590232,1778157590328,359521,258854,0
95,0,0,44,0,44,1778157590727,1778157590791,336697,0,336697
96,0,3,67,53,0,1778157591230,1778157591272,7987,6319,0
97,0,28,3,0,3,1778157591726,1778157591768,1846,0,1846
98,0,4,85,49,28,1778157592230,1778157592271,94706,54492,31317
99,0,13,4,0,4,1778157592727,1778157592767,6434,0,6434
100,0,21,83,39,13,1778157593237,1778157593297,177204,83231,27812
101,0,58,21,0,21,1778157593729,1778157593781,54975,0,54975
102,0,31,144,45,58,1778157594233,1778157594278,448242,140011,180671
103,0,49,31,0,31,1778157594731,1778157594784,112142,0,112142
104,0,15,152,71,49,1778157595237,1778157595277,624377,291558,201409
105,0,26,15,0,15,1778157595730,1778157595775,69062,0,69062
106,0,4,71,36,26,1778157596233,1778157596275,362294,183647,132745
107,0,36,4,0,4,1778157596730,1778157596777,22412,0,22412
108,0,3,96,41,36,1778157597240,1778157597292,586547,250317,220238
109,0,29,3,0,3,1778157597733,1778157597780,19779,0,19779
110,0,4,82,39,29,1778157598240,1778157598318,584423,277774,206917
111,0,33,4,0,4,1778157598733,1778157598790,30380,0,30380
112,0,72,33,0,33,1778157599236,1778157599283,266743,0,266743
113,0,34,72,50,0,1778157599738,1778157599783,40779,28316,0
114,0,63,34,0,34,1778157600236,1778157600296,36795,0,36795
115,0,34,63,43,0,1778157600742,1778157600823,100971,68919,0
116,0,89,34,0,34,1778157601239,1778157601331,71715,0,71715
117,0,23,89,62,0,1778157601742,1778157601818,230627,160660,0
118,0,42,23,0,23,1778157602238,1778157602287,70414,0,70414
119,0,31,42,33,0,1778157602739,1778157602806,150086,117925,0
120,0,94,31,0,31,1778157603239,1778157603283,125627,0,125627
121,0,24,94,76,0,1778157603752,1778157603863,434983,351689,0
122,0,92,24,0,24,1778157604241,1778157604302,121602,0,121602
123,0,19,92,72,0,1778157604744,1778157604792,510873,399816,0
124,0,109,19,0,19,1778157605245,1778157605312,115397,0,115397
125,0,17,109,82,0,1778157605745,1778157605806,715085,537966,0
126,0,131,17,0,17,1778157606242,1778157606309,120070,0,120070
127,0,14,131,99,0,1778157606748,1778157606802,988945,747361,0
128,0,121,14,0,14,1778157607246,1778157607306,112739,0,112739
129,0,12,121,82,0,1778157607748,1778157607797,63812,43239,0
130,0,16,12,0,12,1778157608245,1778157608315,12548,0,12548
131,0,54,16,10,0,1778157608746,1778157608801,24435,15273,0
132,0,0,54,0,54,1778157609252,1778157609320,110411,0,110411
133,0,50,0,0,0,1778157609746,1778157609815,0,0,0
134,0,6,50,0,50,1778157610252,1778157610310,151470,0,151470
135,0,0,6,1,0,1778157610749,1778157610796,21078,3513,0
136,0,0,39,0,39,1778157611250,1778157611294,156393,0,156393
137,0,37,4,4,0,1778157611751,1778157611795,18036,18036,0
138,0,0,37,0,37,1778157612251,1778157612302,185578,0,185578
139,0,40,19,17,0,1778157612750,1778157612810,104874,93835,0
140,0,9,40,0,40,1778157613253,1778157613328,241526,0,241526
141,0,49,9,9,0,1778157613753,1778157613805,58593,58593,0
142,0,0,49,0,49,1778157614255,1778157614300,343286,0,343286
143,0,18,79,57,0,1778157614757,1778157614813,593716,428382,0
144,0,0,18,0,18,1778157615252,1778157615292,143905,0,143905
145,0,43,28,23,0,1778157615756,1778157615828,14455,11875,0
