Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,37,152,81,58,1778170894266,1778170894318,338137,180168,129042
2,0,31,229,145,37,1778170896266,1778170896312,964751,610692,156119
3,0,51,131,84,31,1778170898267,1778170898324,814869,522420,192931
4,0,51,117,49,51,1778170900269,1778170900340,594226,146658,419944
5,0,8,288,163,82,1778170902270,1778170902317,836847,355450,387649
6,0,64,165,125,8,1778170904269,1778170904340,692145,524307,33616
7,0,56,175,82,64,1778170906273,1778170906416,1096060,513296,401239
8,0,34,214,130,56,1778170908282,1778170908372,1340546,730677,460136
9,0,46,251,169,34,1778170910274,1778170910355,713070,366592,242354
10,0,17,266,152,62,1778170912277,1778170912339,1103677,630362,257653
11,0,49,113,77,17,1778170914275,1778170914342,693674,472596,104515
12,0,16,78,24,49,1778170916271,1778170916349,579111,147131,399325
13,0,44,125,18,105,1778170918272,1778170918354,705920,38076,663614
14,0,2,58,9,46,1778170920276,1778170920368,239580,37143,190056
15,0,70,103,2,101,1778170922276,1778170922339,628092,12178,615914
16,0,55,287,124,124,1778170924288,1778170924356,2325510,1004306,1005329
17,0,89,70,37,19,1778170926273,1778170926351,297485,76649,191831
18,0,146,168,63,78,1778170928282,1778170928372,686009,256909,319009
19,0,19,178,78,79,1778170930280,1778170930346,1076696,471460,478329
20,0,69,186,83,78,1778170932285,1778170932377,1500196,669018,629676
21,0,48,185,89,69,1778170934280,1778170934354,926199,179032,692830
22,0,29,237,139,58,1778170936283,1778170936360,950008,556830,232986
23,0,49,154,94,29,1778170938284,1778170938373,925744,564892,174563
24,0,42,289,176,58,1778170940290,1778170940359,2308098,1405321,463625
25,0,27,180,113,42,1778170942305,1778170942402,698140,226706,421223
26,0,23,99,69,27,1778170944285,1778170944343,390316,271917,106578
27,0,43,182,115,40,1778170946284,1778170946356,1082598,683893,238143
28,0,69,141,73,48,1778170948283,1778170948344,1118382,578894,380888
29,0,37,174,59,100,1778170950290,1778170950399,894010,115313,749389
30,0,57,168,92,41,1778170952292,1778170952376,659934,361138,161411
31,0,82,108,33,72,1778170954290,1778170954389,641235,195838,427594
32,0,76,134,22,107,1778170956285,1778170956350,1057826,173616,844756
33,0,33,98,14,76,1778170958285,1778170958370,794934,26519,753267
34,0,1,82,1,80,1778170960286,1778170960378,319801,3891,312019
35,0,4,129,12,117,1778170962287,1778170962369,758662,70469,688193
36,0,29,142,35,99,1778170964292,1778170964371,1118024,275340,779750
37,0,48,213,99,65,1778170966294,1778170966353,911593,181454,640348
38,0,104,80,27,48,1778170968288,1778170968362,306687,103334,184211
39,0,4,107,1,104,1778170970290,1778170970393,626745,5854,609185
40,0,1,86,7,79,1778170972297,1778170972355,671822,54659,617163
41,0,0,89,1,88,1778170974288,1778170974338,863167,1762,861405
42,0,3,104,5,99,1778170976293,1778170976400,397627,19090,378537
43,0,96,90,5,85,1778170978290,1778170978382,521921,28980,492941
44,0,0,102,4,98,1778170980293,1778170980373,794064,31127,762937
45,0,0,97,3,94,1778170982294,1778170982384,925896,5316,920580
46,0,0,94,8,86,1778170984291,1778170984351,351426,29870,321556
47,0,0,106,2,104,1778170986307,1778170986369,609715,11492,598223
48,0,92,115,4,110,1778170988298,1778170988382,892496,31028,853711
49,0,1,102,10,92,1778170990299,1778170990380,914822,17382,897440
50,0,1,101,4,97,1778170992295,1778170992344,373772,14768,359004
51,0,0,101,0,101,1778170994301,1778170994381,578662,0,578662
52,0,0,0,0,0,1778170996291,1778170996348,0,0,0
53,0,0,0,0,0,1778170998293,1778170998363,0,0,0
54,0,0,0,0,0,1778171000294,1778171000370,0,0,0
