Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,322,815,647,0,1778651765599,1778651765715,1161388,931501,0
2,0,162,1000,522,322,1778651767606,1778651767768,1940214,570742,1206601
3,0,245,319,139,150,1778651769557,1778651769748,864437,268073,536259
4,0,229,618,281,245,1778651771582,1778651771822,1362490,374095,870451
5,0,299,824,391,315,1778651773589,1778651773766,1655884,341064,1207838
6,0,84,828,426,299,1778651775584,1778651775746,1825113,540710,1118112
7,0,311,396,157,198,1778651777567,1778651777792,1130241,359169,677272
8,0,352,354,206,90,1778651779564,1778651779749,963967,454257,381726
9,0,67,406,62,327,1778651781567,1778651781734,1529839,127103,1367623
10,0,0,471,134,281,1778651783571,1778651783679,1499166,261246,1128558
11,0,6,296,15,281,1778651785562,1778651785689,1301540,28497,1273043
12,0,4,214,17,196,1778651787559,1778651787699,1039379,31744,1005779
13,0,0,461,183,249,1778651789576,1778651789684,1841182,331155,1457560
14,0,0,617,259,303,1778651791595,1778651791723,2322195,471155,1751176
15,0,21,522,99,418,1778651793583,1778651793752,2745648,177156,2559535
16,0,68,557,209,290,1778651795582,1778651795736,2220862,313390,1821836
17,0,149,617,171,384,1778651797605,1778651797741,2126148,211952,1837042
18,0,31,550,129,373,1778651799607,1778651799741,2033091,152159,1824289
19,0,13,297,21,275,1778651801572,1778651801695,1113753,30993,1081667
20,0,38,208,24,183,1778651803580,1778651803799,935967,46045,886742
21,0,0,310,35,272,1778651805581,1778651805728,1493614,96964,1387467
22,0,307,273,14,259,1778651807848,1778651807952,1599389,18658,1580731
23,0,476,523,231,231,1778651809719,1778651809854,2048653,361520,1609251
24,0,763,1000,397,476,1778651811681,1778651811816,3708901,819074,2632396
25,0,681,1000,492,373,1778651813630,1778651813770,4209568,1405133,2418900
26,0,724,1000,532,283,1778651815603,1778651815713,4097899,1602976,1935792
27,0,93,1000,641,153,1778651817632,1778651817748,3290185,1904935,757291
28,0,323,730,416,184,1778651819622,1778651819794,1971862,866649,832232
29,0,37,920,455,323,1778651821615,1778651821735,2525550,683988,1615367
30,0,220,1000,491,359,1778651823621,1778651823763,2340879,710179,1421537
31,0,18,529,238,214,1778651825585,1778651825698,1374750,480963,753250
32,0,53,392,127,237,1778651827599,1778651827755,921681,149558,745722
33,0,23,262,0,262,1778651829588,1778651829730,1026113,0,1026113
34,0,0,23,0,23,1778651831564,1778651831687,100857,0,100857
35,0,0,0,0,0,1778651833561,1778651833698,0,0,0
36,0,0,0,0,0,1778651835561,1778651835654,0,0,0
37,0,0,0,0,0,1778651837561,1778651837649,0,0,0
