Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,0,71,71,0,1778167184019,1778167184093,141356,141356,0
2,0,0,143,103,40,1778167186020,1778167186093,450560,410915,39645
3,0,0,114,3,58,1778167188025,1778167188093,416322,17967,79792
4,0,0,69,0,0,1778167190019,1778167190100,552542,0,0
5,0,0,136,43,51,1778167192024,1778167192103,546245,41467,84507
6,0,0,88,65,23,1778167194019,1778167194088,234489,191630,42859
7,0,0,102,0,2,1778167196027,1778167196089,499432,0,2885
8,0,0,94,0,0,1778167198022,1778167198113,656432,0,0
9,0,0,104,0,38,1778167200022,1778167200105,660485,0,68510
10,0,0,141,90,51,1778167202025,1778167202096,228258,171525,56733
11,0,0,135,43,34,1778167204026,1778167204115,444911,168712,46597
12,0,0,101,0,0,1778167206027,1778167206110,600428,0,0
13,0,0,162,0,61,1778167208040,1778167208114,899154,0,97760
14,0,0,226,191,30,1778167210034,1778167210102,262025,163201,49243
15,0,0,167,72,20,1778167212028,1778167212090,442697,204685,21973
16,0,0,151,0,0,1778167214030,1778167214141,742420,0,0
17,0,0,95,0,1,1778167216032,1778167216102,646113,0,833
18,0,0,73,0,21,1778167218033,1778167218125,483521,0,21680
19,0,0,87,65,22,1778167220027,1778167220091,143172,116562,26610
20,0,0,123,0,35,1778167222035,1778167222102,364201,0,27386
21,0,0,135,0,33,1778167224036,1778167224114,635469,0,41068
22,0,0,95,0,0,1778167226038,1778167226099,741659,0,0
23,0,0,73,48,0,1778167228030,1778167228117,283374,37820,0
24,0,0,111,93,18,1778167230041,1778167230095,274568,257090,17478
25,0,0,109,0,16,1778167232041,1778167232111,468711,0,22725
26,0,0,133,0,31,1778167234043,1778167234113,754099,0,61377
27,0,0,110,0,42,1778167236043,1778167236127,667857,0,69370
28,0,0,73,73,0,1778167238036,1778167238113,125725,125725,0
29,0,50,121,56,65,1778167240041,1778167240131,275016,209366,65650
30,0,0,178,0,62,1778167242040,1778167242111,778983,0,111159
31,0,37,160,0,58,1778167244043,1778167244153,910575,0,116998
32,0,0,120,27,87,1778167246037,1778167246098,194824,17227,119299
33,0,0,133,123,10,1778167248037,1778167248122,336759,327365,9394
34,0,0,97,24,41,1778167250042,1778167250125,314875,111923,52464
35,0,0,141,0,22,1778167252045,1778167252081,809589,0,19449
36,0,0,141,0,59,1778167254042,1778167254080,799818,0,92357
37,0,0,39,36,3,1778167256040,1778167256075,58806,56232,2574
38,0,0,133,0,27,1778167258044,1778167258134,426103,0,38639
39,0,0,111,0,18,1778167260045,1778167260124,539898,0,15948
40,0,0,146,0,50,1778167262045,1778167262117,806104,0,74774
41,0,0,92,43,0,1778167264043,1778167264166,497886,24641,0
42,0,0,89,27,19,1778167266045,1778167266129,198151,68449,18126
43,0,0,106,0,15,1778167268045,1778167268152,441551,0,24605
44,0,0,137,0,19,1778167270048,1778167270148,812259,0,37263
45,0,0,82,0,28,1778167272044,1778167272136,502823,0,41184
46,0,0,53,7,0,1778167274044,1778167274106,79289,10276,0
47,0,6,90,0,8,1778167276048,1778167276178,300816,0,8537
48,0,0,109,0,10,1778167278048,1778167278103,558555,0,15884
49,0,0,102,0,0,1778167280049,1778167280115,763509,0,0
50,0,0,52,12,0,1778167282052,1778167282134,385255,5304,0
51,0,3,110,0,3,1778167284058,1778167284164,270700,0,3078
52,0,0,113,0,9,1778167286057,1778167286115,473342,0,11739
53,0,0,98,0,0,1778167288071,1778167288172,635836,0,0
54,0,0,80,0,0,1778167290055,1778167290155,677294,0,0
55,0,0,92,92,0,1778167292052,1778167292140,129102,129102,0
56,0,0,72,8,24,1778167294056,1778167294132,187811,27152,23665
57,0,0,118,0,20,1778167296062,1778167296155,559291,0,26042
58,0,0,120,0,27,1778167298059,1778167298152,744569,0,53782
59,0,0,86,62,4,1778167300055,1778167300137,216221,22258,5870
60,0,0,117,107,10,1778167302063,1778167302162,264812,255022,9790
61,0,0,73,63,10,1778167304054,1778167304138,291051,274555,16496
62,0,0,73,0,0,1778167306056,1778167306117,463843,0,0
63,0,0,111,0,24,1778167308066,1778167308166,770099,0,39904
64,0,0,111,76,35,1778167310080,1778167310151,150312,99756,50556
65,0,0,98,0,15,1778167312121,1778167312207,302202,0,19645
66,0,0,136,0,44,1778167314102,1778167314183,534894,0,40920
