Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
80,2,0,121,3,112,1778167757442,1778167757518,904075,22395,836886
81,2,0,71,0,71,1778167759446,1778167759512,671692,0,671692
82,2,0,27,1,24,1778167761476,1778167761533,93475,3455,83110
83,2,0,42,5,37,1778167763478,1778167763552,229900,27349,202551
84,2,0,63,27,30,1778167765469,1778167765537,469567,201183,223678
85,2,0,26,0,22,1778167767450,1778167767523,213315,0,207631
86,2,0,29,1,26,1778167769466,1778167769526,99309,3419,89057
87,2,0,36,5,28,1778167771474,1778167771541,195430,27098,152068
88,2,0,41,3,35,1778167773466,1778167773545,304444,22260,259924
90,3,0,27,0,27,1778167777460,1778167777512,307413,0,307413
91,3,3,1,0,0,1778167779453,1778167779502,1035,0,0
92,3,1,68,3,62,1778167781461,1778167781533,208450,9172,190105
93,3,19,30,1,27,1778167783457,1778167783541,152032,5060,136850
94,3,42,98,17,50,1778167785481,1778167785552,692683,120125,353536
95,3,45,219,44,137,1778167787475,1778167787578,1670021,199565,1245296
96,3,46,192,63,30,1778167789506,1778167789576,637171,193246,140341
97,3,0,138,40,60,1778167791460,1778167791551,694974,201279,302491
98,3,0,121,29,73,1778167793462,1778167793527,847103,202733,511563
99,3,0,90,7,68,1778167795470,1778167795525,728032,22630,611114
100,3,10,106,13,74,1778167797497,1778167797569,596887,38718,501551
101,3,12,219,49,76,1778167799540,1778167799597,1095786,245064,380588
102,3,0,112,45,50,1778167801475,1778167801529,775021,310826,346671
103,3,0,83,18,53,1778167803471,1778167803550,660431,112182,473459
104,3,0,117,10,86,1778167805478,1778167805528,631943,28623,543198
105,3,0,119,14,87,1778167807475,1778167807543,580184,68199,424310
106,3,0,135,17,102,1778167809488,1778167809557,929345,116964,702303
107,3,5,228,37,91,1778167811490,1778167811565,1032408,64298,808835
108,3,0,104,19,70,1778167813472,1778167813568,683209,54417,585834
109,3,0,132,12,112,1778167815483,1778167815566,641490,58235,544436
110,3,0,153,0,151,1778167817498,1778167817570,1049269,0,1035577
