EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Sum of Relay1 TCL (ms) (Duration: Relay1 Tx Propose -> Relay1 Tx Commit),Sum of Relay2 TCL (ms) (Duration: Relay2 Tx Propose -> Relay2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Relay1 Tx Propose -> Relay2 Tx Commit),Sum of All Tx TCL (sec.)
0,16000.00000000000000000000000000000000000000000000000000000000,4171,11829,11829,45691388,5849673,15619843,51546930,67174.69917979181627742946147918701171875000000000000000000000
0,16000.00000000000000000000000000000000000000000000000000000000,4171,11829,11829,55235145,18866623,19039934,74107466,93155.38258141945698298513889312744140625000000000000000000000
