EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Epoch start time,Epoch end time,Avg. TPS of this epoch
0,11046.50000000000000000000000000000000000000000000000000000000,2864,8336,8029,1778167599388,1778167653557,203.92575305649614847425254993140697479248046875000000000000
1,11258.50000000000000000000000000000000000000000000000000000000,4350,6850,6967,1778167657476,1778167713607,200.57549482272315799491479992866516113281250000000000000000
2,11240.00000000000000000000000000000000000000000000000000000000,6040,5160,5240,1778167717485,1778167773598,200.30857082324300222353485878556966781616210937500000000000
3,10952.50000000000000000000000000000000000000000000000000000000,5812,5188,5093,1778167777460,1778167833625,195.00672002647152680765429977327585220336914062500000000000
4,5502.50000000000000000000000000000000000000000000000000000000,3353,2047,2252,1778167837531,1778167865633,195.80168681631258209563384298235177993774414062500000000000
