EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch
0,11046.50000000000000000000000000000000000000000000000000000000,2864,8336,8029
1,11258.50000000000000000000000000000000000000000000000000000000,4350,6850,6967
2,11240.00000000000000000000000000000000000000000000000000000000,6040,5160,5240
3,10952.50000000000000000000000000000000000000000000000000000000,5812,5188,5093
4,5502.50000000000000000000000000000000000000000000000000000000,3353,2047,2252
