TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
44886828783218532957927641292796185393609997169403396759582155526736654886000,1778167826785,1778167833592,1778167838017,1778167833625,1778167838017,,,11232
43445788286110409164208557258341846322100957775534872995803747990190013338702,1778167629642,1778167631413,1778167633505,1778167631527,1778167633505,,,3863
8674685409670088543472517145037499255753818247651782477716223830091641118328,1778167666104,1778167673500,1778167673554,,,,,7449
96468019232592632095702709966684941444095071339560351287316214686847115094342,1778167706369,1778167711531,1778167711605,,,,,5235
91153158473918112522986865464839249257806738583776827524091696545121233553916,1778167706367,1778167711565,1778167711642,,,,,5275
100422905619388789742626526214436647432773633047954854290573890409107056365965,1778167717837,1778167719527,1778167721552,1778167719612,1778167721552,,,3715
66550443635457070444473749662498610783939255778638064611817238331727437499837,1778167717853,1778167721543,1778167723526,1778167721607,1778167723526,,,5673
1578350522301689053763390838172737862280067973804068464625817018259431717838,1778167786521,1778167791460,1778167791551,,,,,5029
68511585326343444036313962388547731123752977302929806987328355487034143477327,1778167597452,1778167599408,1778167599515,1778167599451,1778167599515,,,2063
33044781326562317299045924798098664825290802500310434178722569305246495173549,1778167605489,1778167607453,1778167609457,1778167607509,1778167609457,,,3968
59665515970723156472136443019062716757557432803008171279488838934428471312418,1778167682154,1778167683421,1778167683556,1778167683487,1778167683556,,,1401
73071399569582633804143879797164077006712065550419186810300313500523166511375,1778167733963,1778167739528,1778167741526,1778167739561,1778167741526,,,7562
43295834233862408037884399352183151043579571976627348595425328994478890289828,1778167786511,1778167789601,1778167789641,,,,,3129
90928537768741429482585454437819535076274431429766120375094711742681994130560,1778167666109,1778167673500,1778167675562,1778167673554,1778167675562,,,9453
35133520042292136858823034761385849550864767579570026907152947310638836596265,1778167741993,1778167743458,1778167745511,1778167743514,1778167745511,,,3518
54975089897030038674707689357999978840878180589964850544717597750190420842176,1778167742003,1778167747482,1778167747566,,,,,5563
97195675963797516803377301868608289448573905371129757813708973793010349877401,1778167786523,1778167793629,1778167793684,,,,,7161
98656602320125348992955826448133837998387098966585170912874456603454375918381,1778167605484,1778167607413,1778167609504,1778167607482,1778167609504,,,4019
44458030739686178305438384465730913719247824585235070857403072581731067500874,1778167605528,1778167613432,1778167613510,,,,,7981
20727259553510654545363834645175042961869378536499027795157994397341838563163,1778167682214,1778167689434,1778167691564,1778167689511,1778167691564,,,9350
77595340328909458680217598432251847217765500561848773318099610238100313276025,1778167717849,1778167721543,1778167723526,1778167721607,1778167723526,,,5677
70036020256622615031394238324569848172752354348406590760587979560793145331360,1778167733954,1778167737441,1778167739517,1778167737528,1778167739517,,,5563
111272219023660964181488668224010074671786452792400340328269457472885506431213,1778167786519,1778167791498,1778167791609,,,,,5090
61405029840328395408142567817269607156298880941821253213257338773242181358463,1778167698333,1778167705509,1778167705589,,,,,7256
24451245047365847805208556187475760978932983800916117696611863312625637556202,1778167750029,1778167751531,1778167751579,,,,,1549
5165839087222239065489471188090587847282842242766466302482175196996636621837,1778167766127,1778167773511,1778167773598,,,,,7471
113311759751560280101462444064475801974190784487599407500801496667139440382819,1778167802668,1778167805609,1778167807583,1778167805647,1778167807583,,,4914
48255973227732026059776255663244470461755963077736303663320771130262011251204,1778167826789,1778167839035,1778167839075,,,,,12286
114280555072037185556898419803466019271475979707769856785278448209352401876879,1778167674138,1778167681426,1778167683490,1778167681480,1778167683490,,,9351
60212828204863462351156251831405631955730892221259940294062915231275563122383,1778167766122,1778167773511,1778167773598,,,,,7475
981321727209876925243588461165075761981961559462888904008185330932914707664,1778167802662,1778167803650,1778167803706,,,,,1044
31609590466100625944861228411054999318824546897090866041710702318897308617423,1778167802672,1778167807603,1778167809587,1778167807641,1778167809587,,,6914
49377132259582607438417846706761844496087930227337044514341484108516424353133,1778167818760,1778167827508,1778167829597,1778167827594,1778167829597,,,10837
6146133952394683638968929710449244598840285806801099688088216000540243636996,1778167597449,1778167599408,1778167599515,1778167599451,1778167599515,,,2065
110131561270275494160944168769498090744709159319908998449795545528795739704835,1778167605478,1778167607413,1778167609504,1778167607482,1778167609504,,,4026
75812901724142595997874049315216003737785833637962157743249342336105293580549,1778167637688,1778167639491,1778167641473,1778167639561,1778167641473,,,3784
50163513412400456934637589180301102570521292855370768947951168711809609765867,1778167706377,1778167713532,1778167717983,1778167713577,1778167717983,,,11606
79138475617186823566500339682980055423385110063172009129128593760810605906201,1778167733955,1778167737527,1778167739517,1778167737569,1778167739517,,,5562
66337544706606562061055358093880032890097714019708446527945365313773610259344,1778167758082,1778167763607,1778167763654,,,,,5571
79370884463766371491362752194428051178328086001959627518738058979406406550123,1778167786501,1778167787599,1778167789576,1778167787637,1778167789576,,,3075
111987415584773625136559230880686236153527856469839690097182465701672725621994,1778167810694,1778167811490,1778167811565,,,,,871
70696557783870268511942994674766337807530820896916563697826148736155212505362,1778167613547,1778167615418,1778167617516,1778167615477,1778167617516,,,3969
1447955681060658754370430629606956479438455142341182646549530065595192341205,1778167637695,1778167641508,1778167641594,,,,,3899
115613078582696645479918297450109310343458694163770869537033060336489240191838,1778167733974,1778167741457,1778167741526,,,,,7551
50199064692700954212563695844169762189033079269745375931437156061526805255940,1778167742006,1778167747482,1778167749583,1778167747566,1778167749583,,,7577
56239659234303874744790766650947902972443467140895935779344215075491053978638,1778167750037,1778167753532,1778167755590,1778167753594,1778167755590,,,5553
9528565874523411622967258720830400852284525036666473481944609958246177998437,1778167854284,1778167861491,1778167861587,,,,,7302
67093773697336042767886875224223049801419743616018777422735125099061374335834,1778167658053,1778167661411,1778167661487,,,,,3433
97640459897231120075798054690241811016014609657622842215623349515727260495914,1778167690257,1778167693465,1778167695652,1778167693577,1778167695652,,,5394
17342098151784797104628952402973421784025756578065870836011168779229919787788,1778167706349,1778167707545,1778167709549,1778167707582,1778167709549,,,3200
85115264602228600381303186355038485392333142220542943863765107111701735286087,1778167725918,1778167733436,1778167733548,,,,,7630
10607598685592603198865886500916761425038693165190662969657015301860933251092,1778167750044,1778167755538,1778167757518,1778167755601,1778167757518,,,7474
11769217279759379152340360455766014904810680484703162279125062510277506154565,1778167758073,1778167759611,1778167759668,,,,,1595
