EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Sum of Relay1 TCL (ms) (Duration: Relay1 Tx Propose -> Relay1 Tx Commit),Sum of Relay2 TCL (ms) (Duration: Relay2 Tx Propose -> Relay2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Relay1 Tx Propose -> Relay2 Tx Commit),Sum of All Tx TCL (sec.)
0,11046.50000000000000000000000000000000000000000000000000000000,2864,8336,8029,41230328,15478910,13831633,54325320,68162.36124954702972900122404098510742187500000000000000000000
1,11258.50000000000000000000000000000000000000000000000000000000,4350,6850,6967,29545775,14000757,19021890,44571084,63598.57173226116719888523221015930175781250000000000000000000
2,11240.00000000000000000000000000000000000000000000000000000000,6040,5160,5240,23605644,10665029,27733466,34818087,62557.08697051240596920251846313476562500000000000000000000000
3,10952.50000000000000000000000000000000000000000000000000000000,5812,5188,5093,25928746,10166569,27510511,35520973,63036.95696884705830598250031471252441406250000000000000000000
4,5502.50000000000000000000000000000000000000000000000000000000,3353,2047,2252,8901958,4825294,15066401,15126810,30196.04564305007079383358359336853027343750000000000000000000
