EpochID,Total tx # in this epoch,CTX # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,CTX ratio of this epoch
0,11046.50000000000000000000000000000000000000000000000000000000,8182.50000000000000000000000000000000000000000000000000000000,2864,8336,8029,0.74073235866564068885509186657145619392395019531250000000
1,11258.50000000000000000000000000000000000000000000000000000000,6908.50000000000000000000000000000000000000000000000000000000,4350,6850,6967,0.61362526091397606720079238584730774164199829101562500000
2,11240.00000000000000000000000000000000000000000000000000000000,5200.00000000000000000000000000000000000000000000000000000000,6040,5160,5240,0.46263345195729538295026372907159384340047836303710937500
3,10952.50000000000000000000000000000000000000000000000000000000,5140.50000000000000000000000000000000000000000000000000000000,5812,5188,5093,0.46934489842501714296219006428145803511142730712890625000
4,5502.50000000000000000000000000000000000000000000000000000000,2149.50000000000000000000000000000000000000000000000000000000,3353,2047,2252,0.39064061790095411241807710212015081197023391723632812500
