EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch
0,11200.00000000000000000000000000000000000000000000000000000000,2864,8336,8336
1,4800.00000000000000000000000000000000000000000000000000000000,2306,2494,2494
0,11157.50000000000000000000000000000000000000000000000000000000,2864,8336,8251
