EpochID,Total tx # in this epoch,CTX # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,CTX ratio of this epoch
0,33838.00000000000000000000000000000000000000000000000000000000,8088.00000000000000000000000000000000000000000000000000000000,25750,12650,3526,0.23902121874815296376226569918799214065074920654296875000
1,15673.50000000000000000000000000000000000000000000000000000000,6507.50000000000000000000000000000000000000000000000000000000,9166,2434,10581,0.41519124637126358923211455476121045649051666259765625000
2,488.50000000000000000000000000000000000000000000000000000000,488.50000000000000000000000000000000000000000000000000000000,0,0,977,1.00000000000000000000000000000000000000000000000000000000
