EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch
0,33838.00000000000000000000000000000000000000000000000000000000,25750,12650,3526
1,15673.50000000000000000000000000000000000000000000000000000000,9166,2434,10581
2,488.50000000000000000000000000000000000000000000000000000000,0,0,977
