TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
53992518067221477294197067892652683835089907469835623847869674988926428433334,1778167281671,1778167286057,1778167286115,,,,,4443
101048461226242284609125377903002023802548208846014976656521262922779279349436,1778167399320,1778167404127,1778167404239,,,,,4919
17760045155261712383245141928740304961043681137966066984717966938757732801781,1778167399329,1778167408160,1778167408218,,,,,8889
90949476946153936821673419801384310228363214018198157960134542136697325896523,1778167426466,1778167432131,1778167432193,,,,,5727
104264121463366742135219955802603756930388960836603802966956093692042156375787,1778167245462,1778167250042,1778167256173,,,1778167250125,1778167256173,10711
47343591820546335376357738277368090078769573953313052628510729806652184810764,1778167281675,1778167286105,1778167286194,,,,,4519
110151243786684622195011819484355638413140212377172909491114167678299387947006,1778167281687,1778167290127,1778167290243,,,,,8555
7757600013663206083350965367066722172839998486983166468481901610324275741350,1778167299778,1778167302063,1778167306184,,,1778167302162,1778167306184,6405
81789550334363710320498448834125348792795006274359261730936647135159449823952,1778167335965,1778167340110,1778167340199,,,,,4234
98671409525826980650519456673390445421015862718608671210708679778077808519289,1778167354045,1778167358116,1778167358225,,,,,4179
74520912351249158831389843229294549768550160095955576715503226969961955148056,1778167381231,1778167388163,1778167388241,,,,,7009
29725010471690409609171517044180794499365674296335201785189266433254410085338,1778167408379,1778167416140,1778167416223,,,,,7843
57501015540730488369139138470863569535202546819019397331707558877585045773927,1778167218280,1778167222088,1778167222165,,,,,3884
66534440400094983520448533322006109463274270656130402778715848343282728671810,1778167218283,1778167224087,1778167224183,,,,,5899
21819037574363765683218057234139376840118205708511597103004311618833184615131,1778167227315,1778167232069,1778167232155,,,,,4840
50402258542491115287729790757037859430387785707516312552596611769213267841057,1778167254473,1778167258044,1778167258134,,,,,3660
23662720864870602048578595489542842857050326551201656196924098955959742491706,1778167299773,1778167308142,1778167308238,,,,,8465
14989474596275532553093540327289516487080830114342675277946789436915058199767,1778167317851,1778167322127,1778167322228,,,,,4377
