Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,0,146,113,0,1778170007923,1778170008003,344156,266343,0
2,0,0,130,31,92,1778170009931,1778170009996,565288,134612,400279
3,0,0,127,49,69,1778170011925,1778170011985,803951,310072,436928
4,0,0,148,81,55,1778170013923,1778170014011,987580,467959,459494
5,0,0,78,25,47,1778170015926,1778170015998,308844,57726,237271
6,0,0,115,40,69,1778170017932,1778170017999,495349,172092,297442
7,0,0,129,39,71,1778170019932,1778170020004,813366,245744,447908
8,0,0,130,26,96,1778170021925,1778170021975,858512,54494,794045
9,0,0,104,25,72,1778170023932,1778170024011,573980,56889,501167
10,0,0,127,28,92,1778170025931,1778170026009,542366,119436,393068
11,0,0,174,77,79,1778170027936,1778170028004,1088968,481695,494668
12,0,0,68,11,57,1778170029927,1778170029979,543584,74420,469164
13,0,0,102,5,94,1778170031935,1778170032047,583626,11188,565727
14,0,0,107,6,100,1778170033934,1778170033991,447078,24990,417926
15,0,0,126,21,101,1778170035933,1778170036011,777469,129110,623760
16,0,39,108,19,87,1778170037930,1778170037968,875627,153889,705547
17,0,15,161,40,87,1778170039934,1778170039987,697036,83333,542861
18,0,0,92,7,76,1778170041931,1778170041989,375201,28528,309963
19,0,0,87,1,84,1778170043937,1778170043989,527657,6059,509480
20,0,0,114,17,94,1778170045938,1778170046004,919932,137060,758688
21,0,0,123,41,53,1778170047936,1778170048010,555364,83189,413279
22,0,0,134,59,64,1778170049938,1778170050005,537760,236419,257261
23,0,0,133,47,68,1778170051942,1778170052014,798983,282164,408784
24,0,0,109,20,87,1778170053944,1778170054030,873474,160176,697278
25,0,0,154,65,76,1778170055942,1778170056001,742792,127319,589998
26,0,0,106,73,23,1778170057937,1778170058002,419146,288568,91065
27,0,0,95,36,35,1778170059941,1778170060009,565886,214379,208606
28,0,0,225,135,56,1778170061950,1778170062014,1789757,1073615,445745
29,0,0,209,110,60,1778170063942,1778170064000,881765,210665,596467
30,0,0,124,49,62,1778170065939,1778170066010,484056,190742,242631
31,0,0,136,62,62,1778170067942,1778170068027,802341,365329,366372
32,0,0,156,52,83,1778170069947,1778170070019,1228701,409043,654385
33,0,0,120,23,89,1778170071948,1778170072024,935832,42459,878608
34,0,0,76,1,75,1778170073948,1778170074032,292694,3842,288852
35,0,0,110,5,98,1778170075943,1778170076006,639778,29045,570084
36,0,0,150,34,105,1778170077951,1778170078016,1172518,265566,821040
37,0,0,149,47,75,1778170079951,1778170080017,868263,84018,736024
38,0,0,137,56,63,1778170081952,1778170082009,517128,211132,238134
39,0,0,80,3,75,1778170083951,1778170084011,461825,17301,432993
40,0,0,120,5,107,1778170085954,1778170086043,935867,38975,834534
41,0,0,113,1,111,1778170087953,1778170088042,1090574,1773,1087030
42,0,0,113,6,105,1778170089955,1778170090024,424144,22490,394160
43,0,0,121,0,118,1778170091953,1778170092006,693496,0,676309
44,0,0,109,2,105,1778170093956,1778170094020,843760,15468,812822
45,0,0,114,2,112,1778170095958,1778170096024,1094283,3417,1090866
46,0,0,108,2,103,1778170097963,1778170098034,402158,7429,383593
47,0,0,105,3,102,1778170099972,1778170100080,604399,17223,587176
48,0,0,101,5,91,1778170101954,1778170102026,776585,38387,699810
49,0,0,108,1,105,1778170103964,1778170104032,1022040,1659,1017057
50,0,0,125,4,116,1778170105959,1778170106040,458647,14648,425677
51,0,0,182,56,112,1778170107965,1778170108037,1029836,316699,633951
52,0,0,155,81,59,1778170109963,1778170110051,1188257,620754,452537
53,0,0,108,67,36,1778170111963,1778170112026,463186,108135,346951
54,0,0,118,57,35,1778170113960,1778170114014,423344,204150,126034
55,0,0,152,69,61,1778170115964,1778170116033,850141,385686,341513
56,0,0,137,55,73,1778170117972,1778170118057,1042494,418158,555884
57,0,0,110,38,64,1778170119960,1778170120005,681446,57948,611292
58,0,0,104,3,101,1778170121971,1778170122054,371385,10701,360684
59,0,0,97,4,87,1778170123980,1778170124047,539075,22201,483566
60,0,28,188,66,108,1778170126082,1778170126185,1444986,506973,830503
61,0,0,124,57,49,1778170127982,1778170128044,580649,86081,467404
62,0,0,115,33,76,1778170129994,1778170130057,404554,115719,267775
63,0,0,172,67,80,1778170131997,1778170132082,949631,369463,442353
64,0,0,146,54,76,1778170133980,1778170134033,1089012,402380,567396
65,0,0,145,48,87,1778170135973,1778170136021,902730,67507,821160
66,0,30,126,50,69,1778170138010,1778170138085,436816,173174,239402
67,0,0,187,98,58,1778170140017,1778170140086,1021047,534893,316942
68,0,28,268,164,59,1778170142014,1778170142106,2003777,1226017,441339
69,0,0,92,43,38,1778170143971,1778170144024,430590,58702,356917
70,0,0,144,48,79,1778170145979,1778170146034,484645,161333,266168
71,0,0,84,6,75,1778170147980,1778170148042,450870,32172,402612
72,0,0,105,3,97,1778170149991,1778170150056,774386,22109,715434
73,0,0,101,2,98,1778170151979,1778170152049,921451,2634,917494
74,0,0,121,3,115,1778170153989,1778170154042,401254,9927,381400
75,0,0,102,3,96,1778170155982,1778170156057,542519,15939,510647
76,0,0,104,2,102,1778170157987,1778170158110,765641,14702,750939
77,0,0,102,3,98,1778170159985,1778170160074,918046,3819,912954
78,0,0,116,5,108,1778170161993,1778170162058,377886,16200,351966
79,0,0,91,1,90,1778170163983,1778170164033,474456,5204,469252
80,0,0,136,17,113,1778170165987,1778170166068,984591,122982,818202
81,0,0,111,2,107,1778170167985,1778170168047,990649,2346,985923
82,0,0,100,1,98,1778170169986,1778170170061,319485,3168,313149
83,0,0,103,3,100,1778170171978,1778170172037,530250,15396,514854
84,0,0,88,3,84,1778170173981,1778170174066,630448,21438,601861
85,0,1,92,2,90,1778170175990,1778170176065,825478,2226,823252
86,0,0,116,3,113,1778170177989,1778170178060,360680,9306,351374
87,0,37,109,1,108,1778170179981,1778170180037,553107,5068,548039
88,0,33,196,49,121,1778170181998,1778170182062,1389631,347319,858012
89,0,23,161,60,85,1778170183990,1778170184070,1118588,272461,772935
90,0,25,110,46,58,1778170185987,1778170186056,334278,139568,176502
91,0,17,133,43,77,1778170187991,1778170188059,669574,216310,387875
92,0,0,107,25,75,1778170189983,1778170190026,748486,174784,524756
93,0,21,153,33,114,1778170191995,1778170192077,1158885,105999,1030694
94,0,0,110,27,78,1778170193988,1778170194062,378972,81165,282774
95,0,0,130,27,98,1778170195994,1778170196061,650277,134956,490331
96,0,0,130,10,98,1778170197993,1778170198076,911448,70093,687156
97,0,0,154,20,130,1778170199991,1778170200057,1288011,99534,1168570
98,0,0,104,33,62,1778170201987,1778170202064,372634,97589,248440
99,0,0,110,21,75,1778170203993,1778170204059,544466,103752,371546
100,0,0,109,17,85,1778170205988,1778170206043,754636,117601,588610
101,0,0,133,32,90,1778170207999,1778170208073,1093435,221898,805290
102,0,0,103,14,79,1778170209996,1778170210050,610559,40317,541440
103,0,0,102,16,82,1778170211995,1778170212077,500191,78363,402240
104,0,0,96,4,92,1778170214004,1778170214057,660191,27480,632711
105,0,0,101,2,99,1778170215992,1778170216057,888070,9706,878364
106,0,0,145,25,106,1778170218013,1778170218089,785424,71501,673887
107,0,12,101,19,80,1778170220101,1778170220202,502551,94436,398180
108,0,0,120,35,82,1778170222026,1778170222092,823003,239947,562488
109,0,16,97,18,72,1778170224063,1778170224120,781317,111713,639537
110,0,0,82,4,78,1778170226034,1778170226081,551969,11244,540725
111,0,0,117,16,100,1778170228028,1778170228097,564825,77164,482839
112,0,0,122,33,84,1778170230029,1778170230129,836234,226099,575880
113,0,0,125,41,73,1778170232014,1778170232048,847450,174947,640238
114,0,0,132,37,89,1778170234016,1778170234050,723335,101430,605456
115,0,0,123,33,80,1778170236019,1778170236054,583228,156293,379576
116,0,0,128,34,81,1778170238020,1778170238053,861842,228723,545663
117,0,0,123,43,74,1778170240011,1778170240048,904409,214549,645568
118,0,0,283,169,68,1778170242016,1778170242059,1046383,456946,465047
119,0,0,66,27,37,1778170244026,1778170244078,311577,127325,174820
120,0,0,134,31,88,1778170246025,1778170246096,901865,208467,592519
121,0,32,144,31,101,1778170248056,1778170248126,1003706,102708,884285
122,0,0,80,7,68,1778170250015,1778170250068,486058,18631,454117
123,0,5,105,3,99,1778170252045,1778170252094,491998,14046,463915
124,0,0,106,2,104,1778170254028,1778170254073,706002,13306,692696
125,0,0,153,39,106,1778170256011,1778170256092,1206382,241700,919411
126,0,0,96,24,67,1778170258010,1778170258068,491603,62542,416028
127,0,0,45,0,45,1778170260003,1778170260082,207965,0,207965
128,0,0,0,0,0,1778170261998,1778170262054,0,0,0
129,0,0,0,0,0,1778170264001,1778170264072,0,0,0
130,0,0,0,0,0,1778170266000,1778170266067,0,0,0
