TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
101398827058451607988661555466871893314012288404043077165759039459447999319977,1778170892089,1778170894203,1778170894318,1778170894258,1778170894318,,,2228
90813320314425894037256318181629822064069907327026229567691429184720272896687,1778170924302,1778170930275,1778170932377,1778170930354,1778170932377,,,8074
110440536789300984599139406290003536560715645523608108179455767783892716607271,1778170964545,1778170970302,1778170972355,1778170970398,1778170972355,,,7810
11685733276015876013987039881956077997326637769253569130734700991562706842164,1778170932360,1778170938284,1778170940275,1778170938373,1778170940275,,,7915
21225288081035136133475140011722832828801299218160397485540182005881043270841,1778170964540,1778170970302,1778170972317,1778170970398,1778170972317,,,7777
115296142408180491747772958911513242798928970480551769730533546409151287102991,1778170980618,1778170984297,1778170986369,1778170984366,1778170986369,,,5751
29415283291816652632824925580792741850244939952917959067775173781209300661950,1778170892104,1778170898258,1778170900270,1778170898311,1778170900270,,,8166
95356135590636338666093393308152010726819645852135466799976916294944906468545,1778170948458,1778170956280,1778170956343,,,,,7885
50039238337428356106182608865831698845794041081548446003689122199910581778595,1778170964541,1778170970302,1778170972317,1778170970398,1778170972317,,,7775
100321322888624310410721472599878108788994027379906194081669493231328792508599,1778170988647,1778170990299,1778170992312,1778170990392,1778170992312,,,3665
68086972315305525067527417736202721702004830351381716318861119668221634731744,1778170916241,1778170920293,1778170920388,,,,,4146
28698124374476044574693136321386148269337225167322120165720455737548638795754,1778170972584,1778170976224,1778170978367,1778170976341,1778170978367,,,5782
35073298522373941293652348117079959514294472804840055514509943829502489396648,1778170972588,1778170978296,1778170978382,,,,,5793
6894158842420490381649336930021312781767373864450315383140090188965828926764,1778170908195,1778170914217,1778170916352,1778170914299,1778170916352,,,8157
73474728343209211672308920413972275844248813034180891629002526664349279638821,1778170964530,1778170966222,1778170968362,1778170966281,1778170968362,,,3832
73729073725641355368180012753077634444836037084377037259014851049685871950210,1778170980622,1778170986316,1778170988382,1778170986378,1778170988382,,,7760
13663533174597864706844027347723926765475401283235653593758150583441236305889,1778170892100,1778170896266,1778170896312,,,,,4211
54000676274173193488589653538162669490851812799510039607238087594502536598390,1778170908205,1778170914247,1778170916352,1778170914310,1778170916352,,,8147
6544512748036150935133819865886478482988706522205792374024743196800639993743,1778170924303,1778170930275,1778170932328,1778170930354,1778170932328,,,8024
47164919159727571280995022391118591744435237529936387002965628883655628153566,1778170940400,1778170944216,1778170946356,1778170944299,1778170946356,,,5956
60901917821700814656515654962800026522543555260320988208729518757356733373461,1778170964536,1778170968218,1778170970398,1778170968304,1778170970398,,,5862
