Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,0,98,84,14,1778168025485,1778168025518,169030,168181,849
2,0,1,103,80,23,1778168027488,1778168027538,346307,321580,24727
3,0,0,105,1,78,1778168029489,1778168029526,228264,6007,65324
4,0,22,110,0,18,1778168031493,1778168031534,757301,0,18256
5,0,19,47,25,5,1778168033491,1778168033533,204803,24338,10050
6,0,0,65,46,19,1778168035488,1778168035523,174070,136279,37791
7,0,0,88,0,7,1778168037491,1778168037523,410198,0,6818
8,0,0,125,0,39,1778168039502,1778168039548,649359,0,47561
9,0,0,82,0,31,1778168041491,1778168041527,487256,0,29729
10,0,0,82,68,14,1778168043500,1778168043567,161876,133918,27958
11,0,0,142,32,70,1778168045493,1778168045532,398378,125841,114134
12,0,0,135,0,34,1778168047496,1778168047533,659566,0,58310
13,0,0,127,0,48,1778168049498,1778168049545,672329,0,43903
14,0,0,19,3,9,1778168051493,1778168051527,89170,2615,17028
15,0,0,75,19,12,1778168053496,1778168053557,206528,55119,21959
16,0,0,166,0,69,1778168055500,1778168055540,600112,0,123617
17,0,0,99,0,1,1778168057500,1778168057556,679322,0,888
18,0,0,81,0,27,1778168059498,1778168059560,532506,0,50962
19,0,0,82,49,33,1778168061498,1778168061539,107851,90075,17776
20,0,0,105,0,15,1778168063503,1778168063540,363160,0,15705
21,0,0,150,0,49,1778168065511,1778168065585,648513,0,53120
22,0,0,96,0,0,1778168067502,1778168067564,755394,0,0
23,0,0,76,35,15,1778168069500,1778168069543,284614,27825,825
24,0,0,58,48,10,1778168071500,1778168071538,144380,133900,10480
25,0,24,76,0,0,1778168073503,1778168073567,367889,0,0
26,0,15,142,0,47,1778168075505,1778168075560,721829,0,73702
27,0,0,120,0,54,1778168077504,1778168077544,651269,0,70527
29,1,0,0,0,0,1778168081499,1778168081561,0,0,0
30,1,0,102,42,60,1778168083505,1778168083564,75720,70496,5224
31,1,0,83,24,59,1778168085504,1778168085540,149964,87600,62364
32,1,0,165,0,52,1778168087509,1778168087552,645527,0,3200
33,1,0,129,0,53,1778168089509,1778168089541,591790,0,9380
34,1,4,95,55,16,1778168091507,1778168091559,283376,34265,16848
35,1,0,89,59,30,1778168093507,1778168093539,188135,153583,34552
