Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,79,182,182,0,1778170341021,1778170341092,400380,400380,0
2,0,0,225,61,164,1778170343027,1778170343100,502560,256536,246024
3,0,36,230,0,81,1778170345022,1778170345118,1013197,0,82922
4,0,0,224,0,58,1778170347023,1778170347123,1462790,0,95124
5,0,39,234,183,51,1778170349031,1778170349154,275403,222794,52609
6,0,0,188,50,64,1778170351017,1778170351110,495543,158600,100329
7,0,0,161,0,41,1778170353019,1778170353106,660221,0,38139
8,0,0,164,0,18,1778170355024,1778170355111,1078259,0,29761
9,0,0,109,80,6,1778170357015,1778170357101,226414,10096,5472
10,0,0,133,101,32,1778170359023,1778170359109,267100,215399,51701
11,0,0,146,0,21,1778170361027,1778170361116,538521,0,18669
12,0,0,206,0,92,1778170363037,1778170363130,828666,0,125664
13,0,0,134,0,57,1778170365029,1778170365119,677001,0,49592
14,0,41,1,1,0,1778170367014,1778170367147,1108,1108,0
15,0,32,138,41,59,1778170369025,1778170369163,367375,128079,118924
16,0,42,82,0,5,1778170371040,1778170371134,398727,0,4876
17,0,70,104,0,7,1778170373035,1778170373179,707536,0,14119
18,0,89,86,0,16,1778170375027,1778170375114,666528,0,31056
19,0,74,122,122,0,1778170377029,1778170377149,250155,250155,0
20,0,60,151,0,43,1778170379038,1778170379135,502391,0,62624
21,0,55,128,0,19,1778170381029,1778170381146,680523,0,19304
22,0,33,114,0,0,1778170383027,1778170383121,915430,0,0
23,0,22,93,60,0,1778170385029,1778170385124,390317,59398,0
24,0,25,165,105,60,1778170387035,1778170387133,397250,314764,82486
25,0,0,170,0,53,1778170389029,1778170389121,663185,0,77545
26,0,0,149,0,47,1778170391030,1778170391122,760108,0,46326
27,0,0,115,0,38,1778170393035,1778170393106,765806,0,74632
29,1,0,0,0,0,1778170397159,1778170397205,0,0,0
30,1,0,76,76,0,1778170399035,1778170399122,141041,141041,0
31,1,0,116,68,48,1778170401030,1778170401109,308228,261185,47043
32,1,53,211,0,87,1778170403065,1778170403155,850696,0,117687
33,1,22,150,0,53,1778170405044,1778170405159,873675,0,106954
34,1,0,138,42,75,1778170407035,1778170407114,334686,33476,94279
35,1,0,156,148,8,1778170409042,1778170409140,433472,417664,15808
36,1,0,109,11,52,1778170411034,1778170411128,346072,52880,70600
37,1,0,123,0,39,1778170413036,1778170413146,651851,0,76682
38,1,0,122,0,43,1778170415036,1778170415153,760067,0,61517
39,1,0,128,64,1,1778170417034,1778170417123,226729,112512,1932
40,1,0,107,0,5,1778170419042,1778170419156,394336,0,5788
