EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,Sum of Broker1 TCL (ms) (Duration: Broker1 Tx Propose -> Broker1 Tx Commit),Sum of Broker2 TCL (ms) (Duration: Broker2 Tx Propose -> Broker2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Broker1 Tx Propose -> Broker2 Tx Commit),Sum of All Tx TCL (sec.)
0,9600.00000000000000000000000000000000000000000000000000000000,6520,3080,3080,7472907,4683601,43160323,24137589,67302.71461840572010260075330734252929687500000000000000000000
1,9600.00000000000000000000000000000000000000000000000000000000,7737,1863,1863,3763020,2656919,45264755,11718227,56987.75732635803433367982506752014160156250000000000000000000
2,800.00000000000000000000000000000000000000000000000000000000,775,25,25,34902,44559,2593146,111317,2704.86477533999868683167733252048492431640625000000000000000
