EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch
0,9600.00000000000000000000000000000000000000000000000000000000,6520,3080,3080
1,9600.00000000000000000000000000000000000000000000000000000000,7737,1863,1863
2,800.00000000000000000000000000000000000000000000000000000000,775,25,25
