EpochID,Total tx # in this epoch,CTX # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,CTX ratio of this epoch
0,9600.00000000000000000000000000000000000000000000000000000000,3080.00000000000000000000000000000000000000000000000000000000,6520,3080,3080,0.32083333333333335923853724125365260988473892211914062500
1,9600.00000000000000000000000000000000000000000000000000000000,1863.00000000000000000000000000000000000000000000000000000000,7737,1863,1863,0.19406249999999999888977697537484345957636833190917968750
2,800.00000000000000000000000000000000000000000000000000000000,25.00000000000000000000000000000000000000000000000000000000,775,25,25,0.03125000000000000000000000000000000000000000000000000000
