EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch
0,9600.00000000000000000000000000000000000000000000000000000000,6520,3080,3080
1,9600.00000000000000000000000000000000000000000000000000000000,7753,1847,1847
2,9537.00000000000000000000000000000000000000000000000000000000,6500,3037,3037
3,9663.00000000000000000000000000000000000000000000000000000000,8662,1001,1001
4,9600.00000000000000000000000000000000000000000000000000000000,8219,1381,1381
5,2000.00000000000000000000000000000000000000000000000000000000,1832,168,168
