EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,Sum of Broker1 TCL (ms) (Duration: Broker1 Tx Propose -> Broker1 Tx Commit),Sum of Broker2 TCL (ms) (Duration: Broker2 Tx Propose -> Broker2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Broker1 Tx Propose -> Broker2 Tx Commit),Sum of All Tx TCL (sec.)
0,9600.00000000000000000000000000000000000000000000000000000000,6520,3080,3080,7468780,4530546,43137699,24423352,67565.82701868576987180858850479125976562500000000000000000000
1,9600.00000000000000000000000000000000000000000000000000000000,7753,1847,1847,3685582,2836291,45344450,11335339,56684.58397169483941979706287384033203125000000000000000000000
2,9537.00000000000000000000000000000000000000000000000000000000,6500,3037,3037,5501580,4570665,40771368,19516853,60292.98661983407509978860616683959960937500000000000000000000
3,9663.00000000000000000000000000000000000000000000000000000000,8662,1001,1001,1548389,1717020,51328694,4898292,56231.75493874798848992213606834411621093750000000000000000000
4,9600.00000000000000000000000000000000000000000000000000000000,8219,1381,1381,1651234,2156029,44992322,5996658,50993.74658622623974224552512168884277343750000000000000000000
5,2000.00000000000000000000000000000000000000000000000000000000,1832,168,168,127864,288539,8433170,626640,9060.81303373299670056439936161041259765625000000000000000000
