Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,87,288,213,35,1779097216606,1779097216777,684982,506647,46270
2,0,0,175,57,31,1779097218577,1779097218754,362282,56392,33134
3,0,106,137,14,16,1779097220649,1779097220950,383556,15261,23499
4,0,0,168,39,23,1779097222598,1779097222890,377783,36952,16226
5,0,0,191,57,19,1779097224596,1779097224783,379304,42106,7347
6,0,0,178,72,33,1779097226595,1779097226842,281266,50336,24093
7,0,0,136,69,20,1779097228582,1779097228788,175977,36738,12927
8,0,0,116,32,46,1779097230583,1779097230824,133746,10704,23546
9,0,52,126,0,8,1779097232622,1779097232917,310167,0,9232
10,0,0,188,52,11,1779097234616,1779097234847,376299,104553,3285
11,0,18,166,8,1,1779097236627,1779097236803,312720,14823,1243
12,0,7,170,8,20,1779097238630,1779097238855,318775,14240,43427
13,0,3,163,56,7,1779097240612,1779097240829,277700,92028,15391
14,0,0,171,120,5,1779097242636,1779097242869,274406,190376,9086
15,0,0,170,66,0,1779097244628,1779097244854,256550,98010,0
16,0,4,146,88,0,1779097246614,1779097246790,194533,115336,0
17,0,70,95,91,4,1779097248600,1779097248817,119282,110810,8472
18,0,110,122,48,5,1779097250639,1779097250971,305340,61329,7261
19,0,2,124,12,7,1779097252622,1779097252788,352380,12000,12379
20,0,153,164,10,2,1779097254686,1779097254982,506516,11033,4472
21,0,11,158,4,3,1779097256670,1779097256957,478895,3981,5551
22,0,0,201,32,15,1779097258646,1779097258792,489750,24133,25882
23,0,5,173,62,9,1779097260632,1779097260841,348883,44846,14203
24,0,0,132,36,12,1779097262623,1779097262835,270179,22220,16863
25,0,0,112,0,7,1779097264641,1779097264832,291878,0,13766
27,1,7,19,0,19,1779097269035,1779097269583,55628,0,55628
28,1,0,45,0,45,1779097270587,1779097270736,34031,0,34031
29,1,0,21,0,21,1779097272583,1779097272712,12602,0,12602
30,1,0,39,0,39,1779097274589,1779097274699,37581,0,37581
31,1,0,37,0,37,1779097276591,1779097276705,40821,0,40821
32,1,0,56,0,56,1779097278591,1779097278746,56056,0,56056
33,1,0,11,0,11,1779097280591,1779097280734,7286,0,7286
34,1,0,5,0,5,1779097282585,1779097282799,7638,0,7638
35,1,0,7,0,7,1779097284598,1779097284803,9548,0,9548
36,1,0,13,0,13,1779097286610,1779097286863,15070,0,15070
37,1,0,53,0,53,1779097288600,1779097288750,23175,0,23175
38,1,0,0,0,0,1779097290589,1779097290703,0,0,0
39,1,0,2,0,2,1779097292596,1779097292731,682,0,682
40,1,0,5,0,5,1779097294599,1779097294760,3789,0,3789
41,1,0,5,0,5,1779097296601,1779097296839,5109,0,5109
42,1,0,9,0,9,1779097298598,1779097298741,6707,0,6707
