Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,0,167,93,16,1779097216407,1779097216548,430375,236119,16106
2,0,0,171,44,25,1779097218416,1779097218513,343173,32881,15045
3,0,0,389,305,0,1779097220427,1779097220631,479923,235977,0
4,0,0,209,21,23,1779097222434,1779097222611,489140,14034,14863
5,0,13,206,45,32,1779097224405,1779097224480,386253,19648,35318
6,0,17,192,84,24,1779097226412,1779097226500,278896,30053,39377
7,0,7,123,36,20,1779097228405,1779097228515,209963,9455,38881
8,0,17,79,0,16,1779097230399,1779097230650,179709,0,26168
9,0,6,163,17,2,1779097232436,1779097232702,374476,37624,2383
10,0,10,161,24,12,1779097234408,1779097234632,302067,43118,19301
11,0,0,171,4,15,1779097236417,1779097236497,270589,6183,24159
12,0,0,191,6,30,1779097238428,1779097238610,309250,9210,52668
13,0,0,167,46,9,1779097240407,1779097240519,230986,61364,13970
14,0,0,161,99,4,1779097242413,1779097242577,209172,127978,3688
15,0,0,149,23,8,1779097244453,1779097244610,187860,28552,8518
16,0,77,96,82,14,1779097246395,1779097246575,109326,89893,19433
17,0,0,136,47,12,1779097248411,1779097248600,310319,47016,18792
18,0,113,100,32,6,1779097250420,1779097250789,243572,35040,7415
19,0,0,120,3,4,1779097252432,1779097252555,332533,2300,3264
20,0,0,178,7,8,1779097254448,1779097254551,470580,4701,9402
21,0,0,173,9,10,1779097256436,1779097256520,431642,5031,15473
22,0,0,188,18,14,1779097258420,1779097258488,422074,8106,15600
23,0,0,195,46,10,1779097260423,1779097260507,373552,17995,6835
24,0,0,124,41,5,1779097262418,1779097262500,203371,11558,3250
25,0,0,130,0,11,1779097264437,1779097264627,303018,0,12326
27,1,0,17,0,17,1779097268707,1779097269004,42820,0,42820
28,1,0,16,0,16,1779097270387,1779097270484,12610,0,12610
29,1,0,3,0,3,1779097272394,1779097272525,2106,0,2106
30,1,0,10,0,10,1779097274389,1779097274475,6026,0,6026
31,1,0,7,0,7,1779097276388,1779097276466,5885,0,5885
32,1,0,13,0,13,1779097278390,1779097278465,12115,0,12115
33,1,0,16,0,16,1779097280395,1779097280500,4906,0,4906
34,1,0,4,0,4,1779097282391,1779097282518,1942,0,1942
35,1,0,9,0,9,1779097284395,1779097284589,7608,0,7608
36,1,0,19,0,19,1779097286478,1779097286858,22245,0,22245
37,1,0,20,0,20,1779097288401,1779097288490,5829,0,5829
38,1,0,1,0,1,1779097290393,1779097290493,116,0,116
39,1,0,5,0,5,1779097292397,1779097292483,3485,0,3485
40,1,5,1,0,1,1779097294398,1779097294571,1175,0,1175
41,1,2,7,0,7,1779097296398,1779097296507,12692,0,12692
42,1,0,6,0,6,1779097298397,1779097298481,8290,0,8290
43,1,7,1,0,1,1779097300420,1779097300731,1282,0,1282
44,1,0,8,0,8,1779097302401,1779097302497,14914,0,14914
45,1,0,10,0,10,1779097304400,1779097304472,16406,0,16406
46,1,0,1,0,1,1779097306399,1779097306482,930,0,930
47,1,0,6,0,6,1779097308403,1779097308489,6503,0,6503
48,1,0,5,0,5,1779097310401,1779097310488,8487,0,8487
49,1,0,0,0,0,1779097312399,1779097312482,0,0,0
50,1,0,0,0,0,1779097314401,1779097314497,0,0,0
51,1,0,0,0,0,1779097316400,1779097316480,0,0,0
52,1,0,0,0,0,1779097318401,1779097318498,0,0,0
53,1,0,0,0,0,1779097320402,1779097320480,0,0,0
54,1,0,0,0,0,1779097322403,1779097322493,0,0,0
55,1,0,0,0,0,1779097324405,1779097324656,0,0,0
56,1,0,0,0,0,1779097326404,1779097326477,0,0,0
57,1,0,0,0,0,1779097328405,1779097328479,0,0,0
58,1,0,0,0,0,1779097330406,1779097330517,0,0,0
59,1,0,2,0,2,1779097332409,1779097332505,2427,0,2427
60,1,0,1,0,1,1779097334411,1779097334607,1802,0,1802
61,1,0,3,0,3,1779097336410,1779097336489,2930,0,2930
62,1,0,1,0,1,1779097338414,1779097338636,1779,0,1779
63,1,0,8,0,8,1779097340413,1779097340490,9924,0,9924
64,1,0,11,0,11,1779097342417,1779097342488,12521,0,12521
65,1,0,0,0,0,1779097344412,1779097344498,0,0,0
66,1,0,7,0,7,1779097346414,1779097346489,4900,0,4900
67,1,0,9,0,9,1779097348416,1779097348477,12794,0,12794
68,1,0,12,0,12,1779097350418,1779097350498,13275,0,13275
69,1,0,4,0,4,1779097352416,1779097352486,4974,0,4974
70,1,0,5,0,5,1779097354416,1779097354500,4460,0,4460
71,1,0,4,0,4,1779097356416,1779097356499,1906,0,1906
72,1,0,5,0,5,1779097358417,1779097358489,6240,0,6240
73,1,0,8,0,8,1779097360419,1779097360499,8396,0,8396
74,1,0,10,0,10,1779097362420,1779097362545,14297,0,14297
75,1,0,14,0,14,1779097364422,1779097364499,17082,0,17082
76,1,0,21,0,21,1779097366424,1779097366493,17952,0,17952
77,1,0,14,0,14,1779097368422,1779097368506,9525,0,9525
78,1,0,17,0,17,1779097370423,1779097370491,13927,0,13927
79,1,0,23,0,23,1779097372429,1779097372504,29646,0,29646
80,1,0,9,0,9,1779097374423,1779097374499,9377,0,9377
81,1,0,10,0,10,1779097376423,1779097376498,7494,0,7494
82,1,0,14,0,14,1779097378425,1779097378492,7169,0,7169
83,1,0,17,0,17,1779097380426,1779097380500,11733,0,11733
84,1,0,10,0,10,1779097382428,1779097382527,12360,0,12360
85,1,0,7,0,7,1779097384424,1779097384498,8276,0,8276
86,1,0,9,0,9,1779097386428,1779097386544,7824,0,7824
87,1,0,9,0,9,1779097388429,1779097388504,3253,0,3253
88,1,0,3,0,3,1779097390427,1779097390566,2565,0,2565
89,1,0,0,0,0,1779097392425,1779097392507,0,0,0
90,1,0,0,0,0,1779097394426,1779097394534,0,0,0
91,1,0,1,0,1,1779097396433,1779097396541,1123,0,1123
92,1,1,0,0,0,1779097398428,1779097398527,0,0,0
93,1,0,1,0,1,1779097400431,1779097400515,2075,0,2075
94,1,0,1,0,1,1779097402433,1779097402533,1073,0,1073
95,1,0,0,0,0,1779097404430,1779097404550,0,0,0
96,1,0,0,0,0,1779097406431,1779097406498,0,0,0
97,1,0,0,0,0,1779097408435,1779097408691,0,0,0
98,1,0,2,0,2,1779097410436,1779097410580,2125,0,2125
99,1,0,0,0,0,1779097412434,1779097412521,0,0,0
100,1,0,0,0,0,1779097414435,1779097414505,0,0,0
101,1,0,1,0,1,1779097416436,1779097416522,973,0,973
102,1,0,0,0,0,1779097418435,1779097418505,0,0,0
103,1,0,0,0,0,1779097420437,1779097420509,0,0,0
104,1,0,4,0,4,1779097422440,1779097422520,3730,0,3730
105,1,0,4,0,4,1779097424439,1779097424521,3627,0,3627
106,1,3,7,0,7,1779097426508,1779097426771,8987,0,8987
107,1,0,3,0,3,1779097428441,1779097428517,5616,0,5616
108,1,0,4,0,4,1779097430443,1779097430564,6587,0,6587
109,1,0,4,0,4,1779097432445,1779097432511,5267,0,5267
110,1,0,2,0,2,1779097434443,1779097434516,1599,0,1599
111,1,0,6,0,6,1779097436445,1779097436516,6672,0,6672
112,1,0,9,0,9,1779097438445,1779097438510,11640,0,11640
113,1,0,12,0,12,1779097440446,1779097440517,16550,0,16550
114,1,0,8,0,8,1779097442448,1779097442531,9471,0,9471
115,1,0,6,0,6,1779097444454,1779097444580,8304,0,8304
116,1,0,3,0,3,1779097446447,1779097446517,4938,0,4938
117,1,0,3,0,3,1779097448448,1779097448530,2935,0,2935
118,1,0,9,0,9,1779097450449,1779097450517,12613,0,12613
119,1,0,154,32,2,1779097452500,1779097452579,208084,42702,1270
120,1,0,283,37,4,1779097454537,1779097454644,384212,49079,6769
121,1,0,298,24,8,1779097456544,1779097456639,382312,30016,11287
122,1,141,27,17,10,1779097458453,1779097458546,24516,17967,6549
123,1,0,188,40,7,1779097460501,1779097460580,491560,40626,10068
124,1,0,156,28,6,1779097462497,1779097462574,404125,25569,7366
125,1,0,110,10,0,1779097464490,1779097464550,300849,7259,0
126,1,0,149,12,1,1779097466483,1779097466544,386100,7959,503
127,1,0,27,0,1,1779097468460,1779097468524,70470,0,1479
128,1,0,1,0,1,1779097470455,1779097470524,1464,0,1464
129,1,0,1,0,1,1779097472456,1779097472545,1469,0,1469
130,1,0,0,0,0,1779097474455,1779097474526,0,0,0
131,1,0,2,0,2,1779097476459,1779097476539,1863,0,1863
132,1,0,6,0,6,1779097478460,1779097478527,4436,0,4436
133,1,0,1,0,1,1779097480459,1779097480526,384,0,384
134,1,0,3,0,3,1779097482460,1779097482522,2105,0,2105
135,1,0,2,0,2,1779097484461,1779097484566,2805,0,2805
136,1,0,5,0,5,1779097486462,1779097486528,3729,0,3729
137,1,0,8,0,8,1779097488463,1779097488538,3733,0,3733
138,1,0,1,0,1,1779097490463,1779097490525,314,0,314
139,1,0,4,0,4,1779097492465,1779097492535,2239,0,2239
140,1,0,6,0,6,1779097494467,1779097494531,7766,0,7766
141,1,0,9,0,9,1779097496467,1779097496532,9494,0,9494
142,1,0,2,0,2,1779097498465,1779097498574,600,0,600
143,1,0,3,0,3,1779097500466,1779097500533,3761,0,3761
144,1,0,8,0,8,1779097502468,1779097502564,10195,0,10195
146,2,0,19,0,19,1779097506827,1779097507172,40419,0,40419
147,2,0,0,0,0,1779097508469,1779097508545,0,0,0
