EpochID,Total tx # in this epoch,CTX # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,CTX ratio of this epoch
0,28661.00000000000000000000000000000000000000000000000000000000,7216.00000000000000000000000000000000000000000000000000000000,21445,8955,5477,0.25177069885907676916048103521461598575115203857421875000
1,21319.00000000000000000000000000000000000000000000000000000000,4526.00000000000000000000000000000000000000000000000000000000,16793,2807,6245,0.21229888831558704764823630739556392654776573181152343750
2,20.00000000000000000000000000000000000000000000000000000000,20.00000000000000000000000000000000000000000000000000000000,0,0,40,1.00000000000000000000000000000000000000000000000000000000
