EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch
0,28661.00000000000000000000000000000000000000000000000000000000,21445,8955,5477
1,21319.00000000000000000000000000000000000000000000000000000000,16793,2807,6245
2,20.00000000000000000000000000000000000000000000000000000000,0,0,40
