EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,Sum of Broker1 TCL (ms) (Duration: Broker1 Tx Propose -> Broker1 Tx Commit),Sum of Broker2 TCL (ms) (Duration: Broker2 Tx Propose -> Broker2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Broker1 Tx Propose -> Broker2 Tx Commit),Sum of All Tx TCL (sec.)
0,19038.50000000000000000000000000000000000000000000000000000000,13962,5238,4915,7941327,5430687,47247836,43117603,90374.85190321414847858250141143798828125000000000000000000000
1,18940.00000000000000000000000000000000000000000000000000000000,14854,4346,3826,5246431,5847933,50161102,39383685,89554.02010223448451142758131027221679687500000000000000000000
2,12021.50000000000000000000000000000000000000000000000000000000,9796,1804,2647,1002794,4078827,30399887,18748838,49155.02222086006804602220654487609863281250000000000000000000
