EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch
0,19038.50000000000000000000000000000000000000000000000000000000,13962,5238,4915
1,18940.00000000000000000000000000000000000000000000000000000000,14854,4346,3826
2,12021.50000000000000000000000000000000000000000000000000000000,9796,1804,2647
