EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,Epoch start time,Epoch end time,Avg. TPS of this epoch
0,19038.50000000000000000000000000000000000000000000000000000000,13962,5238,4915,1778207099459,1778207151648,364.79719600584826366684865206480026245117187500000000000000
1,18940.00000000000000000000000000000000000000000000000000000000,14854,4346,3826,1778207155512,1778207215763,314.35185970991068415969493798911571502685546875000000000000
2,12021.50000000000000000000000000000000000000000000000000000000,9796,1804,2647,1778207219537,1778207263646,272.54153362706279040139634162187576293945312500000000000000
