Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,149,399,322,0,1778207340835,1778207341001,1007462,813032,0
2,0,65,407,168,189,1778207342812,1778207342980,978564,95784,852222
3,0,141,432,289,65,1778207344829,1778207345032,1131548,718631,218965
4,0,73,391,199,141,1778207346801,1778207346973,911892,227959,624435
5,0,92,462,297,73,1778207348824,1778207349216,1253118,770553,243766
6,0,143,136,24,109,1778207350789,1778207350990,484146,7806,475362
7,0,203,257,84,143,1778207352797,1778207353094,730450,202028,456292
8,0,81,266,51,203,1778207354795,1778207354955,1136370,217138,868144
9,0,267,229,155,21,1778207356801,1778207356995,597638,346675,132334
10,0,252,334,106,194,1778207358813,1778207359057,1431291,451278,835272
11,0,320,479,285,110,1778207360834,1778207361026,1469420,605486,685703
12,0,68,396,213,114,1778207362831,1778207363008,1599980,853998,469340
13,0,87,320,213,73,1778207364824,1778207364966,914699,412584,436169
14,0,34,294,157,96,1778207366815,1778207366982,1159068,618384,379189
15,0,199,309,169,88,1778207368856,1778207369067,970929,337341,529798
16,0,128,242,37,199,1778207370818,1778207371023,955860,145703,786545
17,0,36,153,16,128,1778207372799,1778207372958,798031,29642,751715
18,0,104,304,46,250,1778207374825,1778207374968,1169621,175943,963101
19,0,61,294,127,111,1778207376828,1778207376985,981079,230418,648984
20,0,1,201,7,194,1778207378799,1778207378987,764114,26437,737677
21,0,3,136,11,125,1778207380796,1778207380963,737508,18700,718808
22,0,144,236,4,232,1778207382822,1778207383026,889502,14938,874564
23,0,2,155,11,144,1778207384795,1778207384947,832895,17765,815130
24,0,3,255,6,248,1778207386806,1778207387059,948960,22147,923123
25,0,18,186,39,144,1778207388804,1778207388956,869939,60290,805030
26,0,62,392,144,222,1778207390859,1778207391040,1421248,519896,807411
27,0,96,221,139,62,1778207392822,1778207392973,582376,208791,343581
28,0,52,305,120,150,1778207394840,1778207395044,1086134,426151,535690
29,0,33,97,31,64,1778207396803,1778207396972,398598,45073,350615
30,0,90,322,68,251,1778207398836,1778207398984,1110078,232970,866825
31,0,135,310,164,101,1778207400848,1778207401040,855486,236688,553939
32,0,88,225,45,167,1778207402830,1778207403049,776236,154693,576855
33,0,0,322,142,124,1778207404836,1778207404997,934854,191367,667924
34,0,19,207,29,172,1778207406823,1778207406955,682290,94779,567953
35,0,0,299,129,122,1778207408819,1778207408917,849730,153914,638513
36,0,43,90,4,86,1778207410894,1778207411041,298874,13105,285769
37,0,150,217,9,207,1778207413101,1778207413185,1138662,12454,1124826
38,0,274,156,14,142,1778207414949,1778207415086,605625,45665,559960
39,0,142,283,12,270,1778207417035,1778207417131,1464994,27211,1432499
40,0,5,175,36,136,1778207418866,1778207419028,620059,112478,498227
41,0,148,232,3,229,1778207420897,1778207421040,1182210,3336,1178874
42,0,1,149,3,146,1778207422839,1778207422995,529255,9168,520087
43,0,134,272,9,263,1778207424886,1778207425047,1351731,9553,1342178
44,0,41,204,66,132,1778207426845,1778207427128,755914,205275,531954
45,0,89,341,110,195,1778207428846,1778207428995,1142433,123738,972728
46,0,164,414,234,108,1778207430847,1778207431039,1313852,693013,407573
47,0,42,539,284,164,1778207432871,1778207432980,1405681,453029,804758
48,0,78,635,449,56,1778207434879,1778207435020,1867992,1294145,199318
49,0,42,393,228,78,1778207436863,1778207437191,936574,410532,394190
50,0,93,578,406,42,1778207438862,1778207439011,1634002,1135505,134892
51,0,40,490,296,93,1778207440866,1778207441009,1011355,428726,446020
52,0,24,190,119,40,1778207442822,1778207443050,581347,331043,164057
53,0,7,259,34,216,1778207444830,1778207445037,1092117,48600,1028974
54,0,130,573,328,141,1778207446869,1778207447026,1688022,880866,527885
55,0,13,231,82,130,1778207448838,1778207448929,840930,193650,596662
56,0,136,498,283,115,1778207450864,1778207450983,1318859,727294,334584
57,0,79,329,144,150,1778207452855,1778207453002,857174,136299,689410
58,0,130,484,301,93,1778207454910,1778207455069,1314859,777914,304199
59,0,28,313,136,130,1778207456849,1778207456980,861964,207019,585156
60,0,90,486,318,73,1778207458872,1778207459048,1226476,793453,196119
61,0,0,215,68,120,1778207460852,1778207461104,780245,183783,546340
62,0,0,168,37,124,1778207462827,1778207462947,427776,86594,324791
63,0,23,354,101,229,1778207464850,1778207464962,1157145,134250,998820
64,0,0,91,0,91,1778207466918,1778207467008,260621,0,260621
65,0,0,0,0,0,1778207468807,1778207468895,0,0,0
66,0,0,0,0,0,1778207470808,1778207470907,0,0,0
67,0,0,0,0,0,1778207472809,1778207472916,0,0,0
