EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch
0,9600.00000000000000000000000000000000000000000000000000000000,6520,3080,3080
1,9600.00000000000000000000000000000000000000000000000000000000,7634,1966,1966
2,9574.50000000000000000000000000000000000000000000000000000000,6576,3024,2973
3,9522.50000000000000000000000000000000000000000000000000000000,8472,1025,1076
4,9630.00000000000000000000000000000000000000000000000000000000,8258,1372,1372
5,2073.00000000000000000000000000000000000000000000000000000000,1895,178,178
