EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,Sum of Broker1 TCL (ms) (Duration: Broker1 Tx Propose -> Broker1 Tx Commit),Sum of Broker2 TCL (ms) (Duration: Broker2 Tx Propose -> Broker2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Broker1 Tx Propose -> Broker2 Tx Commit),Sum of All Tx TCL (sec.)
0,9600.00000000000000000000000000000000000000000000000000000000,6520,3080,3080,6353837,4778312,41166328,18356448,59527.53360566315677715465426445007324218750000000000000000000
1,9600.00000000000000000000000000000000000000000000000000000000,7634,1966,1966,4358482,2744096,45605246,12730936,58340.95053856507001910358667373657226562500000000000000000000
2,9574.50000000000000000000000000000000000000000000000000000000,6576,3024,2973,5717082,4375826,41709396,20008242,61722.40212937790056457743048667907714843750000000000000000000
3,9522.50000000000000000000000000000000000000000000000000000000,8472,1025,1076,2041690,1712250,48266836,6398543,54670.19052152895164908841252326965332031250000000000000000000
4,9630.00000000000000000000000000000000000000000000000000000000,8258,1372,1372,1941023,2129450,47358916,6606436,53970.19537920206494163721799850463867187500000000000000000000
5,2073.00000000000000000000000000000000000000000000000000000000,1895,178,178,178921,273551,9575000,742633,10318.69543777499529824126511812210083007812500000000000000000
