EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,Epoch start time,Epoch end time,Avg. TPS of this epoch
0,9600.00000000000000000000000000000000000000000000000000000000,6520,3080,3080,1778170341001,1778170393122,184.18974123661456587797147221863269805908203125000000000000
1,9600.00000000000000000000000000000000000000000000000000000000,7634,1966,1966,1778170399023,1778170451173,184.08654212824589535557606723159551620483398437500000000000
2,9574.50000000000000000000000000000000000000000000000000000000,6576,3024,2973,1778170457046,1778170509174,183.67437953630332003740477375686168670654296875000000000000
3,9522.50000000000000000000000000000000000000000000000000000000,8472,1025,1076,1778170513055,1778170567271,175.64225999250851373290061019361019134521484375000000000000
4,9630.00000000000000000000000000000000000000000000000000000000,8258,1372,1372,1778170571084,1778170625243,177.80825004565409130918851587921380996704101562500000000000
5,2073.00000000000000000000000000000000000000000000000000000000,1895,178,178,1778170629094,1778170643195,147.01333608224206273007439449429512023925781250000000000000
