Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,95,84,84,0,1778160408406,1778160408481,172009,172009,0
2,0,15,125,80,45,1778160410422,1778160410541,421948,328510,93438
3,0,44,64,1,37,1778160412417,1778160412489,215533,6053,51452
4,0,52,92,0,0,1778160414411,1778160414546,747511,0,0
5,0,0,94,25,52,1778160416410,1778160416485,282435,24672,86768
6,0,35,64,46,18,1778160418412,1778160418578,179047,141596,37451
7,0,46,86,0,5,1778160420421,1778160420541,415433,0,5180
8,0,68,86,0,0,1778160422424,1778160422526,605440,0,0
9,0,0,91,0,40,1778160424420,1778160424512,530455,0,70569
10,0,0,123,68,55,1778160426419,1778160426513,194334,133851,60483
11,0,0,116,32,44,1778160428422,1778160428519,343936,127132,56676
12,0,31,101,0,0,1778160430419,1778160430554,608590,0,0
13,0,0,154,0,75,1778160432426,1778160432513,748049,0,118025
14,0,0,43,3,33,1778160434417,1778160434490,124065,2633,51796
15,0,0,79,19,16,1778160436423,1778160436514,208680,55111,23724
16,0,0,97,0,0,1778160438424,1778160438535,480279,0,0
17,0,0,162,0,64,1778160440425,1778160440547,740946,0,59637
18,0,0,64,0,10,1778160442423,1778160442492,489294,0,9535
19,0,0,82,49,33,1778160444423,1778160444513,146148,90423,55725
20,0,0,139,0,49,1778160446429,1778160446537,393911,0,42705
21,0,0,140,0,39,1778160448431,1778160448526,651327,0,57346
22,0,0,96,0,0,1778160450434,1778160450540,756720,0,0
23,0,24,61,35,0,1778160452423,1778160452511,284501,28494,0
24,0,0,87,48,39,1778160454429,1778160454558,203075,137303,65772
25,0,10,76,0,0,1778160456428,1778160456519,367528,0,0
26,0,39,128,0,33,1778160458432,1778160458539,694935,0,44149
27,0,0,120,0,54,1778160460433,1778160460542,678556,0,94491
29,1,0,0,0,0,1778160464423,1778160464551,0,0,0
30,1,0,37,37,0,1778160466434,1778160466520,62240,62240,0
31,1,0,74,24,50,1778160468438,1778160468532,138811,88632,50179
32,1,0,235,0,113,1778160470447,1778160470539,877211,0,179186
33,1,0,153,0,63,1778160472437,1778160472539,819203,0,125378
