EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch
0,33800.00000000000000000000000000000000000000000000000000000000,25750,12650,3450
1,15721.50000000000000000000000000000000000000000000000000000000,9173,2427,10670
2,478.50000000000000000000000000000000000000000000000000000000,0,0,957
