EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,Epoch start time,Epoch end time,Avg. TPS of this epoch
0,33800.00000000000000000000000000000000000000000000000000000000,25750,12650,3450,1779097214994,1779097265177,673.54260443244584166677668690681457519531250000000000000000
1,15721.50000000000000000000000000000000000000000000000000000000,9173,2427,10670,1779097268460,1779097503185,66.97850682290598456347652245312929153442382812500000000000
2,478.50000000000000000000000000000000000000000000000000000000,0,0,957,1779097506668,1779097534675,17.08500133168855583676304377149790525436401367187500000000
