EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,Sum of Broker1 TCL (ms) (Duration: Broker1 Tx Propose -> Broker1 Tx Commit),Sum of Broker2 TCL (ms) (Duration: Broker2 Tx Propose -> Broker2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Broker1 Tx Propose -> Broker2 Tx Commit),Sum of All Tx TCL (sec.)
0,33800.00000000000000000000000000000000000000000000000000000000,25750,12650,3450,16035249,4054123,60792200,56921124,117727.86701485744561068713665008544921875000000000000000000000
1,15721.50000000000000000000000000000000000000000000000000000000,9173,2427,10670,2960573,12397841,18820982,1036322482,1055153.45304612535983324050903320312500000000000000000000000000
2,478.50000000000000000000000000000000000000000000000000000000,0,0,957,0,1745724,0,49413914,49414.40500011800031643360853195190429687500000000000000000000
