EpochID,Total tx # in this epoch,CTX # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,CTX ratio of this epoch
0,33800.00000000000000000000000000000000000000000000000000000000,8050.00000000000000000000000000000000000000000000000000000000,25750,12650,3450,0.23816568047337277613806350018421653658151626586914062500
1,15721.50000000000000000000000000000000000000000000000000000000,6548.50000000000000000000000000000000000000000000000000000000,9173,2427,10670,0.41653150144706291291285538136435206979513168334960937500
2,478.50000000000000000000000000000000000000000000000000000000,478.50000000000000000000000000000000000000000000000000000000,0,0,957,1.00000000000000000000000000000000000000000000000000000000
