Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,4,77,36,30,1778157861422,1778157861458,58267,27228,22708
2,0,8,83,41,30,1778157861935,1778157861982,105517,52085,38141
3,0,0,8,0,8,1778157862417,1778157862474,14091,0,14091
4,0,3,67,36,21,1778157862919,1778157862969,150745,80982,47265
5,0,0,3,0,3,1778157863416,1778157863451,8195,0,8195
6,0,4,44,11,30,1778157863920,1778157863972,142894,35724,97430
7,0,0,4,0,4,1778157864416,1778157864458,14934,0,14934
8,0,2,57,20,33,1778157864923,1778157864967,241582,84763,139866
9,0,0,2,0,2,1778157865416,1778157865456,9455,0,9455
10,0,2,46,18,24,1778157865919,1778157865970,240957,94290,125717
11,0,0,2,0,2,1778157866418,1778157866458,11452,0,11452
12,0,3,62,31,26,1778157866928,1778157866988,387694,193843,162583
13,0,0,3,0,3,1778157867420,1778157867472,20210,0,20210
14,0,1,77,55,15,1778157867933,1778157867991,558455,398891,108792
15,0,0,1,0,1,1778157868421,1778157868474,7734,0,7734
16,0,4,58,26,27,1778157868929,1778157868990,13605,6114,6313
17,0,0,4,0,4,1778157869423,1778157869486,2921,0,2921
18,0,0,45,10,33,1778157869926,1778157869970,54387,12076,39897
19,0,0,2,0,2,1778157870424,1778157870474,3429,0,3429
20,0,4,49,15,30,1778157870931,1778157870981,108571,33231,66482
21,0,0,4,0,4,1778157871429,1778157871488,10887,0,10887
22,0,4,64,24,36,1778157871928,1778157871974,205142,76919,115402
23,0,0,4,0,4,1778157872429,1778157872492,14895,0,14895
24,0,0,44,16,26,1778157872928,1778157872990,185651,67500,109714
25,0,0,5,0,5,1778157873429,1778157873471,23502,0,23502
26,0,3,60,21,28,1778157873936,1778157873998,313506,109725,146312
27,0,0,17,0,17,1778157874430,1778157874480,97015,0,97015
28,0,11,45,18,19,1778157874942,1778157875000,280129,112059,118269
29,0,0,32,0,32,1778157875435,1778157875485,214694,0,214694
30,0,2,23,6,16,1778157875932,1778157875981,165673,43221,115249
31,0,0,26,0,26,1778157876433,1778157876475,200123,0,200123
32,0,5,27,20,0,1778157876933,1778157876978,4634,3432,0
33,0,0,30,0,30,1778157877441,1778157877527,21642,0,21642
34,0,2,20,17,0,1778157877935,1778157877979,23338,19835,0
35,0,0,47,0,47,1778157878434,1778157878476,78149,0,78149
36,0,0,12,8,0,1778157878938,1778157878997,26124,17416,0
37,0,0,45,0,45,1778157879435,1778157879479,119485,0,119485
38,0,0,16,12,0,1778157879939,1778157880002,50693,38017,0
39,0,0,36,0,36,1778157880437,1778157880495,131836,0,131836
40,0,7,19,16,0,1778157880940,1778157881001,79100,66613,0
41,0,0,43,0,43,1778157881440,1778157881486,199857,0,199857
42,0,5,57,44,0,1778157881939,1778157882001,294030,226973,0
43,0,0,28,0,28,1778157882441,1778157882484,157980,0,157980
44,0,8,38,33,0,1778157882950,1778157883013,234354,203516,0
45,0,0,29,0,29,1778157883441,1778157883481,192429,0,192429
46,0,0,9,9,0,1778157883940,1778157883980,64189,64189,0
47,0,0,44,0,44,1778157884448,1778157884521,337542,0,337542
48,0,0,2,2,0,1778157884941,1778157884991,256,256,0
49,0,0,50,0,50,1778157885448,1778157885502,32060,0,32060
50,0,0,3,2,0,1778157885942,1778157886002,3417,2278,0
51,0,0,50,0,50,1778157886447,1778157886485,81042,0,81042
52,0,0,5,3,0,1778157886944,1778157887001,10675,6405,0
53,0,0,50,0,50,1778157887452,1778157887513,132360,0,132360
54,0,39,7,6,0,1778157887944,1778157888005,21959,18822,0
55,0,0,44,0,44,1778157888455,1778157888505,160021,0,160021
56,0,0,0,0,0,1778157888945,1778157889000,0,0,0
57,0,0,57,0,57,1778157889452,1778157889505,264091,0,264091
58,0,0,0,0,0,1778157889946,1778157890000,0,0,0
59,0,0,50,0,50,1778157890453,1778157890498,281122,0,281122
60,0,13,25,21,0,1778157890952,1778157891001,153053,128565,0
61,0,0,37,0,37,1778157891454,1778157891529,246026,0,246026
62,0,5,21,19,0,1778157891954,1778157892001,149490,135255,0
63,0,0,45,0,45,1778157892455,1778157892504,342976,0,342976
64,0,7,39,23,0,1778157892958,1778157892999,3963,2334,0
65,0,0,42,0,42,1778157893455,1778157893502,25391,0,25391
66,0,0,35,17,0,1778157893954,1778157894006,38717,18803,0
67,0,0,31,0,31,1778157894456,1778157894495,49451,0,49451
68,0,0,15,6,0,1778157894956,1778157895001,31480,12590,0
69,0,0,45,0,45,1778157895464,1778157895525,117977,0,117977
70,0,0,1,1,0,1778157895954,1778157896006,3099,3099,0
71,0,0,39,0,39,1778157896459,1778157896495,139966,0,139966
72,0,30,0,0,0,1778157896955,1778157897009,0,0,0
73,0,0,45,0,45,1778157897467,1778157897518,207446,0,207446
74,0,0,3,1,0,1778157897957,1778157898007,15288,5096,0
75,0,0,51,0,51,1778157898460,1778157898499,285013,0,285013
76,0,0,0,0,0,1778157898957,1778157898999,0,0,0
77,0,0,43,0,43,1778157899461,1778157899503,283358,0,283358
78,0,8,20,17,0,1778157899965,1778157900044,142579,121193,0
79,0,0,38,0,38,1778157900463,1778157900514,288735,0,288735
80,0,31,0,0,0,1778157900963,1778157901012,0,0,0
81,0,0,58,15,27,1778157901471,1778157901518,34186,8855,15917
82,0,39,4,0,4,1778157901963,1778157902017,4354,0,4354
83,0,7,63,26,24,1778157902466,1778157902530,100643,41526,38344
84,0,42,7,0,7,1778157902965,1778157903016,14585,0,14585
85,0,2,73,36,31,1778157903473,1778157903516,188217,92811,79933
86,0,28,2,0,2,1778157903967,1778157904035,6194,0,6194
87,0,0,50,23,22,1778157904469,1778157904523,179052,82375,78769
88,0,38,3,0,3,1778157904967,1778157905015,12216,0,12216
89,0,8,70,34,32,1778157905471,1778157905519,320052,155435,146330
90,0,27,8,0,8,1778157905971,1778157906030,40672,0,40672
91,0,7,64,13,37,1778157906476,1778157906527,356880,72493,206307
92,0,13,7,0,7,1778157906972,1778157907039,42619,0,42619
93,0,3,59,12,46,1778157907473,1778157907516,387036,78726,301748
94,0,9,3,0,3,1778157907974,1778157908026,21208,0,21208
