Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
94,0,0,34,0,34,1778157907847,1778157907886,235646,0,235646
95,0,0,50,36,0,1778157908351,1778157908410,372345,268088,0
96,0,0,44,0,44,1778157908848,1778157908907,349478,0,349478
97,0,23,67,53,0,1778157909351,1778157909403,27817,22006,0
98,0,0,31,0,31,1778157909850,1778157909903,28397,0,28397
99,0,0,57,49,0,1778157910353,1778157910406,80350,69072,0
100,0,0,17,0,17,1778157910849,1778157910912,32574,0,32574
101,0,0,70,39,0,1778157911355,1778157911413,168489,93871,0
102,0,0,79,0,79,1778157911852,1778157911892,227954,0,227954
103,0,22,86,45,0,1778157912357,1778157912406,291784,152679,0
104,0,0,80,0,80,1778157912856,1778157912932,313528,0,313528
105,0,15,103,71,0,1778157913359,1778157913422,453347,312493,0
106,0,0,41,0,41,1778157913855,1778157913906,200343,0,200343
107,0,29,45,36,0,1778157914357,1778157914437,243422,194747,0
108,0,0,40,0,40,1778157914856,1778157914922,235748,0,235748
109,0,22,60,41,0,1778157915359,1778157915438,384311,262613,0
110,0,0,32,0,32,1778157915858,1778157915894,219610,0,219610
111,0,1,53,39,0,1778157916358,1778157916413,391061,287758,0
112,0,0,37,0,37,1778157916862,1778157916956,293056,0,293056
113,0,0,0,0,0,1778157917356,1778157917435,0,0,0
115,1,0,0,0,0,1778157919070,1778157919119,0,0,0
116,1,0,0,0,0,1778157919125,1778157919171,0,0,0
117,1,44,0,0,0,1778157919358,1778157919416,0,0,0
118,1,1,77,20,33,1778157919870,1778157919962,44835,11631,19248
119,1,33,1,0,1,1778157920360,1778157920415,1035,0,1035
120,1,0,48,17,15,1778157920864,1778157920925,74048,26227,23140
121,1,51,21,0,21,1778157921369,1778157921415,42665,0,42665
122,1,0,67,26,16,1778157921868,1778157921937,171034,66377,40839
123,1,29,5,0,5,1778157922364,1778157922424,15199,0,15199
124,1,8,34,21,5,1778157922868,1778157923044,124309,76780,18280
125,1,54,8,0,8,1778157923366,1778157923423,32289,0,32289
126,1,4,76,44,22,1778157923874,1778157923918,344165,199261,99621
127,1,58,4,0,4,1778157924367,1778157924425,20142,0,20142
128,1,2,77,40,19,1778157924875,1778157924949,427788,222224,105559
129,1,53,2,0,2,1778157925369,1778157925430,12072,0,12072
130,1,4,70,34,17,1778157925873,1778157925916,456095,221547,110767
131,1,0,4,0,4,1778157926369,1778157926418,28063,0,28063
132,1,1,58,25,15,1778157926876,1778157926929,436262,188042,112824
133,1,0,1,0,1,1778157927370,1778157927420,8014,0,8014
134,1,4,80,34,10,1778157927877,1778157927927,40278,17118,5029
135,1,6,4,0,4,1778157928374,1778157928465,4167,0,4167
136,1,0,28,3,22,1778157928874,1778157928961,42972,4606,33760
137,1,0,0,0,0,1778157929371,1778157929439,0,0,0
138,1,0,22,0,22,1778157929878,1778157929968,55860,0,55860
139,1,0,0,0,0,1778157930372,1778157930427,0,0,0
140,1,0,19,1,14,1778157930878,1778157930922,66310,3490,48860
141,1,0,0,0,0,1778157931375,1778157931438,0,0,0
142,1,0,15,1,14,1778157931877,1778157931933,67470,4498,62972
143,1,0,0,0,0,1778157932377,1778157932429,0,0,0
144,1,0,25,4,21,1778157932879,1778157932986,138744,22196,116548
145,1,0,0,0,0,1778157933380,1778157933437,0,0,0
146,1,0,25,4,21,1778157933881,1778157933929,162253,25960,136293
147,1,39,0,0,0,1778157934378,1778157934451,0,0,0
148,1,5,55,21,16,1778157934886,1778157934949,412963,157681,120136
149,1,0,5,0,5,1778157935384,1778157935443,40009,0,40009
150,1,0,30,14,11,1778157935880,1778157935941,14683,6850,5386
151,1,0,20,0,20,1778157936382,1778157936429,19545,0,19545
152,1,5,82,26,23,1778157936889,1778157936935,121469,38511,34075
153,1,0,5,0,5,1778157937382,1778157937423,9846,0,9846
154,1,4,84,47,17,1778157937894,1778157937985,212405,118842,42995
155,1,0,4,0,4,1778157938383,1778157938448,11970,0,11970
156,1,6,91,43,16,1778157938910,1778157938959,318472,150490,55996
157,1,0,6,0,6,1778157939384,1778157939448,23932,0,23932
158,1,0,49,2,46,1778157939950,1778157939989,221875,9058,208288
159,1,0,0,0,0,1778157940385,1778157940469,0,0,0
160,1,0,61,4,56,1778157940972,1778157941009,338275,22180,310550
161,1,0,0,0,0,1778157941384,1778157941440,0,0,0
162,1,0,47,3,44,1778157941932,1778157941965,305439,19500,285939
163,1,0,0,0,0,1778157942385,1778157942428,0,0,0
164,1,0,43,3,39,1778157942930,1778157942958,322021,22467,292065
165,1,0,0,0,0,1778157943391,1778157943445,0,0,0
166,1,0,0,0,0,1778157943891,1778157943958,0,0,0
167,1,0,0,0,0,1778157944392,1778157944472,0,0,0
168,1,0,0,0,0,1778157944891,1778157944951,0,0,0
169,1,0,0,0,0,1778157945390,1778157945468,0,0,0
170,0,114,184,136,0,1778158213462,1778158213504,386224,285464,0
171,0,67,247,86,103,1778158215410,1778158215460,999032,347493,417159
172,0,0,259,79,123,1778158217376,1778158217438,1556778,474596,739742
173,0,0,287,118,98,1778158219373,1778158219419,2290762,941656,782580
174,0,0,258,92,123,1778158221366,1778158221405,1240200,179193,977211
175,0,0,244,113,94,1778158223368,1778158223417,964782,446586,371973
176,0,0,278,145,71,1778158225372,1778158225423,1654448,862791,422741
177,0,0,187,103,45,1778158227359,1778158227421,1485149,817907,357524
178,0,0,217,115,59,1778158229367,1778158229403,789290,218450,489157
179,0,0,169,60,92,1778158231358,1778158231400,657761,233401,358220
180,0,0,220,113,65,1778158233366,1778158233421,1299533,667371,384135
181,0,0,174,41,104,1778158235347,1778158235405,1372286,323289,820328
182,0,0,103,4,97,1778158237352,1778158237426,972133,7550,960801
183,0,0,95,9,85,1778158239360,1778158239408,367744,34763,329119
184,0,0,83,2,81,1778158241353,1778158241386,484845,11674,473171
185,0,0,220,86,110,1778158243357,1778158243426,1728558,675022,865193
186,0,0,262,156,54,1778158245357,1778158245411,843798,282710,466849
187,0,0,104,41,46,1778158247355,1778158247403,395202,155707,174927
188,0,0,120,20,98,1778158249359,1778158249404,695196,115735,567889
189,0,0,124,37,76,1778158251354,1778158251392,963775,287369,590969
190,0,0,280,120,113,1778158253362,1778158253427,1254093,214495,955582
191,0,0,168,55,78,1778158255363,1778158255403,631376,206588,293320
192,0,0,277,125,116,1778158257367,1778158257443,1604080,723493,672220
193,0,0,186,91,71,1778158259359,1778158259396,1438814,703784,549438
194,0,0,196,102,72,1778158261363,1778158261422,734283,177667,518284
195,0,0,211,84,55,1778158263361,1778158263413,786281,312950,205099
196,0,0,292,107,144,1778158265360,1778158265403,1668235,611105,822959
197,0,0,201,80,88,1778158267359,1778158267415,1551561,617412,679460
199,1,0,0,0,0,1778158277621,1778158277660,0,0,0
200,1,0,0,0,0,1778158279623,1778158279665,0,0,0
201,1,0,0,0,0,1778158281622,1778158281648,0,0,0
202,1,0,0,0,0,1778158283622,1778158283676,0,0,0
203,1,0,0,0,0,1778158285623,1778158285665,0,0,0
204,1,0,0,0,0,1778158287623,1778158287679,0,0,0
205,1,0,0,0,0,1778158289624,1778158289670,0,0,0
206,1,0,0,0,0,1778158291625,1778158291662,0,0,0
207,1,0,0,0,0,1778158293625,1778158293663,0,0,0
208,1,0,0,0,0,1778158295626,1778158295666,0,0,0
209,1,0,0,0,0,1778158297627,1778158297664,0,0,0
210,1,0,0,0,0,1778158299626,1778158299664,0,0,0
211,1,0,0,0,0,1778158301629,1778158301685,0,0,0
212,1,0,0,0,0,1778158303630,1778158303677,0,0,0
213,1,0,0,0,0,1778158305630,1778158305689,0,0,0
214,1,0,0,0,0,1778158307631,1778158307679,0,0,0
