Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,425,1000,859,39,1779095484612,1779095484726,3130568,2679112,144327
2,0,392,923,415,460,1779095486561,1779095486741,2799273,890264,1825093
3,0,725,740,640,36,1779095488605,1779095489056,1453921,1196151,133649
4,0,291,786,461,276,1779095490594,1779095491161,2404393,1022201,1273586
5,0,178,627,422,158,1779095492505,1779095492886,1501726,763671,655825
6,0,80,227,32,194,1779095494461,1779095494775,847864,47345,798403
7,0,483,350,239,83,1779095496511,1779095496955,1003356,488041,458152
8,0,738,783,577,158,1779095498628,1779095499137,2473384,1524423,817146
9,0,463,1000,730,190,1779095500638,1779095501089,2828940,1502073,1163376
10,0,132,835,485,302,1779095502565,1779095502906,2882688,1158244,1613807
11,0,9,168,39,128,1779095504514,1779095504987,1190221,74797,1113977
12,0,61,286,168,104,1779095506486,1779095506821,1156680,166603,976947
13,0,126,960,776,103,1779095508599,1779095508842,1864543,1114873,635344
14,0,455,505,305,163,1779095510612,1779095510983,1688429,521353,1103829
15,0,333,857,388,435,1779095512680,1779095513035,3882699,810667,2998755
16,0,187,962,798,65,1779095514678,1779095515135,1578537,1181718,254521
17,0,301,635,405,196,1779095516603,1779095516988,2508253,757800,1687035
18,0,182,432,200,212,1779095518586,1779095518999,2362774,416397,1904810
19,0,49,193,0,193,1779095520522,1779095520986,2155847,0,2155847
20,0,103,49,0,49,1779095522458,1779095522712,810760,0,810760
21,0,96,103,0,103,1779095524473,1779095524836,1428765,0,1428765
22,0,58,96,0,96,1779095526488,1779095526820,1357352,0,1357352
23,0,92,58,0,58,1779095528465,1779095528693,756362,0,756362
24,0,0,92,0,92,1779095530478,1779095530610,1302504,0,1302504
25,0,0,0,0,0,1779095532445,1779095532727,0,0,0
26,0,0,0,0,0,1779095534438,1779095534583,0,0,0
27,0,0,0,0,0,1779095536442,1779095536642,0,0,0
