Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,102,163,93,12,1779093036245,1779093036432,474869,266608,11172
2,0,84,163,44,17,1779093038256,1779093038375,388960,46108,16303
3,0,165,433,305,44,1779093040341,1779093040606,675576,341713,54894
4,0,0,208,21,22,1779093042245,1779093042441,538516,17715,21395
5,0,0,206,45,32,1779093044254,1779093044433,446187,33371,43191
6,0,0,183,84,15,1779093046247,1779093046435,302171,55006,13697
7,0,0,114,36,11,1779093048272,1779093048568,218605,20559,8518
8,0,9,102,17,22,1779093050247,1779093050455,194432,4828,27863
9,0,26,163,0,19,1779093052268,1779093052488,378727,0,33108
10,0,0,157,24,8,1779093054260,1779093054574,346919,51601,12666
11,0,5,157,4,1,1779093056260,1779093056385,290714,7048,1122
12,0,8,172,6,11,1779093058268,1779093058491,296311,9877,18371
13,0,3,174,46,16,1779093060265,1779093060397,259936,66853,25564
14,0,4,167,99,10,1779093062327,1779093062618,265829,156112,16028
15,0,0,152,23,11,1779093064262,1779093064399,197335,28958,15422
16,0,84,85,82,3,1779093066248,1779093066492,105686,102419,3267
17,0,0,132,47,8,1779093068259,1779093068407,311059,49504,14955
18,0,0,104,32,10,1779093070262,1779093070387,230951,26465,13455
19,0,4,129,3,13,1779093072288,1779093072510,360931,2592,18599
20,0,0,179,7,9,1779093074300,1779093074451,479901,5099,12671
21,0,0,167,9,4,1779093076295,1779093076447,434283,5823,3738
22,0,0,176,18,2,1779093078308,1779093078489,438495,10568,3929
23,0,0,207,46,22,1779093080305,1779093080583,436841,25741,30737
24,0,41,97,0,19,1779093082265,1779093082446,219310,0,26196
25,0,0,172,41,12,1779093084286,1779093084420,376446,89360,14645
27,1,4,12,0,12,1779093088638,1779093089222,18543,0,18543
28,1,0,12,0,12,1779093090237,1779093090351,7730,0,7730
29,1,0,12,0,12,1779093092247,1779093092457,13747,0,13747
30,1,0,8,0,8,1779093094238,1779093094333,3900,0,3900
31,1,0,0,0,0,1779093096234,1779093096401,0,0,0
32,1,0,7,0,7,1779093098239,1779093098361,7626,0,7626
33,1,0,12,0,12,1779093100244,1779093100355,9439,0,9439
34,1,0,18,0,18,1779093102242,1779093102327,17803,0,17803
35,1,0,1,0,1,1779093104238,1779093104412,206,0,206
36,1,0,7,0,7,1779093106242,1779093106340,4877,0,4877
37,1,11,10,0,10,1779093108242,1779093108397,11710,0,11710
38,1,0,28,0,28,1779093110246,1779093110373,42307,0,42307
39,1,1,1,0,1,1779093112241,1779093112341,1032,0,1032
40,1,0,3,0,3,1779093114240,1779093114327,4031,0,4031
41,1,4,7,0,7,1779093116249,1779093116411,9537,0,9537
42,1,0,6,0,6,1779093118243,1779093118358,10037,0,10037
43,1,0,4,0,4,1779093120243,1779093120354,4931,0,4931
44,1,1,8,0,8,1779093122256,1779093122413,9173,0,9173
