Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,3,196,137,0,1779093034658,1779093034950,368299,255364,0
2,0,0,204,81,7,1779093036595,1779093036687,303503,119656,8384
3,0,0,190,76,17,1779093038602,1779093038728,259469,106619,13068
4,0,0,185,10,54,1779093040611,1779093040779,263076,12862,86688
5,0,141,60,40,20,1779093042573,1779093042764,71755,46676,25079
6,0,131,228,71,16,1779093044648,1779093044852,568598,82437,22169
7,0,95,182,46,5,1779093046626,1779093046845,472493,48929,5605
8,0,0,149,52,2,1779093048625,1779093048827,339185,42730,3390
9,0,0,157,22,21,1779093050595,1779093050702,361697,11697,28726
10,0,0,186,41,3,1779093052626,1779093052725,390230,12266,3492
11,0,4,133,0,8,1779093054613,1779093054756,316741,0,9054
12,0,11,163,4,7,1779093056648,1779093056856,367292,8933,4096
13,0,0,162,11,6,1779093058613,1779093058728,308793,20717,2592
14,0,0,173,46,4,1779093060640,1779093060794,323539,85134,4958
15,0,0,182,114,2,1779093062648,1779093062773,317298,197472,2911
16,0,0,182,34,31,1779093064650,1779093064804,269689,56617,14033
17,0,0,164,87,2,1779093066613,1779093066724,245329,128766,2642
18,0,0,149,87,1,1779093068624,1779093068790,215944,124983,361
19,0,102,43,36,7,1779093070603,1779093070775,53003,43728,9275
20,0,129,119,6,11,1779093072616,1779093072735,345351,6531,9876
21,0,149,137,4,4,1779093074629,1779093074832,422649,4436,3340
22,0,143,159,5,5,1779093076644,1779093076864,485254,5322,6757
23,0,0,187,39,5,1779093078637,1779093078757,461623,33348,1078
24,0,1,246,86,7,1779093080700,1779093080868,544591,72529,9200
25,0,4,156,47,10,1779093082617,1779093082837,325772,28174,13371
26,0,0,123,0,5,1779093084626,1779093084875,334717,0,10313
28,1,3,9,0,9,1779093088600,1779093089180,29708,0,29708
29,1,0,15,0,15,1779093090594,1779093090785,14146,0,14146
30,1,0,21,0,21,1779093092585,1779093092694,25243,0,25243
31,1,0,12,0,12,1779093094595,1779093094790,13364,0,13364
32,1,0,5,0,5,1779093096602,1779093096850,5672,0,5672
33,1,0,4,0,4,1779093098605,1779093098858,3889,0,3889
34,1,0,13,0,13,1779093100637,1779093100823,11655,0,11655
35,1,0,19,0,19,1779093102612,1779093102796,21739,0,21739
36,1,0,5,0,5,1779093104602,1779093104784,3905,0,3905
37,1,0,4,0,4,1779093106610,1779093106822,5435,0,5435
