Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,84,229,170,8,1779093036118,1779093036306,549488,377541,5083
2,0,0,204,97,23,1779093038082,1779093038251,365004,89792,16967
3,0,0,169,22,54,1779093040098,1779093040403,377685,20034,67457
4,0,2,160,48,0,1779093042112,1779093042315,358399,34454,0
5,0,0,201,79,11,1779093044115,1779093044320,370993,49693,15648
6,0,2,208,96,0,1779093046097,1779093046258,337180,45754,0
7,0,14,158,82,3,1779093048099,1779093048482,245110,39158,6061
8,0,42,101,0,38,1779093050094,1779093050342,212688,0,58125
9,0,6,169,36,6,1779093052143,1779093052388,385726,79833,13043
10,0,2,185,63,8,1779093054129,1779093054428,383257,126363,15535
11,0,0,163,8,2,1779093056099,1779093056238,278948,12915,3961
12,0,3,177,7,8,1779093058126,1779093058385,282820,10785,9839
13,0,0,175,69,7,1779093060102,1779093060246,233128,89871,9628
14,0,1,192,141,1,1779093062159,1779093062585,298953,217626,2273
15,0,118,69,68,1,1779093064090,1779093064268,78694,76780,1914
16,0,66,286,130,38,1779093066176,1779093066395,612599,149625,74384
17,0,0,181,113,2,1779093068115,1779093068318,318363,109032,3814
18,0,0,127,60,10,1779093070098,1779093070283,221461,43388,8332
19,0,0,129,8,2,1779093072139,1779093072453,360769,6458,3992
20,0,0,160,12,3,1779093074135,1779093074314,402735,7100,4485
21,0,0,176,7,5,1779093076144,1779093076295,438847,3465,7962
22,0,0,212,37,8,1779093078163,1779093078374,459216,17396,7741
23,0,0,216,90,14,1779093080117,1779093080310,314285,25671,12611
24,0,41,71,0,2,1779093082124,1779093082388,170317,0,3604
25,0,0,194,41,4,1779093084144,1779093084292,409148,84096,2685
27,1,2,11,0,11,1779093088546,1779093089036,41568,0,41568
28,1,0,8,0,8,1779093090090,1779093090263,3777,0,3777
29,1,0,20,0,20,1779093092095,1779093092438,23546,0,23546
30,1,5,6,0,6,1779093094096,1779093094258,7038,0,7038
31,1,8,12,0,12,1779093096095,1779093096332,19735,0,19735
32,1,3,13,0,13,1779093098106,1779093098329,23679,0,23679
33,1,10,5,0,5,1779093100093,1779093100240,8490,0,8490
34,1,15,21,0,21,1779093102108,1779093102238,32539,0,32539
35,1,7,25,0,25,1779093104099,1779093104303,42797,0,42797
36,1,3,7,0,7,1779093106096,1779093106273,14470,0,14470
37,1,23,11,0,11,1779093108105,1779093108344,15314,0,15314
38,1,0,53,0,53,1779093110111,1779093110297,78266,0,78266
39,1,0,9,0,9,1779093112099,1779093112253,14537,0,14537
40,1,0,9,0,9,1779093114099,1779093114219,12120,0,12120
41,1,4,6,0,6,1779093116106,1779093116384,10319,0,10319
42,1,0,8,0,8,1779093118103,1779093118272,11352,0,11352
43,1,0,4,0,4,1779093120101,1779093120264,4571,0,4571
44,1,0,5,0,5,1779093122100,1779093122355,4814,0,4814
45,1,0,9,0,9,1779093124107,1779093124209,9035,0,9035
46,1,0,12,0,12,1779093126104,1779093126266,14787,0,14787
47,1,0,4,0,4,1779093128104,1779093128276,3218,0,3218
48,1,0,0,0,0,1779093130103,1779093130300,0,0,0
49,1,0,1,0,1,1779093132105,1779093132227,730,0,730
50,1,0,0,0,0,1779093134104,1779093134263,0,0,0
51,1,0,1,0,1,1779093136125,1779093136444,1920,0,1920
52,1,0,0,0,0,1779093138104,1779093138247,0,0,0
53,1,0,1,0,1,1779093140110,1779093140312,757,0,757
54,1,0,0,0,0,1779093142106,1779093142268,0,0,0
55,1,0,1,0,1,1779093144115,1779093144335,1738,0,1738
56,1,0,0,0,0,1779093146108,1779093146242,0,0,0
57,1,0,3,0,3,1779093148128,1779093148431,2373,0,2373
58,1,0,3,0,3,1779093150115,1779093150267,3857,0,3857
59,1,0,12,0,12,1779093152117,1779093152274,10101,0,10101
60,1,0,10,0,10,1779093154124,1779093154251,11446,0,11446
61,1,0,9,0,9,1779093156122,1779093156254,6709,0,6709
62,1,0,10,0,10,1779093158153,1779093158364,12152,0,12152
63,1,0,6,0,6,1779093160118,1779093160272,5030,0,5030
64,1,0,18,0,18,1779093162124,1779093162327,14634,0,14634
65,1,0,9,0,9,1779093164118,1779093164255,7806,0,7806
66,1,0,14,0,14,1779093166121,1779093166259,13518,0,13518
67,1,0,4,0,4,1779093168121,1779093168368,4863,0,4863
68,1,0,11,0,11,1779093170125,1779093170243,7415,0,7415
69,1,0,17,0,17,1779093172127,1779093172258,9188,0,9188
70,1,0,11,0,11,1779093174155,1779093174384,10578,0,10578
71,1,0,10,0,10,1779093176126,1779093176266,6764,0,6764
72,1,0,10,0,10,1779093178130,1779093178253,4437,0,4437
73,1,0,7,0,7,1779093180127,1779093180283,2771,0,2771
74,1,0,34,0,34,1779093182140,1779093182307,19327,0,19327
75,1,0,30,0,30,1779093184161,1779093184422,20319,0,20319
76,1,8,19,0,19,1779093186134,1779093186276,21609,0,21609
77,1,5,11,0,11,1779093188135,1779093188289,20381,0,20381
78,1,11,12,0,12,1779093190135,1779093190270,17986,0,17986
79,1,0,19,0,19,1779093192135,1779093192280,31210,0,31210
80,1,3,44,0,44,1779093194168,1779093194393,80736,0,80736
81,1,0,15,0,15,1779093196134,1779093196242,16682,0,16682
82,1,4,9,0,9,1779093198142,1779093198469,15126,0,15126
83,1,0,16,0,16,1779093200143,1779093200281,18622,0,18622
84,1,0,14,0,14,1779093202142,1779093202255,20169,0,20169
85,1,0,16,0,16,1779093204146,1779093204306,27338,0,27338
86,1,0,9,0,9,1779093206141,1779093206318,10943,0,10943
87,1,0,4,0,4,1779093208142,1779093208253,7236,0,7236
88,1,0,6,0,6,1779093210136,1779093210269,5827,0,5827
89,1,0,4,0,4,1779093212137,1779093212277,7204,0,7204
90,1,0,1,0,1,1779093214143,1779093214285,1796,0,1796
91,1,0,1,0,1,1779093216141,1779093216337,831,0,831
92,1,0,2,0,2,1779093218141,1779093218284,1528,0,1528
93,1,0,3,0,3,1779093220145,1779093220253,3175,0,3175
94,1,0,2,0,2,1779093222149,1779093222306,1354,0,1354
95,1,0,3,0,3,1779093224144,1779093224252,2820,0,2820
96,1,0,2,0,2,1779093226142,1779093226253,1166,0,1166
97,1,0,4,0,4,1779093228160,1779093228421,5947,0,5947
98,1,0,2,0,2,1779093230146,1779093230286,1164,0,1164
99,1,0,1,0,1,1779093232152,1779093232349,1635,0,1635
100,1,0,3,0,3,1779093234146,1779093234261,4602,0,4602
101,1,0,1,0,1,1779093236147,1779093236248,1511,0,1511
102,1,0,5,0,5,1779093238150,1779093238279,3621,0,3621
103,1,0,0,0,0,1779093240147,1779093240267,0,0,0
104,1,0,8,0,8,1779093242156,1779093242278,3900,0,3900
105,1,0,6,0,6,1779093244155,1779093244299,5914,0,5914
106,1,0,6,0,6,1779093246163,1779093246380,5285,0,5285
107,1,0,11,0,11,1779093248154,1779093248316,14199,0,14199
108,1,0,12,0,12,1779093250159,1779093250262,11826,0,11826
109,1,0,19,0,19,1779093252163,1779093252279,13612,0,13612
110,1,0,13,0,13,1779093254160,1779093254276,12951,0,12951
111,1,0,14,0,14,1779093256162,1779093256266,11879,0,11879
112,1,0,13,0,13,1779093258162,1779093258269,7221,0,7221
113,1,0,31,0,31,1779093260165,1779093260288,21962,0,21962
114,1,0,17,0,17,1779093262163,1779093262297,6658,0,6658
115,1,0,27,0,27,1779093264166,1779093264288,19405,0,19405
116,1,0,35,0,35,1779093266167,1779093266349,30824,0,30824
117,1,0,15,0,15,1779093268164,1779093268307,8373,0,8373
118,1,0,27,0,27,1779093270177,1779093270407,21189,0,21189
119,1,54,0,0,0,1779093272160,1779093272263,0,0,0
120,1,36,201,54,12,1779093274233,1779093274385,443036,118964,19964
121,1,2,168,32,8,1779093276240,1779093276449,358194,67040,13030
122,1,0,162,35,2,1779093278201,1779093278330,297611,61948,3996
123,1,13,173,36,11,1779093280245,1779093280404,297855,57467,21589
124,1,0,225,89,17,1779093282206,1779093282333,315094,118428,29283
125,1,0,163,76,2,1779093284223,1779093284332,204872,94465,1868
126,1,136,27,22,5,1779093286184,1779093286299,33346,24892,8454
127,1,25,156,15,5,1779093288206,1779093288334,459086,16830,7568
128,1,0,29,0,4,1779093290190,1779093290367,85835,0,6725
129,1,0,0,0,0,1779093292170,1779093292305,0,0,0
130,1,0,6,0,6,1779093294176,1779093294270,5686,0,5686
131,1,0,9,0,9,1779093296177,1779093296400,15096,0,15096
132,1,0,12,0,12,1779093298178,1779093298325,14671,0,14671
133,1,0,3,0,3,1779093300180,1779093300406,2580,0,2580
134,1,0,6,0,6,1779093302182,1779093302306,6504,0,6504
135,1,0,7,0,7,1779093304193,1779093304350,6462,0,6462
136,1,0,10,0,10,1779093306188,1779093306306,9014,0,9014
137,1,0,1,0,1,1779093308186,1779093308292,1679,0,1679
138,1,0,4,0,4,1779093310188,1779093310262,3522,0,3522
