Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,85,202,70,47,1779093036129,1779093036339,486257,164115,41807
2,0,0,183,27,71,1779093038079,1779093038240,345357,24728,59974
3,0,0,302,15,175,1779093040121,1779093040467,572817,14594,202075
4,0,0,200,36,53,1779093042114,1779093042329,416168,26303,67531
5,0,39,186,34,47,1779093044103,1779093044293,363576,20422,56879
6,0,9,199,44,49,1779093046082,1779093046248,390136,20540,94802
7,0,12,225,111,14,1779093048101,1779093048433,345171,48476,27264
8,0,37,149,0,37,1779093050094,1779093050357,332974,0,55484
9,0,0,200,28,31,1779093052136,1779093052367,428381,61507,44519
10,0,19,172,41,14,1779093054133,1779093054416,344047,81700,16408
11,0,0,200,16,20,1779093056093,1779093056213,340605,25436,38095
12,0,14,180,4,32,1779093058117,1779093058350,282069,6025,48350
13,0,0,177,24,16,1779093060090,1779093060219,239598,30620,28763
14,0,103,59,55,4,1779093062100,1779093062481,87809,79133,8676
15,0,125,124,21,0,1779093064107,1779093064321,366993,24825,0
16,0,69,259,105,29,1779093066152,1779093066424,594298,123823,55067
17,0,0,130,61,2,1779093068109,1779093068309,270225,58297,3798
18,0,0,115,32,17,1779093070091,1779093070268,235111,22654,16963
19,0,0,122,7,11,1779093072114,1779093072442,327979,5567,16777
20,0,0,196,10,7,1779093074138,1779093074306,493172,5838,5691
21,0,0,167,4,17,1779093076112,1779093076322,401614,2088,14765
22,0,0,171,29,6,1779093078138,1779093078363,373739,13366,8008
23,0,0,208,59,28,1779093080109,1779093080293,335579,15779,23730
24,0,36,138,0,45,1779093082126,1779093082366,286876,0,63852
25,0,0,161,36,14,1779093084115,1779093084241,315376,72064,8694
27,1,12,73,0,73,1779093088643,1779093089236,198451,0,198451
